Name,Draft Year,Class,Role,Position,Pre-NBA,League,Team Color,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Athleticism,Freak Athlete,Athletic Tier,PTS,REB,AST,TOV,AST/TOV,STL,BLK,Defensive Stats,STL%,BLK%,Def %,3P%,3PM/G,3PM x 3P%,Shooter,FT%,FT Rating,SOS,PER,PER/Age,S_PER,WS/40,[WS/40]/Age,BPM,BPM/Age,S_BPM,AST%,TOV%,AST%/TOV%,TS%,eFG%,USG%,PTS/USG%,AST/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Other,G League,OE,Y1 Rotation,Top 3 Pick,Lottery Pick,G Played Issue,Pred. Y1 Rank,Pred. Y2 Rank,Pred. Y3 Rank,Avg. Rank Y1-Y3,Pred. Y4 Rank,Pred. Y5 Rank,Avg. Rank Y1-Y5,Pred. Y1 EPM,Pred. Y2 EPM,Pred. Y3 EPM,Avg. EPM Y1-Y3,Pred. Y4 EPM,Pred. Y5 EPM,Avg. EPM Y1-Y5,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,Actual Pick,Team,
Nikola Djurisic,2024,International,Wing,2.5,KK Mega Basket,Adriatic ABA,#CB2F6D,20.32,80.25,"6'8.25""",80,"6'8""",-0.25,209,0.353,0.287,0.586,0.466,0,0.50,14.8,2.8,3.4,3.2,1.06,1.2,0.4,1.6,,,,0.305,1.1,0.3355,0.25,0.763,0.5,12.32,13.7,0.67,-0.139,,,,,,18.6,19.5,0.95,0.559,0.495,25.4,0.58,0.134,0.732,0.768,0,1,1,0,0,0,0,0,0,0,,74,59,57,63.3,20,45,51.0,-5.12,-2.21,-2.13,-3.15,0.85,-0.16,-1.75,,,,,,43,ATL,Djurisic
Pelle Larsson,2024,Senior,Guard,2,Arizona,PAC 12,#CC0033,23.32,78.5,"6'6.5""",79.5,"6'7.5""",1,212,0.641,0.667,0.9,0.807,0,0.75,12.8,4.1,3.7,1.9,1.95,0.9,0.2,1.1,,,,0.426,1.3,0.5538,0.75,0.75,0.5,9.45,17.8,0.76,-0.170,0.176,0.008,7.4,0.32,-0.615,20.1,15.6,1.29,0.622,0.592,18.8,0.68,0.197,1.069,0.830,1,0,0,0,0,0,0,1,0,0,,32,31,49,37.3,69,57,47.6,-1.97,-1.22,-1.41,-1.53,-2.88,-0.46,-1.59,,,,,,44,MIA,Larsson
Jamal Shead,2024,Senior,Guard,1.5,Houston,Big 12,#C8102E,21.99,73.5,"6'1.5""",75,"6'3""",1.5,201,0.410,0.815,0.775,0.791,0,0.75,12.9,3.7,6.3,2,3.15,2.2,0.5,2.7,,,,0.309,1.2,0.3708,0.25,0.779,0.5,9.8,22.6,1.03,0.148,0.22,0.010,12.7,0.58,-0.302,40.3,13.5,2.99,0.495,0.458,25.1,0.51,0.251,1.606,0.538,1,0,0,0,0,0,0,1,0,0,,43,8,39,30.0,35,21,29.2,-3.02,-0.31,-0.81,-1.38,-0.41,0.98,-0.71,,,,,,45,TOR,Shead
Cam Christie,2024,Freshman,Guard,2,Minnesota,Big 10,#7A0019,18.91,77.75,"6'5.75""",80,"6'8""",2.25,190,0.456,0.504,0.766,0.661,0,0.75,11.3,3.6,2.2,1.2,1.83,0.6,0.3,0.9,,,,0.391,2.1,0.8211,0.75,0.791,0.5,6.4,13.7,0.72,-0.032,0.1,0.005,2.7,0.14,-0.614,13.8,10,1.38,0.546,0.516,19.7,0.57,0.112,0.701,0.508,1,0,0,0,0,0,0,0,0,0,,70,57,67,64.7,65,59,63.6,-4.53,-2.11,-3.18,-3.27,-2.68,-0.53,-2.61,,,,,,46,LAC,Christie
Antonio Reeves,2024,Senior,Guard,2,Kentucky,SEC,#0033A0,23.58,77.75,"6'5.75""",80.25,"6'8.25""",2.5,187,0.409,0.153,0.327,0.257,0,0.25,20.2,4.2,1.6,1.2,1.33,0.7,0.2,0.9,,,,0.447,2.5,1.1175,1,0.863,1,7.46,23.6,1.00,0.058,0.182,0.008,7,0.30,-0.646,9.2,7.1,1.30,0.64,0.603,25.9,0.78,0.062,0.355,0.274,1,0,0,0,0,0,0,1,0,0,,38,61,50,49.7,71,70,58.0,-2.58,-2.35,-1.47,-2.13,-3.43,-1.23,-2.21,,,,,,47,NO,Reeves
Harrison Ingram,2024,Junior,Wing,3,North Carolina,ACC,#7BAFD4,21.56,78.5,"6'6.5""",84.25,"7'0.25""",5.75,234,0.534,0.799,0.673,0.723,0,0.75,12.2,8.8,2.2,1.4,1.57,1.4,0.4,1.8,,,,0.385,1.8,0.693,0.75,0.612,0.25,9.9,18.3,0.85,-0.014,0.162,0.008,8.5,0.39,-0.468,11.6,10.7,1.08,0.53,0.516,18.8,0.65,0.117,0.617,0.569,1,0,0,0,0,0,0,0,0,0,,62,45,48,51.7,52,35,48.4,-3.70,-1.68,-1.37,-2.25,-1.62,0.49,-1.58,,,,,,48,SA,Ingram
Tristen Newton,2024,Senior,Guard,1.5,UConn,Big East,#000E2F,23.15,76.5,"6'4.5""",78.75,"6'6.75""",2.25,192,0.726,0.143,0.445,0.324,0,0.50,15.1,6.6,6.2,2.5,2.48,0.9,0.3,1.2,,,,0.321,1.8,0.5778,0.5,0.808,0.75,8.7,22.4,0.97,0.042,0.224,0.010,10.4,0.45,-0.477,31.2,15.4,2.03,0.561,0.495,24.7,0.61,0.251,1.263,0.623,1,0,0,0,0,0,0,0,0,0,,44,66,60,56.7,37,36,48.6,-3.05,-2.79,-2.38,-2.74,-0.67,0.29,-1.72,,,,,,49,IND,Newton
Enrique Freeman,2024,Senior,Wing,4,Akron,MAC,#041E42,23.91,79.25,"6'7.25""",86,"7'2""",6.75,212,0.431,0.355,0.795,0.619,0,0.50,18.6,12.9,1.6,2.5,0.64,0.8,1.7,2.5,,,,0.37,0.6,0.222,0.25,0.728,0.5,-2.08,31.1,1.30,0.344,0.263,0.011,8.3,0.35,-0.609,11.2,14.8,0.76,0.643,0.609,27.1,0.69,0.059,0.413,0.546,1,0,0,0,0,0,0,0,0,0,,35,58,51,48.0,64,28,47.2,-2.26,-2.19,-1.57,-2.01,-2.35,0.66,-1.54,,,,,,50,IND,Freeman
Melvin Ajinca,2024,International,Guard,2.5,Saint-Quentin,French LNB Pro A,#194187,19.98,79.25,"6'7.25""",79.5,"6'7.5""",0.25,214,0.780,0.5,0.5,0.500,0,0.50,10.2,3.5,0.7,0.7,1.00,0.5,0.1,0.6,,,,0.357,2,0.714,0.5,0.814,0.75,10.22,12.6,0.63,-0.169,,,,,,5.3,7.5,0.71,0.56,0.521,19.2,0.53,0.036,0.276,0.391,0,1,1,0,0,0,0,0,0,0,,51,23,43,39.0,12,18,29.4,-3.30,-0.97,-1.01,-1.76,1.14,1.11,-0.61,,,,,,51,DAL,Ajinca
Quinten Post,2024,Senior,Big,5,Boston College,ACC,#98002E,24.25,85.25,"7'1.25""",86.5,"7'2.5""",1.25,244,0.678,0.5,0.468,0.481,0,0.25,17,8.1,2.9,2.5,1.16,0.9,1.7,2.6,,,,0.431,1.4,0.6034,0.5,0.821,0.75,7.25,25.6,1.06,0.086,0.184,0.008,9.6,0.40,-0.574,18.8,14.9,1.26,0.607,0.572,26.9,0.63,0.108,0.699,0.554,1,0,0,0,0,0,0,0,0,0,,69,55,15,46.3,21,31,38.2,-4.44,-1.97,0.68,-1.91,0.74,0.55,-0.89,,,,,,52,GS,Post
Cam Spencer,2024,Senior,Guard,2,UConn,Big East,#000E2F,24.21,76.25,"6'4.25""",77,"6'5""",0.75,202,0.253,0.022,0.057,0.043,0,0.25,14.3,4.9,3.6,1,3.60,1.5,0.3,1.8,,,,0.44,2.5,1.1,1,0.911,1,8.7,22.8,0.94,-0.027,0.239,0.010,11.8,0.49,-0.481,18.7,8.2,2.28,0.64,0.606,19,0.75,0.189,0.984,0.432,1,0,0,0,0,0,0,1,0,0,,5,16,41,20.7,59,63,36.8,-0.47,-0.59,-0.89,-0.65,-2.02,-0.61,-0.92,,,,,,53,MEM,Spencer
Anton Watson,2024,Senior,Wing,3.5,Gonzaga,WCC,#041E42,23.7,80,"6'8""",84,"7'0""",4,228,0.358,0.5,0.5,0.500,0,0.50,14.5,7.1,2.6,1.4,1.86,1.5,0.7,2.2,,,,0.412,0.6,0.2472,0.25,0.653,0.25,4.02,24.6,1.04,0.090,0.223,0.009,9.8,0.41,-0.534,13.4,10.5,1.28,0.62,0.608,20.8,0.70,0.125,0.644,0.505,1,0,0,0,0,0,0,0,0,0,,37,36,47,40.0,53,30,40.6,-2.44,-1.35,-1.27,-1.69,-1.63,0.62,-1.21,,,,,,54,BOS,Watson
Bronny James,2024,Freshman,Guard,2,USC,PAC 12,#990000,19.64,74.75,"6'2.75""",79.25,"6'7.25""",4.5,210,0.322,0.779,0.799,0.791,0,0.75,4.8,2.8,2.1,1.1,1.91,0.8,0.2,1,,,,0.267,0.6,0.1602,0.25,0.676,0.25,9.54,10.3,0.52,-0.261,0.063,0.003,0.7,0.04,-0.750,19.4,17.4,1.11,0.472,0.438,16.2,0.30,0.130,1.198,1.074,1,0,0,0,0,0,0,0,0,0,,75,64,66,68.3,63,65,66.6,-5.19,-2.64,-3.15,-3.66,-2.28,-0.83,-2.82,,,,,,55,LAL,James
Kevin McCullar Jr.,2024,Senior,Guard,2,Kansas,Big 12,#0051BA,23.27,78.5,"6'6.5""",81,"6'9""",2.5,206,0.262,0.5,0.5,0.500,0,0.50,18.3,6,4.1,2.5,1.64,1.5,0.4,1.9,,,,0.333,1.5,0.4995,0.5,0.805,0.75,11.32,21.1,0.91,-0.024,0.161,0.007,7.4,0.32,-0.613,22.9,13.6,1.68,0.567,0.51,28,0.65,0.146,0.818,0.486,1,0,0,0,0,0,0,0,0,0,,36,39,53,42.7,60,54,48.4,-2.36,-1.49,-1.69,-1.85,-2.09,-0.41,-1.61,,,,,,56,NYK,McCullar
Ulrich Chomche,2024,International,Big,4.5,NBA Academy Africa,,N/A,18.47,83.5,"6'11.5""",88,"7'4""",4.5,232,0.502,0.505,0.911,0.749,0,0.75,13,9,3.3,5,0.66,1.3,2.7,4,,,,0.381,2.7,1.0287,1,0.75,0.5,,20.5,1.11,0.371,,,,,,19,30.1,0.63,0.561,0.545,23.4,0.56,0.141,0.812,1.286,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,57,TOR,Chomche
Ariel Hukporti,2024,International,Big,5,Melbourne,NBL,#2253F5,22.19,84,"7'0""",86.5,"7'2.5""",2.5,246,0.622,0.185,0.5,0.374,0,0.50,8,7.1,0.7,1.7,0.41,0.5,1.5,2,,,,0,0,0,0,0.617,0.25,11.06,19.6,0.88,-0.004,,,,,,6.4,19.6,0.33,0.588,0.563,20.3,0.39,0.034,0.315,0.966,0,1,0,1,0,0,0,0,0,0,,4,19,2,8.3,2,17,8.8,-0.45,-0.85,1.82,0.18,2.77,1.13,0.89,,,,,,58,NYK,Hukporti
Trey Alexander,2024,Junior,Guard,2,Creighton,Big East,#005CA9,21.13,76.5,"6'4.5""",82.5,"6'10.5""",6,187,0.465,0.051,0.225,0.155,0,0.25,17.6,5.7,4.7,2.5,1.88,1.1,0.4,1.5,,,,0.339,1.8,0.6102,0.5,0.824,0.75,9.53,18.7,0.88,0.040,0.149,0.007,5.7,0.27,-0.575,23.9,13.1,1.82,0.538,0.506,26.6,0.66,0.177,0.898,0.492,1,0,0,0,0,0,0,0,0,0,,63,63,68,64.7,56,71,64.2,-3.83,-2.58,-3.24,-3.22,-1.79,-1.24,-2.54,,,,,,59,DEN,Alexander
PJ Hall,2024,Senior,Big,4.5,Clemson,ACC,#F56600,22.33,81.5,"6'9.5""",85.5,"7'1.5""",4,240,0.214,0.917,0.766,0.826,0,0.75,18.3,6.4,1.4,1.9,0.74,0.8,1.4,2.2,,,,0.315,1.4,0.441,0.5,0.779,0.5,10.04,25.6,1.15,0.253,0.184,0.008,8.4,0.38,-0.517,10.8,10.5,1.03,0.579,0.541,31.8,0.58,0.044,0.340,0.330,1,0,0,0,0,0,0,0,0,0,,72,43,14,43.0,31,44,40.8,-4.73,-1.61,0.72,-1.87,-0.22,-0.08,-1.18,,,,,,59,DEN,Hall
Keshad Johnson,2024,Senior,Wing,4,Arizona,PAC 12,#CC0033,22.99,79.5,"6'7.5""",82.25,"6'10.25""",2.75,224,0.136,0.665,0.768,0.727,0,0.75,11.5,5.9,1.8,1.6,1.13,1,0.7,1.7,,,,0.387,1,0.387,0.5,0.71,0.5,9.45,19.3,0.84,-0.080,0.18,0.008,8.3,0.36,-0.559,10.8,14.3,0.76,0.616,0.593,18.4,0.63,0.098,0.587,0.777,1,0,0,0,0,0,0,0,0,0,,45,62,63,56.7,72,51,58.6,-3.07,-2.48,-2.83,-2.79,-3.56,-0.33,-2.45,,,,,,59,MIA,Johnson
Jalen Bridges,2024,Senior,Wing,3,Baylor,Big 12,#154734,23.1,80,"6'8""",82,"6'10""",2,213,0.541,0.138,0.414,0.304,0,0.50,12.2,5.7,1.4,1,1.40,1.1,0.6,1.7,,,,0.412,2.1,0.8652,1,0.823,0.75,10.71,19.6,0.85,-0.076,0.172,0.007,9.9,0.43,-0.495,8.2,8.9,0.92,0.615,0.584,17.5,0.70,0.080,0.469,0.509,1,0,0,0,0,0,0,0,0,0,,54,15,31,33.3,38,32,34.0,-3.41,-0.58,-0.38,-1.46,-0.78,0.54,-0.92,,,,,,59,PHX,Bridges
Trentyn Flowers,2024,International,Wing,2.5,Adelaide,NBL,#00023E,19.28,79.75,"6'7.75""",80.25,"6'8.25""",0.5,201,0.250,0.847,0.898,0.878,0,0.75,5.5,3.1,0.6,1.5,0.40,0.2,0.1,0.3,,,,0.357,0.5,0.1785,0.25,0.649,0.25,11.06,8.4,0.44,-0.336,,,,,,7,21.9,0.32,0.526,0.489,19.9,0.28,0.030,0.352,1.101,0,1,0,1,0,0,0,0,0,0,,25,71,42,46.0,14,39,38.2,-1.91,-3.18,-0.89,-2.00,1.06,0.21,-0.94,,,,,,59,LAC,Flowers
Reece Beekman,2024,Senior,Guard,1,Virginia,ACC,#232D4B,22.7,74.5,"6'2.5""",78.5,"6'6.5""",4,196,0.680,0.751,0.85,0.810,0,0.75,14.3,3.6,6.2,2.1,2.95,2,0.5,2.5,,,,0.31,0.9,0.279,0.25,0.754,0.5,7.31,23.4,1.03,0.123,0.177,0.008,10.5,0.46,-0.445,44.7,13.1,3.41,0.522,0.482,27.7,0.52,0.224,1.614,0.473,1,0,0,0,0,0,0,0,0,0,,53,49,61,54.3,30,29,44.4,-3.38,-1.74,-2.47,-2.53,-0.18,0.65,-1.42,,,,,,59,GS,Beekman
Zyon Pullin,2024,Senior,Guard,1,Florida,SEC,#FA4616,23.31,75.5,"6'3.5""",77.75,"6'5.75""",2.25,205,0.635,0.5,0.5,0.500,0,0.50,15.5,3.9,4.9,1.3,3.77,0.9,0.1,1,,,,0.449,1.1,0.4939,0.5,0.847,0.75,8.81,20.2,0.87,-0.066,0.173,0.007,6.4,0.27,-0.658,24.7,8.8,2.81,0.547,0.493,20.2,0.77,0.243,1.223,0.436,1,0,0,0,0,0,0,0,0,0,,55,73,71,66.3,43,47,57.8,-3.41,-3.52,-3.75,-3.56,-1.05,-0.22,-2.39,,,,,,59,MIA,Pullin
Isaiah Crawford,2024,Senior,Wing,3,Louisiana Tech,C-USA,#003087,22.6,78,"6'6""",84,"7'0""",6,220,0.480,0.5,0.5,0.500,0,0.50,16.3,6.2,2.4,2.5,0.96,2.1,1.7,3.8,,,,0.414,1.3,0.5382,0.75,0.728,0.5,-1.69,24.3,1.08,0.171,0.207,0.009,8.3,0.37,-0.537,15.5,15.2,1.02,0.579,0.54,25.8,0.63,0.093,0.601,0.589,1,0,0,0,0,0,0,0,0,0,,60,52,58,56.7,70,58,59.6,-3.63,-1.87,-2.19,-2.56,-2.90,-0.52,-2.22,,,,,,59,SAC,Crawford
Isaac Jones,2024,Senior,Big,4.5,Washington State,PAC 12,#981E32,23.88,81,"6'9""",87,"7'3""",6,245,0.289,0.545,0.696,0.636,0,0.50,15.3,7.6,1.5,1.9,0.79,0.5,1.1,1.6,,,,0.071,0,0,0,0.712,0.5,7.19,23.7,0.99,0.037,0.194,0.008,7.6,0.32,-0.637,9.9,13.3,0.74,0.613,0.577,23.4,0.65,0.064,0.423,0.568,1,0,0,0,0,0,0,0,0,0,,73,67,22,54.0,45,66,54.6,-4.91,-2.83,0.18,-2.52,-1.20,-0.84,-1.92,,,,,,59,SAC,Jones
Justin Edwards,2024,Freshman,Wing,3,Kentucky,SEC,#0033A0,20.51,79.25,"6'7.25""",82,"6'10""",2.75,209,0.368,0.341,0.131,0.215,0,0.25,8.8,3.4,0.9,0.8,1.13,0.9,0.2,1.1,,,,0.365,1,0.365,0.5,0.776,0.5,7.46,16.2,0.79,-0.031,0.121,0.006,2.5,0.12,-0.699,6.9,10.1,0.68,0.582,0.557,18.7,0.47,0.048,0.369,0.540,1,0,0,0,0,0,0,0,0,0,,66,25,32,41.0,62,64,49.8,-4.00,-1.06,-0.52,-1.86,-2.28,-0.83,-1.74,,,,,,59,PHI,Edwards
N'Faly Dante,2024,Senior,Big,5,Oregon,PAC 12,#154733,22.67,83.25,"6'11.25""",90,"7'6""",6.75,260,0.758,0.75,0.899,0.839,0,0.75,17,9.2,1.6,2.4,0.67,1.7,1.9,3.6,,,,0,0,0,0,0.613,0.25,8.91,30.6,1.35,0.443,0.217,0.010,12.7,0.56,-0.347,11.1,16,0.69,0.686,0.695,24,0.71,0.067,0.463,0.667,1,0,0,0,0,0,0,0,0,0,,48,14,5,22.3,19,38,24.8,-3.17,-0.58,1.40,-0.78,0.87,0.22,-0.25,,,,,,59,HOU,Dante
Armel Traoré,2024,International,Wing,3.5,ADA Blois,French LNB Pro A,#2B633C,21.4,80,"6'8""",87,"7'3""",7,215,0.468,0.5,0.5,0.500,0,0.50,10.7,7.1,1.5,1.7,0.88,0.6,0.7,1.3,,,,0.281,0.5,0.1405,0.25,0.646,0.25,10.22,17.1,0.80,-0.057,,,,,,10.7,16.4,0.65,0.6,0.578,19.6,0.55,0.077,0.546,0.837,0,1,1,0,0,0,0,0,0,0,,56,60,33,49.7,22,49,44.0,-3.44,-2.30,-0.56,-2.10,0.65,-0.27,-1.18,,,,,,59,LAL,Traoré
Boogie Ellis,2024,Senior,Guard,2,USC,PAC 12,#990000,23.54,75,"6'3""",79,"6'7""",4,190,0.140,0.524,0.231,0.348,0,0.50,16.5,3.5,3,1.8,1.67,1.4,0.1,1.5,,,,0.418,3,1.254,1,0.72,0.5,9.54,17.8,0.76,-0.185,0.122,0.005,4.9,0.21,-0.733,18.3,10.9,1.68,0.565,0.542,24.7,0.67,0.121,0.741,0.441,1,0,0,0,0,0,0,0,0,0,,39,65,70,58.0,68,69,62.2,-2.68,-2.72,-3.44,-2.95,-2.83,-1.04,-2.54,,,,,,60,SAC,Ellis
Marcus Domask,2024,Senior,Guard,2.5,Illinois,Big 10,#E84A27,23.8,78.25,"6'6.25""",78.5,"6'6.5""",0.25,211,0.481,0.5,0.5,0.500,0,0.50,15.9,5,3.9,2.3,1.70,0.4,0.3,0.7,,,,0.297,1.1,0.3267,0.25,0.872,1,9.54,18,0.76,-0.196,0.141,0.006,5.1,0.21,-0.738,20.5,14,1.46,0.55,0.496,23.4,0.68,0.167,0.876,0.598,1,0,0,0,0,0,0,0,0,0,,52,37,54,47.7,66,68,55.4,-3.32,-1.38,-2.07,-2.26,-2.79,-0.99,-2.11,,,,,,60,CHI,Domask
Judah Mintz,2024,Sophomore,Guard,1,Syracuse,ACC,#F76900,20.95,76,"6'4""",75.5,"6'3.5""",-0.5,176,0.433,0.236,0.5,0.394,0,0.50,18.8,3.2,4.4,2.9,1.52,2.1,0.1,2.2,,,,0.282,0.8,0.2256,0.25,0.765,0.5,9.4,20.5,0.98,0.141,0.13,0.006,4.2,0.20,-0.638,25.4,14.5,1.75,0.543,0.466,29.7,0.63,0.148,0.855,0.488,1,0,0,0,0,0,0,0,0,0,,58,70,72,66.7,42,62,60.8,-3.55,-3.11,-4.48,-3.71,-1.03,-0.59,-2.55,,,,,,60,PHI,Mintz
Mantas Rubstavicius,2024,International,Wing,2.5,New Zealand,NBL,#DA73A4,22.12,79.25,"6'7.25""",79.25,"6'7.25""",0,200,0.250,0.25,0.25,0.250,0,0.25,9.4,2.1,1.2,1.1,1.09,0.8,0.1,0.9,,,,0.425,1.2,0.51,0.75,0.823,0.75,11.06,15.3,0.69,-0.193,,,,,,9.2,13.4,0.69,0.671,0.622,18.5,0.51,0.065,0.497,0.724,0,1,0,1,0,0,0,0,0,0,,61,32,26,39.7,25,14,31.6,-3.70,-1.22,-0.16,-1.69,0.32,1.24,-0.71,,,,,,60,GS,Rubstavicius
Riley Minix,2024,Senior,Wing,3,Morehead State,OVC,#FFCF00,23.76,79.5,"6'7.5""",81.5,"6'9.5""",2,230,0.504,0.5,0.5,0.500,0,0.50,20.9,9.7,2.2,2.3,0.96,1.3,1,2.3,,,,0.349,1.7,0.5933,0.5,0.839,0.75,-5.52,30.7,1.29,0.342,0.278,0.012,8,0.34,-0.614,14.6,12.3,1.19,0.636,0.599,28.6,0.73,0.077,0.510,0.430,1,0,0,0,0,0,0,0,0,0,,49,13,18,26.7,44,26,30.0,-3.28,-0.44,0.55,-1.06,-1.14,0.74,-0.71,,,,,,60,SA,Minix
Keisei Tominaga,2024,Senior,Guard,1,Nebraska,Big 10,#E41C38,23.4,74,"6'2""",74.5,"6'2.5""",0.5,180,0.316,0.25,0.25,0.250,0,0.25,15.1,2.3,1.4,1.2,1.17,0.9,0,0.9,,,,0.376,2.4,0.9024,0.75,0.875,1,7.53,20.5,0.88,-0.060,0.162,0.007,7,0.30,-0.637,11.7,8.7,1.34,0.603,0.57,26.7,0.57,0.052,0.438,0.326,1,0,0,0,0,0,0,0,0,0,,34,68,65,55.7,36,48,50.2,-2.17,-2.84,-3.10,-2.70,-0.43,-0.25,-1.76,,,,,,60,IND,Tominaga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41,,,,,,,,,,,,,,,,,,Total:,58,15,8,6,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
