Name,Draft Year,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Micah Peavy,2025,Wing,Big East,Georgetown,#8D817B,40,New Orleans Pelicans,NOP,23.94,78.25,"6'6.25""",79.25,"6'7.25""",1,212
Koby Brea,2025,Wing,SEC,Kentucky,#0033A0,41,Phoenix Suns,PHX,22.64,77.75,"6'5.75""",77.25,"6'5.25""",-0.5,202
Maxime Raynaud,2025,Big,ACC,Stanford,#8C1515,42,Sacramento Kings,SAC,22.22,84.25,"7'0.25""",85.25,"7'1.25""",1,237
Jamir Watkins,2025,Wing,ACC,Florida State,#782F40,43,Washington Wizards,WAS,23.98,77,"6'5""",83.25,"6'11.25""",6.25,215
Brooks Barnhizer,2025,Wing,Big 10,Northwestern,#4E2A84,44,Oklahoma City Thunder,OKC,23.31,76.75,"6'4.75""",83,"6'11""",6.25,229
Rocco Zikarsky,2025,Big,Aus. NBL,Brisbane,#0070BA,45,Minnesota Timberwolves,MIN,18.96,87,"7'3""",88.75,"7'4.75""",1.75,257
Amari Williams,2025,Big,SEC,Kentucky,#0033A0,46,Boston Celtics,BOS,23.41,82.5,"6'10.5""",90,"7'6""",7.5,255
Bogoljub Marković,2025,Big,Adriatic ABA,KK Mega Basket,#CB2F6D,47,Milwaukee Bucks,MIL,19.95,82.5,"6'10.5""",83.5,"6'11.5""",1,213
Javon Small,2025,Guard,Big 12,West Virginia,#EAAA00,48,Memphis Grizzlies,MEM,22.52,73,"6'1""",76.75,"6'4.75""",3.75,190
Tyrese Proctor,2025,Guard,ACC,Duke,#003087,49,Cleveland Cavaliers,CLE,21.23,76.25,"6'4.25""",79.25,"6'7.25""",3,183
Kobe Sanders,2025,Wing,Mountain West,Nevada,#003366,50,Los Angeles Clippers,LAC,23.07,79,"6'7""",80.25,"6'8.25""",1.25,203
Mohamed Diawara,2025,Wing,French LNB Pro B,Poitiers Basket 86,#BF5700,51,New York Knicks,NYK,20.2,81,"6'9""",88,"7'4""",7,200
Alex Toohey,2025,Wing,Aus. NBL,Sydney,#6639A5,52,Golden State Warriors,GSW,21.14,79.75,"6'7.75""",82.75,"6'10.75""",3,223
John Tonje,2025,Wing,Big 10,Wisconsin,#C5050C,53,Utah Jazz,UTA,24.17,76.75,"6'4.75""",81,"6'9""",4.25,212
Taelon Peter,2025,Wing,C-USA,Liberty,#C41230,54,Indiana Pacers,IND,23.33,76,"6'4""",N/A,N/A,N/A,185
Lachlan Olbrich,2025,Big,Aus. NBL,Illawarra,#A52119,55,Chicago Bulls,CHI,21.49,80.75,"6'8.75""",83.25,"6'11.25""",2.5,230
Will Richard,2025,Wing,SEC,Florida,#FA4616,56,Golden State Warriors,GSW,22.5,75.25,"6'3.25""",81.75,"6'9.75""",6.5,210
Max Shulga,2025,Guard,A-10,VCU,#FFB300,57,Boston Celtics,BOS,23,76.25,"6'4.25""",77.75,"6'5.75""",1.5,206
Saliou Niang,2025,Wing,Italian Serie A,Trento,#2F353F,58,Cleveland Cavaliers,CLE,21.11,79,"6'7""",82.75,"6'10.75""",3.75,204
Jahmai Mashack,2025,Guard,SEC,Tennessee,#FF8200,59,Memphis Grizzlies,MEM,22.62,74.75,"6'2.75""",79.75,"6'7.75""",5,197
Hunter Sallis,2025,Guard,ACC,Wake Forest,#9E7E38,UDFA,Philadelphia 76ers,PHI,22.25,75.75,"6'3.75""",82,"6'10""",6.25,181
RJ Luis Jr.,2025,Wing,Big East,St. John's,#BA0C2F,UDFA,Utah Jazz,UTA,22.58,77.75,"6'5.75""",82.5,"6'10.5""",4.75,210
Eric Dixon,2025,Big,Big East,Villanova,#13B5EA,UDFA,Los Angeles Lakers,LAL,24.42,79.5,"6'7.5""",83.5,"6'11.5""",4,259
Ryan Nembhard,2025,Guard,WCC,Gonzaga,#C8102E,UDFA,Dallas Mavericks,DAL,22.29,71,"5'11""",74.25,"6'2.25""",3.25,176
Vladislav Goldin,2025,Big,Big 10,Michigan,#FFCB05,UDFA,Miami Heat,MIA,24.12,84,"7'0""",89.25,"7'5.25""",5.25,253
Dink Pate,2025,Wing,G League,Mexico City,#274185,UDFA,New York Knicks,NYK,19.29,78.25,"6'6.25""",81.75,"6'9.75""",3.5,201
Brice Williams,2025,Wing,Big 10,Nebraska,#E41C38,UDFA,Detroit Pistons,DET,23.97,77.25,"6'5.25""",82.75,"6'10.75""",5.5,206
