Name,Draft Year,Nationality,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Daishen Nix,2021,USA,Guard,G League,G League Ignite,#8C2A93,UDFA,Philadelphia 76ers,PHI,19.35,75,"6'3""",78.75,"6'6.75""",3.75,226
Yves Pons,2021,Haiti,Wing,SEC,Tennessee,#FF8200,UDFA,Memphis Grizzlies,MEM,22.12,77.5,"6'5.5""",84.75,"7'0.75""",7.25,206
Austin Reaves,2021,USA,Guard,Big 12,Oklahoma,#841617,UDFA,Los Angeles Lakers,LAL,23.06,76.5,"6'4.5""",78.25,"6'6.25""",1.75,197
Trendon Watford,2021,USA,Wing,SEC,LSU,#461D7C,UDFA,Portland Trail Blazers,POR,20.61,79.75,"6'7.75""",86.25,"7'2.25""",6.5,237
McKinley Wright IV,2021,USA,Guard,PAC 12,Colorado,#CFB87C,UDFA,Minnesota Timberwolves,MIN,22.65,71.25,"5'11.25""",77.25,"6'5.25""",6,192
Duane Washington Jr.,2021,USA,Guard,Big 10,Ohio State,#BB0000,UDFA,Indiana Pacers,IND,21.25,74.25,"6'2.25""",79.75,"6'7.75""",5.5,197
Sam Hauser,2021,USA,Wing,ACC,Virginia,#F84C1E,UDFA,Boston Celtics,BOS,23.54,78.75,"6'6.75""",81.25,"6'9.25""",2.5,217
Jose Alvarado,2021,USA,Guard,ACC,Georgia Tech,#B3A369,UDFA,New Orleans Pelicans,NOP,23.19,71,"5'11""",73,"6'1""",2,175
Mac McClung,2021,USA,Guard,Big 12,Texas Tech,#CC0000,UDFA,Los Angeles Lakers,LAL,21.47,73.25,"6'1.25""",74.25,"6'2.25""",1,179
Micah Potter,2021,USA,Big,Big 10,Wisconsin,#C5050C,UDFA,Miami Heat,MIA,23.22,81,"6'9""",85,"7'1""",4,248
Justin Champagnie,2021,USA,Wing,ACC,Pittsburgh,#003594,UDFA,Toronto Raptors,TOR,19.98,77.75,"6'5.75""",81.5,"6'9.5""",3.75,206
