Board,Draft Year,Board Size,Consensus Lottery,Consensus-L %ile,Consensus-L z-score,Consensus Top 30,Consensus-T30 %ile,Consensus-T30 z-score,Consensus Top 60,Consensus-T60 %ile,Consensus-T60 z-score,NBA Draft Lottery,NBA-L %ile,NBA-L z-score,NBA Draft Top 30,NBA-T30 %ile,NBA-T30 z-score,NBA Draft Top 60,NBA-T60 %ile,NBA-T60 z-score,Redraft Lottery,R-L %ile,R-L z-score,Redraft Top 30,R-T30 %ile,R-T30 z-score,Redraft Top 60,R-T60 %ile,R-T60 z-score,EPM Lottery,EPM-L %ile,EPM-L z-score,EPM Top 30,EPM-T30 %ile,EPM-T30 z-score,EPM Top 60,EPM-T60 %ile,EPM-T60 z-score,EW Lottery,EW-L %ile,EW-L z-score,EW Top 30,EW-T30 %ile,EW-T30 z-score,EW Top 60,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
Consensus,2022,179,0,,,0,,,0,,,0.873,0.857,1.11,0.833,0.806,0.96,0.864,0.941,1.29,556.718,0.778,0.50,544.052,0.727,0.58,492.534,0.855,1.12,1.188,0.636,0.19,1.295,0.737,0.66,1.665,0.887,0.94,4.97,0.616,0.21,3.784,0.727,0.63,2.896,0.839,0.91,0.299,24,0.768,0.626,24,0.768,0.987,6,0.919,,,,,,,,,,,,,,,,,,,,,,,,,,,
@BaturePreacher,2022,100,1.324,0.704,0.52,2.301,0.888,1.07,4.656,0.836,1.00,0.771,0.592,0.44,0.767,0.592,0.34,0.787,0.735,0.58,570.958,0.596,0.11,557.304,0.636,0.28,497.164,0.823,1.02,1.26,0.242,-0.56,1.383,0.444,-0.11,1.674,0.839,0.84,5.037,0.515,-0.01,4.173,0.303,-0.40,3.058,0.661,0.44,-0.155,58,0.424,-0.079,58,0.424,0.767,12,0.823,,,,,,,,,,,,,,,,,,,,,,,,,,,
@CediBetter,2022,100,1.051,0.837,0.70,2.467,0.847,0.98,4.324,0.934,1.15,0.947,0.99,1.60,0.772,0.622,0.38,0.813,0.838,0.82,569.839,0.626,0.14,555.313,0.657,0.33,522.149,0.661,0.49,1.226,0.394,-0.21,1.351,0.535,0.17,1.698,0.758,0.58,4.958,0.646,0.24,3.98,0.535,0.11,3.254,0.387,-0.12,0.059,43,0.576,0.201,40,0.606,0.316,25,0.613,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ZP12Hoops,2022,100,3.197,0.112,-0.74,6.488,0.051,-1.33,7.621,0.328,-0.33,0.622,0.255,-0.54,0.719,0.398,-0.11,0.667,0.206,-0.54,577.784,0.525,-0.08,565.349,0.525,0.09,552.028,0.403,-0.14,1.166,0.707,0.42,1.267,0.838,0.90,1.741,0.484,0.11,5.016,0.535,0.06,4.071,0.414,-0.13,3.366,0.274,-0.44,0.132,35,0.657,0.289,34,0.667,-0.157,37,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,
@BrianJNBA,2022,100,1.205,0.765,0.60,3.82,0.551,0.20,6.206,0.557,0.31,0.582,0.163,-0.80,0.729,0.429,-0.02,0.714,0.353,-0.10,508.505,0.929,1.83,508.789,0.949,1.40,504.379,0.806,0.87,1.028,0.98,1.87,1.341,0.556,0.25,1.689,0.806,0.67,4.96,0.626,0.24,3.747,0.747,0.73,2.914,0.806,0.86,1.312,9,0.919,0.795,18,0.828,0.799,10,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,
@OpticalHoops,2022,100,1.472,0.592,0.42,2.52,0.827,0.95,5.598,0.689,0.58,0.881,0.888,1.17,0.686,0.316,-0.42,0.752,0.574,0.25,590.077,0.343,-0.42,592.59,0.273,-0.53,518.517,0.677,0.57,1.214,0.455,-0.08,1.486,0.152,-1.02,1.641,0.919,1.20,4.956,0.657,0.25,3.896,0.616,0.34,3.126,0.581,0.25,-0.084,53,0.475,-0.405,73,0.273,0.670,13,0.806,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESPN,2022,100,1.156,0.796,0.63,1.829,0.959,1.34,4.091,0.967,1.26,0.912,0.959,1.37,0.887,0.959,1.46,0.91,0.985,1.72,560.907,0.747,0.38,507.502,0.96,1.43,487.874,0.903,1.22,1.249,0.303,-0.45,1.237,0.879,1.17,1.845,0.129,-1.02,4.905,0.737,0.42,3.592,0.909,1.15,2.751,0.935,1.32,0.118,36,0.646,1.246,6,0.949,0.508,17,0.742,,,,,,,,,,,,,,,,,,,,,,,,,,,
@JeremyWoo (ESPN),2022,100,1.449,0.602,0.44,3.322,0.653,0.49,4.764,0.787,0.95,0.886,0.898,1.20,0.884,0.949,1.43,0.882,0.956,1.46,628.391,0.051,-1.48,571.324,0.485,-0.04,487.405,0.919,1.23,1.219,0.434,-0.13,1.339,0.576,0.27,1.69,0.774,0.66,5.265,0.263,-0.75,3.885,0.626,0.36,2.87,0.855,0.98,-0.787,89,0.111,0.198,41,0.596,0.958,7,0.903,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBS Sports,2022,100,1.69,0.51,0.27,2.3,0.898,1.07,6.099,0.607,0.35,0.912,0.959,1.37,0.813,0.786,0.77,0.801,0.779,0.71,576.145,0.535,-0.04,560.455,0.606,0.21,542.366,0.468,0.06,1.219,0.434,-0.13,1.306,0.727,0.56,1.713,0.629,0.41,4.889,0.758,0.47,3.994,0.495,0.07,3.28,0.339,-0.19,0.099,37,0.636,0.281,35,0.657,0.094,32,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,
@DKPhiSports,2022,100,1.211,0.755,0.60,4.26,0.398,-0.05,5.697,0.639,0.54,0.618,0.245,-0.56,0.652,0.255,-0.74,0.66,0.191,-0.60,564.779,0.707,0.28,600.001,0.222,-0.70,533.839,0.565,0.24,1.212,0.475,-0.06,1.563,0.071,-1.69,1.72,0.581,0.34,4.908,0.717,0.41,4.934,0.01,-2.43,3.741,0.048,-1.51,0.208,28,0.727,-1.609,95,0.051,-0.311,42,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,
