Name,Draft Year,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Jesse Edwards,2024,Big,Big 12,West Virginia,#EAAA00,UDFA,Minnesota Timberwolves,MIN,24.28,83.5,"6'11.5""",89,"7'5""",5.5,236
Donta Scott,2024,Wing,Big 10,Maryland,#E03A3E,UDFA,Golden State Warriors,GSW,23.56,79.5,"6'7.5""",83,"6'11""",3.5,230
Clarence Daniels,2024,Wing,America East,New Hampshire,#BBBCBC,UDFA,Oklahoma City Thunder,OKC,23.55,77.5,"6'5.5""",82.5,"6'10.5""",5,210
David Jones,2024,Wing,American,Memphis,#003087,UDFA,Philadelphia 76ers,PHI,22.58,75.5,"6'3.5""",78.75,"6'6.75""",3.25,210
Tyler Thomas,2024,Guard,CAA,Hofstra,#FEB612,UDFA,Chicago Bulls,CHI,24.4,75,"6'3""",N/A,N/A,N/A,195
Kenan Blackshear,2024,Guard,Mountain West,Nevada,#003366,UDFA,Sacramento Kings,SAC,23.09,78.25,"6'6.25""",82,"6'10""",3.75,215
DJ Burns,2024,Big,ACC,NC State,#CC0000,UDFA,Cleveland Cavaliers,CLE,23.7,81,"6'9""",N/A,N/A,N/A,275
Emanuel Miller,2024,Wing,Big 12,TCU,#4D1979,UDFA,Chicago Bulls,CHI,24.02,78,"6'6""",81,"6'9""",3,215
Drew Pember,2024,Big,Big South,UNC Asheville,#003DA5,UDFA,Memphis Grizzlies,MEM,24.04,82.75,"6'10.75""",82,"6'10""",-0.75,215
Isaiah Stevens,2024,Guard,Mountain West,Colorado State,#1E4D2B,UDFA,Miami Heat,MIA,23.65,71,"5'11""",76,"6'4""",5,185
Joel Soriano,2024,Big,Big East,St. John's,#BA0C2F,UDFA,Charlotte Hornets,CHA,24.41,82,"6'10""",87.5,"7'3.5""",5.5,256
Hunter Cattoor,2024,Guard,ACC,Virginia Tech,#630031,UDFA,Cleveland Cavaliers,CLE,23.6,74.5,"6'2.5""",75,"6'3""",0.5,200
Daniss Jenkins,2024,Guard,Big East,St. John's,#BA0C2F,UDFA,Detroit Pistons,DET,22.85,75.25,"6'3.25""",78.5,"6'6.5""",3.25,165
Armando Bacot,2024,Big,ACC,North Carolina,#7BAFD4,UDFA,Memphis Grizzlies,MEM,24.31,81,"6'9""",85,"7'1""",4,240
Tristan Enaruna,2024,Wing,Horizon,Cleveland State,#006747,UDFA,Boston Celtics,BOS,23,80.25,"6'8.25""",85,"7'1""",4.75,220
Shahada Wells,2024,Guard,Southland,McNeese State,#00529B,UDFA,Houston Rockets,HOU,24.83,71.25,"5'11.25""",77,"6'5""",5.75,184
Josh Oduro,2024,Big,Big East,Providence,#8A8D8F,UDFA,New Orleans Pelicans,NOP,23.7,81,"6'9""",85,"7'1""",4,240
Warren Washington,2024,Big,Big 12,Texas Tech,#CC0000,UDFA,Miami Heat,MIA,24.32,84,"7'0""",N/A,N/A,N/A,225
Santiago Vescovi,2024,Guard,SEC,Tennessee,#FF8200,UDFA,Golden State Warriors,GSW,22.78,75.25,"6'3.25""",78.5,"6'6.5""",3.25,188
Jamarion Sharp,2024,Big,SEC,Ole Miss,#CE1126,UDFA,Dallas Mavericks,DAL,22.83,87.75,"7'3.75""",93,"7'9""",5.25,235
Alex Ducas,2024,Wing,WCC,Saint Mary's,#DB0024,UDFA,Oklahoma City Thunder,OKC,23.54,79.25,"6'7.25""",82,"6'10""",2.75,220
Gabe McGlothan,2024,Wing,WAC,Grand Canyon,#522398,UDFA,Denver Nuggets,DEN,25.32,79,"6'7""",N/A,N/A,N/A,235
RaeQuan Battle,2024,Wing,Big 12,West Virginia,#EAAA00,UDFA,Charlotte Hornets,CHA,23.35,76.5,"6'4.5""",80,"6'8""",3.5,195
Justin Moore,2024,Wing,Big East,Villanova,#13B5EA,UDFA,Milwaukee Bucks,MIL,24.21,77,"6'5""",N/A,N/A,N/A,210
Jordan Wright,2024,Wing,SEC,LSU,#461D7C,UDFA,Detroit Pistons,DET,23.76,77.5,"6'5.5""",79.5,"6'7.5""",2,230
Blake Hinson,2024,Wing,ACC,Pittsburgh,#003594,UDFA,Los Angeles Lakers,LAL,23.5,77.75,"6'5.75""",82.5,"6'10.5""",4.75,230
Mohamed Diarra,2024,Big,ACC,NC State,#CC0000,UDFA,Los Angeles Lakers,LAL,24.48,82,"6'10""",N/A,N/A,N/A,225
Kevin Cross,2024,Wing,American,Tulane,#006747,UDFA,Charlotte Hornets,CHA,24.43,80,"6'8""",N/A,N/A,N/A,225
Tre Mitchell,2024,Big,SEC,Kentucky,#0033A0,UDFA,Oklahoma City Thunder,OKC,23.76,81,"6'9""",N/A,N/A,N/A,240
Tyrese Samuel,2024,Big,SEC,Florida,#FA4616,UDFA,Phoenix Suns,PHX,24.3,81.25,"6'9.25""",87.5,"7'3.5""",6.25,239
Jahmir Young,2024,Guard,Big 10,Maryland,#E03A3E,UDFA,Denver Nuggets,DEN,23.72,72.75,"6'0.75""",76.5,"6'4.5""",3.75,185
Xavier Johnson,2024,Guard,MVC,Southern Illinois,#720000,UDFA,Dallas Mavericks,DAL,24.7,72.75,"6'0.75""",77.5,"6'5.5""",4.75,189
DJ Horne,2024,Guard,ACC,NC State,#CC0000,UDFA,San Antonio Spurs,SAS,23.65,74,"6'2""",N/A,N/A,N/A,175
Jamison Battle,2024,Wing,Big 10,Ohio State,#BB0000,UDFA,Toronto Raptors,TOR,23.12,79.25,"6'7.25""",81,"6'9""",1.75,220
Jaedon LeDee,2024,Wing,Mountain West,San Diego State,#A6192E,UDFA,Minnesota Timberwolves,MIN,24.92,79.75,"6'7.75""",83,"6'11""",3.25,240
Jaelen House,2024,Guard,Mountain West,New Mexico,#BA0C2F,UDFA,Boston Celtics,BOS,23.15,71.25,"5'11.25""",74.25,"6'2.25""",3,165
Vonterius Woolbright,2024,Wing,Southern,Western Carolina,#592C88,UDFA,Houston Rockets,HOU,23.72,77.25,"6'5.25""",78.5,"6'6.5""",1.25,215
Quincy Olivari,2024,Wing,Big East,Xavier,#9EA2A2,UDFA,Los Angeles Lakers,LAL,23.08,74.5,"6'2.5""",79,"6'7""",4.5,200
Keion Brooks Jr.,2024,Wing,PAC 12,Washington,#4B2E83,UDFA,New Orleans Pelicans,NOP,23.88,78.75,"6'6.75""",82.5,"6'10.5""",3.75,210
Boo Buie,2024,Guard,Big 10,Northwestern,#4E2A84,UDFA,New York Knicks,NYK,23.55,74,"6'2""",N/A,N/A,N/A,180
RayJ Dennis,2024,Guard,Big 12,Baylor,#154734,UDFA,Indiana Pacers,IND,23.24,74.75,"6'2.75""",80.5,"6'8.5""",5.75,180
Aaron Estrada,2024,Guard,SEC,Alabama,#9E1B32,UDFA,Detroit Pistons,DET,23.39,75.5,"6'3.5""",77.5,"6'5.5""",2,190
Tyrece Radford,2024,Wing,SEC,Texas A&M,#500000,UDFA,San Antonio Spurs,SAS,25.18,73.5,"6'1.5""",81,"6'9""",7.5,200
Mark Armstrong,2024,Guard,Big East,Villanova,#13B5EA,UDFA,Brooklyn Nets,BKN,20.35,73.25,"6'1.25""",76.25,"6'4.25""",3,180
Jermaine Couisnard,2024,Guard,PAC 12,Oregon,#154733,UDFA,New Orleans Pelicans,NOP,24.49,76.5,"6'4.5""",81.5,"6'9.5""",5,215
Tyson Walker,2024,Guard,Big 10,Michigan State,#18453B,UDFA,Phoenix Suns,PHX,23.77,72.5,"6'0.5""",75.5,"6'3.5""",3,185
Branden Carlson,2024,Big,PAC 12,Utah,#CC0000,UDFA,Oklahoma City Thunder,OKC,25.01,83.75,"6'11.75""",85,"7'1""",1.25,220
Jaylin Williams,2024,Wing,SEC,Auburn,#E87722,UDFA,Denver Nuggets,DEN,23.92,80.25,"6'8.25""",84,"7'0""",3.75,238
Babacar Sane,2024,Wing,G League,G League Ignite,#8C2A93,UDFA,Utah Jazz,UTA,20.77,78.75,"6'6.75""",86.5,"7'2.5""",7.75,230
Bryson Warren,2024,Guard,G League,Sioux Falls,#98002E,UDFA,Miami Heat,MIA,19.7,73.5,"6'1.5""",78.25,"6'6.25""",4.75,174
Quinn Ellis,2024,Guard,Italian Serie A,Trento,#2F353F,UDFA,Portland Trail Blazers,POR,21.24,76,"6'4""",80.5,"6'8.5""",4.5,194
Taran Armstrong,2024,Guard,Aus. NBL,Cairns,#DE6237,UDFA,Golden State Warriors,GSW,22.45,76.75,"6'4.75""",78,"6'6""",1.25,190
