Player,Pre-NBA,Draft Year,Combine Position,Primary Position,Secondary Positions,Default Position,Is Primary,Hand Length (in.),Hand Width (in.),Height w/o Shoes,Height (in.),Standing Reach,Standing Reach (in.),Wingspan,Wingspan (in.),Weight (lbs),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical,Max Vertical,Height (in.)_Percentile,Standing Reach (in.)_Percentile,Wingspan (in.)_Percentile,Weight (lbs)_Percentile,Hand Length (in.)_Percentile,Hand Width (in.)_Percentile,Physical Score,Lane Agility Time_Percentile,Three Quarter Sprint_Percentile,Shuttle Run_Percentile,Agility Score,Max Vertical_Percentile,Standing Vertical_Percentile,Vertical Score,Raw Score,Combine Score
Kyle Visser,,2007,C,C,PF,PF,0,,,"6'10""",82,"9'0""",108,"6'11""",83,242,12.6,,3.39,26,29,95.10250569,64.80637813,16.74259681,66.28701595,,,60.73462415,7.954545455,29.00763359,,18.48108952,9.848484848,20.02518892,14.93683688,31.38418352,11.46907216
Major Wingate,,2007,C,C,PF,PF,0,,,"6'8.5""",80.5,"9'1""",109,"7'4""",88,242,12.14,,3.47,27.5,30.5,57.74487472,80.97949886,89.17995444,66.28701595,,,73.54783599,19.19191919,15.13994911,,17.16593415,21.46464646,38.66498741,30.06481694,40.25952903,26.93298969
Mario Boggan,,2007,PF,PF,SF-C,SF,0,,,"6'5""",77,"8'11""",107,"7'2""",86,240,12.18,,3.45,24,26.5,17.20930233,90.58139535,91.86046512,95.34883721,,,73.75,5.412371134,4.510309278,,4.961340206,0.3846153846,3.341902314,1.863258849,26.85819969,5.408970976
Mario Boggan,,2007,PF,PF,SF-C,C,0,,,"6'5""",77,"8'11""",107,"7'2""",86,240,12.18,,3.45,24,26.5,0.518134715,9.635416667,27.20207254,41.96891192,,,19.83113396,30.625,37.5,,34.0625,6.5625,17.8125,12.1875,22.02704465,2.215189873
Marko Lekic,,2007,C,C,PF,PF,0,,,"6'9""",81,"9'0.5""",108.5,"7'1""",85,267,11.96,,3.43,24,30.5,76.08200456,73.23462415,47.72209567,95.89977221,,,73.23462415,25.37878788,21.88295165,,23.63086977,21.46464646,5.415617128,13.4401318,36.7685419,17.65463918
Mohamed Abukar,,2007,SF,SF,SG-PF,SG,0,,,"6'8""",80,"8'7""",103,"6'9""",81,210,11.78,,3.37,30.5,35,100,82.77591973,57.85953177,73.32214765,,,78.48939979,7.884615385,11.06870229,,9.476658837,39.88549618,58.83458647,49.36004132,45.77536665,36.05577689
Mohamed Abukar,,2007,SF,SF,SG-PF,PF,0,,,"6'8""",80,"8'7""",103,"6'9""",81,210,11.78,,3.37,30.5,35,41.6856492,3.872437358,1.822323462,6.9476082,,,13.58200456,36.48989899,33.20610687,,34.84800293,70.45454545,75.06297229,72.75875887,40.39625545,27.44845361
Mustafa Shakur,,2007,PG,PG,SG,SG,0,,,"6'3""",75,"8'3""",99,"6'5.5""",77.5,185,11.82,,3.27,28.5,35,23.24414716,17.39130435,6.18729097,11.57718121,,,14.59998092,6.538461538,35.30534351,,20.92190252,39.88549618,33.45864662,36.6720714,24.06465162,6.972111554
Nick Young,USC,2007,SG-SF,SF,SG,SG,0,,,"6'5""",77,"8'4.5""",100.5,"7'0""",84,206,11,,3.25,39.5,40.5,86.12040134,38.29431438,96.32107023,64.4295302,,,71.29132904,58.07692308,41.79389313,,49.9354081,89.50381679,99.62406015,94.56393847,71.9302252,93.8247012
Quinton Hosley,,2007,SF-SG,SF,SG,SG,0,,,"6'5""",77,"8'9""",105,"6'11.25""",83.25,215,12.47,,3.32,28.5,34,86.12040134,98.66220736,92.47491639,86.40939597,,,90.91673026,1.153846154,19.84732824,,10.5005872,28.6259542,33.45864662,31.04230041,44.15320596,31.67330677
Ramon Sessions,Nevada,2007,PG,PG,SG,SG,0,,,"6'2""",74,"8'1.5""",97.5,"6'4.25""",76.25,185,11.65,,3.27,29.5,33.5,4.682274247,5.351170569,2.675585284,11.57718121,,,6.071552827,12.30769231,35.30534351,,23.80651791,23.85496183,46.42857143,35.14176663,21.67327912,4.581673307
Rashad Jones-Jennings,,2007,PF,PF,SF-C,SF,0,,,"6'6""",78,"8'9.5""",105.5,"7'0""",84,235,12.18,,3.29,25,30,46.04651163,72.79069767,69.65116279,91.74418605,,,70.05813953,5.412371134,39.69072165,,22.55154639,5.897435897,6.041131105,5.969283501,32.85965648,12.00527704
Rashad Jones-Jennings,,2007,PF,PF,SF-C,C,0,,,"6'6""",78,"8'9.5""",105.5,"7'0""",84,235,12.18,,3.29,25,30,0.518134715,3.125,8.808290155,30.31088083,,,10.69057642,30.625,75.3125,,52.96875,31.5625,27.1875,29.375,31.01144214,7.278481013
Rashaun Freeman,,2007,PF,PF,SF-C,SF,0,,,"6'6""",78,"8'8""",104,"6'11.5""",83.5,244,11.43,,3.41,28,32,46.04651163,47.20930233,61.1627907,97.55813953,,,62.99418605,39.94845361,9.922680412,,24.93556701,18.84615385,29.4344473,24.14030057,37.35668454,18.86543536
Rashaun Freeman,,2007,PF,PF,SF-C,C,0,,,"6'6""",78,"8'8""",104,"6'11.5""",83.5,244,11.43,,3.41,28,32,0.518134715,1.041666667,5.958549223,51.8134715,,,14.83295553,78.75,45.9375,,62.34375,55.9375,59.6875,57.8125,44.99640184,37.65822785
Renaldas Seibutis,Maroussi,2007,SG,SG,PG-SF,PG,0,,,"6'4""",76,"8'5""",101,"6'8.75""",80.75,185,11.33,,3.39,24,32.5,90.89635854,90.05602241,88.93557423,46.20786517,,,79.02395509,25.63291139,5.396825397,,15.51486839,17.14285714,2.056962025,9.599909584,34.71291102,16.99029126
Renaldas Seibutis,Maroussi,2007,SG,SG,PG-SF,SF,0,,,"6'4""",76,"8'5""",101,"6'8.75""",80.75,185,11.33,,3.39,24,32.5,2.325581395,9.069767442,16.1627907,1.860465116,,,7.354651163,47.29381443,13.91752577,,30.6056701,22.43589744,3.341902314,12.88889987,16.94974038,0
Reyshawn Terry,North Carolina,2007,SF,SF,SG-PF,SG,0,,,"6'6.75""",78.75,"8'7.5""",103.5,"6'10""",82,222,11.76,,3.26,31,37.5,100,89.46488294,74.91638796,94.96644295,,,89.83692846,9.038461538,38.54961832,,23.79403993,67.36641221,63.72180451,65.54410836,59.72502559,71.11553785
