Player,Pre-NBA,Draft Year,Combine Position,Primary Position,Secondary Positions,Default Position,Is Primary,Hand Length (in.),Hand Width (in.),Height w/o Shoes,Height (in.),Standing Reach,Standing Reach (in.),Wingspan,Wingspan (in.),Weight (lbs),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical,Max Vertical,Height (in.)_Percentile,Standing Reach (in.)_Percentile,Wingspan (in.)_Percentile,Weight (lbs)_Percentile,Hand Length (in.)_Percentile,Hand Width (in.)_Percentile,Physical Score,Lane Agility Time_Percentile,Three Quarter Sprint_Percentile,Shuttle Run_Percentile,Agility Score,Max Vertical_Percentile,Standing Vertical_Percentile,Vertical Score,Raw Score,Combine Score
Ace Bailey,Rutgers,2025,SF-PF,SF,PF,SF,1,8.5,9,"6'7.5""",79.5,"8'11""",107,"7'0.5""",84.5,202.8,10.97,2.78,3.12,27.5,34.5,87.06293706,90.67599068,78.55477855,20.86247086,30.15873016,26.58730159,69.28904429,77.64857881,87.85529716,93.52941176,82.75193798,41.1311054,23.96907216,32.55008878,61.53035702,77.57255937
Adou Thiero,Arkansas,2025,PG-SG,SF,SG,SF,1,9,10.25,"6'6.25""",78.25,"8'8.5""",104.5,"7'0""",84,218.4,,,,,,54.54545455,57.45920746,69.6969697,62.47086247,74.8015873,92.65873016,61.04312354,,,,,,,,,
Alex Condon,,2025,SF-PF,PF,C,PF,1,9.25,9.75,"6'11.25""",83.25,"8'11.5""",107.5,"7'0.75""",84.75,221.8,11.57,2.76,3.27,30,34.5,99.31506849,55.3652968,43.72146119,22.83105023,75.58139535,51.62790698,55.30821918,50.75949367,63.52040816,92.63565891,57.13995092,65.69620253,71.33838384,68.51729319,60.32182109,73.45360825
Alex Toohey,Sydney,2025,SF,SF,SG-PF,SF,1,9,10.25,"6'7.75""",79.75,"8'8.5""",104.5,"6'10.75""",82.75,222.8,11.38,2.9,3.2,26.5,31.5,91.95804196,57.45920746,49.18414918,74.70862471,74.8015873,92.65873016,68.32750583,43.54005168,68.34625323,84.70588235,55.94315245,14.52442159,14.30412371,14.41427265,46.22831031,39.84168865
Alijah Martin,Florida,2025,SG,SG,PG-SF,SG,1,8.25,9.25,"6'1.5""",73.5,"8'3.5""",99.5,"6'7.5""",79.5,208.4,11.06,3.05,3.11,29.5,38,2.013422819,23.32214765,30.70469799,68.68686869,17.06730769,47.83653846,31.18178429,53.08880309,86.01532567,50,69.55206438,73.37164751,46.41509434,59.89337092,53.54240653,59.3625498
Asa Newell,Georgia,2025,SF-PF,PF,SF-C,PF,1,9.25,10,"6'9""",81,"8'11.5""",107.5,"6'11.25""",83.25,223.8,10.95,2.78,3.26,29.5,36.5,76.14155251,55.3652968,19.6347032,27.39726027,75.58139535,65.58139535,44.6347032,89.11392405,68.1122449,91.47286822,78.61308447,85.3164557,66.03535354,75.67590462,66.30789743,87.88659794
Ben Henshall,,2025,SG,SG,SF,SG,1,8,8,"6'5.5""",77.5,"8'3.5""",99.5,"6'6.5""",78.5,193.4,10.49,3,3.07,30,36.5,94.96644295,23.32214765,15.10067114,26.93602694,5.288461538,1.682692308,40.08132217,95.94594595,93.48659004,62.32394366,94.71626799,59.00383142,52.64150943,55.82267043,63.54008686,76.89243028
Ben Saraf,Ratiopharm Ulm,2025,PG,PG,SG,PG,1,9.44,8.07,"6'6""",78,"8'4""",100,"6'8.7""",80.7,199,11.1,,3.2,,,99.15730337,83.28651685,88.20224719,83.52112676,99.50248756,6.965174129,88.54179854,45.3968254,51.11464968,,,,,,,
Bogoljub Markovic,KK Mega Basket,2025,PF,C,PF,C,1,8.25,9.75,"6'10.5""",82.5,"9'2""",110,"6'11.5""",83.5,213.2,11.4,2.96,3.43,24,27.5,50.26041667,45.02617801,5.729166667,4.166666667,1.2,37.2,26.295607,82.38993711,43.08176101,79.41176471,62.73584906,12.89308176,17.61006289,15.25157233,34.76100946,14.55696203
Boogie Fland,,2025,PG,PG,SG,PG,1,8.5,9,"6'2""",74,"8'2""",98,"6'6""",78,172.4,,,,,,68.82022472,58.56741573,56.17977528,14.50704225,71.64179104,49.50248756,49.5186145,,,,,,,,,
Brice Williams,Nebraska,2025,SG,SG,SF,SG,1,9,10.75,"6'5.25""",77.25,"8'7""",103,"6'10.75""",82.75,205.8,11.19,2.98,3.2,27.5,32.5,91.10738255,82.88590604,86.24161074,63.97306397,88.46153846,99.51923077,81.05199083,40.15444015,56.70498084,66.1971831,48.4297105,15.51724138,22.0754717,18.79635654,49.42601929,47.01195219
Carter Bryant,Arizona,2025,SF-PF,SF,PF,SF,1,8.5,9.5,"6'6.5""",78.5,"8'10""",106,"6'11.75""",83.75,214.8,11.25,3.14,3.07,30.5,39.5,62.47086247,79.6037296,65.38461538,52.91375291,30.15873016,58.92857143,65.09324009,52.71317829,95.47803618,35.88235294,74.09560724,90.10282776,63.65979381,76.88131079,72.02338604,93.93139842
Cedric Coward,Washington State,2025,PG-SG,SF,SG,SF,1,9.25,10,"6'5.25""",77.25,"8'10""",106,"7'2.25""",86.25,213,10.97,3.02,3.06,32.5,38.5,22.84382284,79.6037296,94.05594406,47.2027972,91.46825397,83.53174603,60.92657343,77.64857881,97.15762274,64.70588235,87.40310078,83.80462725,83.7628866,83.78375692,77.37114371,99.20844327
Chaz Lanier,Tennessee,2025,PG-SG,SG,PG-SF,SG,1,8.5,9.75,"6'3.75""",75.75,"8'5.5""",101.5,"6'9""",81,205.8,10.53,2.96,3.12,33,39,45.46979866,59.06040268,57.88590604,63.97306397,42.54807692,79.32692308,56.59729284,94.20849421,83.52490421,71.83098592,88.86669921,81.99233716,85.47169811,83.73201764,76.3986699,96.01593625
Chris Youngblood,Alabama,2025,SG-SF,SG,SF,SG,1,9,9,"6'3.25""",75.25,"8'3""",99,"6'6.75""",78.75,223.4,,,,27.5,33.5,30.53691275,17.28187919,18.79194631,96.2962963,88.46153846,32.69230769,40.72675864,,,,,23.75478927,22.0754717,22.91513049,,
Collin Murray-Boyles,South Carolina,2025,SF-PF,PF,SF-C,PF,1,8.5,10.25,"6'6.5""",78.5,"8'10""",106,"7'0.75""",84.75,239.2,11.21,2.86,3.15,29.5,34.5,11.87214612,27.05479452,43.72146119,58.56164384,10.46511628,78.8372093,35.30251142,77.34177215,93.75,88.75968992,85.54588608,65.69620253,66.03535354,65.86577803,62.23805851,78.86597938
Cooper Flagg,Duke,2025,SF-PF,SF,PF,SF,1,8.75,9.75,"6'7.75""",79.75,"8'10.5""",106.5,"7'0""",84,221,10.64,2.92,3.3,29,35.5,91.95804196,85.66433566,69.6969697,70.16317016,52.57936508,73.01587302,79.37062937,94.05684755,36.56330749,81.47058824,65.31007752,54.37017995,43.04123711,48.70570853,64.46213847,84.96042216
Curtis Jones,Iowa State,2025,SG,SG,PG,SG,1,9.25,8.75,"6'3""",75,"8'3""",99,"6'7.5""",79.5,183.4,11.28,2.86,3.13,29,37,23.15436242,17.28187919,30.70469799,9.764309764,97.11538462,20.19230769,20.22631234,36.67953668,80.45977011,91.54929577,58.5696534,63.2183908,39.43396226,51.32617653,43.37404742,30.27888446
Danny Wolf,Michigan,2025,SF-PF,C,PF,C,1,9.25,9.75,"6'10.5""",82.5,"9'1""",109,"7'2.25""",86.25,251.8,11.26,2.91,3.51,24,30,50.26041667,27.48691099,31.25,66.40625,56.4,37.2,43.85089442,90.25157233,22.01257862,88.23529412,56.13207547,31.44654088,17.61006289,24.52830189,41.50375726,31.01265823
Darrion Williams,,2025,SF,SF,PF,SF,1,9,10.5,"6'4.5""",76.5,"8'5""",101,"6'6.5""",78.5,236,11.73,3.01,3.34,24,30,6.41025641,8.974358974,2.331002331,92.65734266,74.8015873,97.81746032,27.59324009,20.28423773,24.16020672,65.88235294,22.22222222,5.784061697,3.221649485,4.502855591,18.10610597,0.2638522427
Derik Queen,Maryland,2025,C,C,PF,C,1,9,9.5,"6'9.25""",81.25,"9'1.5""",109.5,"7'0.5""",84.5,247.8,12.45,3.27,3.52,23.5,28,21.09375,35.86387435,10.67708333,58.59375,29.6,26,31.55711442,19.81132075,19.81132075,30.58823529,19.81132075,17.29559748,11.32075472,14.3081761,21.89220376,1.898734177
Dink Pate,Mexico City,2025,SG,SG,SF,SG,1,8.5,9,"6'6.25""",78.25,"8'8""",104,"6'9.75""",81.75,200.8,10.63,2.97,3.29,24.5,32.5,99.4966443,94.96644295,70.63758389,47.64309764,42.54807692,32.69230769,78.1859422,88.41698842,28.73563218,69.36619718,58.5763103,15.51724138,3.58490566,9.55107352,48.77110867,45.01992032
Drake Powell,North Carolina,2025,SF-PF,SF,SG-PF,SF,1,8.75,10,"6'5.25""",77.25,"8'7""",103,"7'0""",84,200.4,10.71,2.79,3.07,37.5,43,22.84382284,29.83682984,69.6969697,16.66666667,52.57936508,83.53174603,34.76107226,90.69767442,95.47803618,92.35294118,93.0878553,99.10025707,98.84020619,98.97023163,75.6063864,97.62532982
Dylan Harper,Rutgers,2025,PG-SG,PG,SG-SF,PG,1,9.25,9.25,"6'4.5""",76.5,"8'6""",102,"6'10.5""",82.5,213.2,11.07,3.05,3.16,30.5,36.5,94.94382022,94.1011236,97.89325843,97.04225352,98.75621891,65.67164179,95.99511394,49.04761905,69.26751592,50.71428571,59.15756749,56.68789809,60.47619048,58.58204428,71.24490857,93.2038835
Egor Demin,BYU,2025,PG-SG,PG,SG-SF,PG,1,8.25,9.25,"6'8.25""",80.25,"8'9.5""",105.5,"6'10.25""",82.25,199.2,11.31,2.93,3.33,26.5,32,100,99.57865169,97.47191011,84.50704225,44.27860697,65.67164179,95.38940101,25.87301587,10.1910828,69.28571429,18.03204934,12.89808917,15.07936508,13.98872713,42.47005916,29.77346278
Eric Dixon,Villanova,2025,PF,PF,C,PF,1,8.75,10,"6'7.5""",79.5,"8'8""",104,"6'11.5""",83.5,258.6,11.56,3.09,3.41,28,32.5,30.59360731,8.789954338,22.83105023,89.9543379,26.04651163,65.58139535,38.04223744,51.64556962,24.61734694,55.81395349,38.13145828,44.55696203,44.57070707,44.56383455,40.24584342,26.80412371
Gabe Madsen,Utah,2025,SG-SF,SG,SF,SG,1,8.5,9.5,"6'5.25""",77.25,"8'2""",98,"6'4""",76,203,10.448,3.041,3.154,32,,91.10738255,9.563758389,2.181208054,54.20875421,42.54807692,63.94230769,39.2652758,97.68339768,72.03065134,51.4084507,84.85702451,,76.22641509,,,
Grant Nelson,Alabama,2025,PF,PF,C,PF,1,9,9.75,"6'10""",82,"9'1""",109,"7'0""",84,229.8,10.51,2.58,3.23,27,30,95.20547945,81.05022831,30.3652968,38.01369863,50.69767442,51.62790698,61.1586758,99.24050633,78.44387755,97.6744186,88.84219194,16.58227848,32.44949495,24.51588672,58.17225148,67.26804124
Hansen Yang,Qingdao,2025,C,C,,C,1,10,11.25,"7'1""",85,"9'3""",111,"7'2.75""",86.75,252.6,11.79,3.01,3.38,26,30,92.44791667,60.9947644,41.14583333,69.01041667,96.4,98.8,65.89973277,55.97484277,55.03144654,65.88235294,55.50314465,31.44654088,34.27672956,32.86163522,51.42150421,54.43037975
Hugo González,Real Madrid,2025,SF,SF,SG,SF,1,10.25,9,"6'6.25""",78.25,"8'5.5""",101.5,"6'10.75""",82.75,222.7,10.91,,3.27,,,54.54545455,12.23776224,49.18414918,74.12587413,100,26.58730159,47.52331002,82.2997416,44.96124031,,,,,,,
Hunter Sallis,Wake Forest,2025,SG,SG,PG-SF,SG,1,8.5,9.75,"6'3.75""",75.75,"8'4""",100,"6'10""",82,181.4,10.99,2.94,3.22,31,37.5,45.46979866,30.20134228,75,7.239057239,42.54807692,79.32692308,39.47754954,59.65250965,49.04214559,74.64788732,54.34732762,67.43295019,63.77358491,65.60326755,53.14271491,58.56573705
Izan Almansa,Perth,2025,C,C,PF,C,1,9.25,9.5,"6'9.25""",81.25,"9'1.5""",109.5,"7'1.75""",85.75,220.4,11.46,2.93,3.33,28,34,21.09375,35.86387435,23.95833333,8.333333333,56.4,26,22.31232275,75.78616352,68.86792453,84.11764706,72.32704403,76.72955975,59.74842767,68.23899371,54.29278683,61.39240506
Jahmai Mashack,Tennessee,2025,SG,SG,PG,SG,1,10,9,"6'2.75""",74.75,"8'4""",100,"6'7.75""",79.75,197.2,10.83,2.91,3.09,29.5,35,16.10738255,30.20134228,33.55704698,36.7003367,100,32.69230769,29.14152713,74.51737452,89.8467433,84.85915493,82.18205891,39.8467433,46.41509434,43.13091882,51.48483495,53.38645418
Jalon Moore,Oklahoma,2025,SF,SF,PF,SF,1,9,9.5,"6'6.25""",78.25,"8'8.5""",104.5,"6'10.25""",82.25,203.4,11.68,3.1,3,32.5,39,54.54545455,57.45920746,43.58974359,22.26107226,74.8015873,58.92857143,44.46386946,24.28940568,99.6124031,44.11764706,61.95090439,87.01799486,83.7628866,85.39044073,63.93507153,83.37730871
Jamir Watkins,Florida State,2025,SF,SF,SG,SF,1,9.25,9.75,"6'5""",77,"8'6.5""",102.5,"6'11.25""",83.25,214.6,11.19,3.21,3.14,31.5,37,17.13286713,22.49417249,56.87645688,52.56410256,91.46825397,73.01587302,37.26689977,57.75193798,83.72093023,21.17647059,70.73643411,71.20822622,74.61340206,72.91081414,60.30471601,75.72559367
Jase Richardson,Michigan State,2025,PG-SG,PG,SG,PG,1,8.5,9.5,"6'0.5""",72.5,"8'2.5""",98.5,"6'6""",78,178.4,10.97,3.08,3.22,30.5,38,37.21910112,66.01123596,56.17977528,27.74647887,71.64179104,80.34825871,46.78914781,59.04761905,42.51592357,45,50.78177131,73.56687898,60.47619048,67.02153473,54.86415128,56.9579288
Javon Small,West Virginia,2025,PG,PG,SG,PG,1,8.25,9.75,"6'1""",73,"8'0""",96,"6'4.75""",76.75,190,10.74,2.87,3.07,33,40.5,49.43820225,32.7247191,40.73033708,58.45070423,44.27860697,92.039801,45.33599066,80.47619048,91.56050955,81.42857143,86.01835002,89.96815287,87.3015873,88.63487008,73.32973692,96.76375405
Jeremiah Fears,Oklahoma,2025,PG-SG,PG,SG,PG,1,8.25,9.25,"6'2.5""",74.5,"8'2.5""",98.5,"6'5.25""",77.25,179.6,10.95,3.09,3.05,32.5,36.5,76.12359551,66.01123596,44.94382022,31.26760563,44.27860697,65.67164179,54.58656433,62.6984127,94.9044586,41.07142857,78.80143565,56.68789809,82.85714286,69.77252047,67.72017348,88.99676375
Joan Beringer,KK Cedevita Olimpija,2025,C,C,,C,1,9.75,10,"6'11""",83,"9'3""",111,"7'4.5""",88.5,234.8,11.44,2.97,3.45,28.5,32.5,63.28125,60.9947644,69.53125,29.6875,90,50.4,55.8736911,77.98742138,37.42138365,77.64705882,57.70440252,61.00628931,65.40880503,63.20754717,58.92854693,69.62025316
John Tonje,Wisconsin,2025,SG,SG,SF,SG,1,9,9.5,"6'4.75""",76.75,"8'6.5""",102.5,"6'9""",81,211.8,11.14,3.21,3.2,30,37,82.38255034,76.00671141,57.88590604,77.77777778,88.46153846,63.94230769,73.51323639,43.43629344,56.70498084,12.32394366,50.07063714,63.2183908,52.64150943,57.92995012,60.50460788,73.30677291
Johnell Davis,Arkansas,2025,SG,SG,PG,SG,1,9.75,9,"6'3.25""",75.25,"8'4""",100,"6'8""",80,196.4,,,,27,32,30.53691275,30.20134228,38.25503356,34.51178451,99.27884615,32.69230769,33.37626828,,,,,12.2605364,15.47169811,13.86611726,,
Johni Broome,Auburn,2025,SF-PF,PF,C,PF,1,9.25,10.25,"6'9.25""",81.25,"9'0.5""",108.5,"7'0.25""",84.25,249.4,11.52,3.23,3.37,24.5,28,81.84931507,73.28767123,35.38812785,78.19634703,75.58139535,78.8372093,67.1803653,53.92405063,33.16326531,32.17054264,43.54365797,4.810126582,6.944444444,5.877285513,38.86710293,22.93814433
Kam Jones,Marquette,2025,PG,PG,SG,PG,1,8.25,8.5,"6'3.25""",75.25,"8'4.5""",100.5,"6'6""",78,202.4,11.42,3.11,3.27,24.5,31.5,85.53370787,87.64044944,56.17977528,88.5915493,44.27860697,20.14925373,79.48637047,22.06349206,23.40764331,35.35714286,22.73556769,9.872611465,3.333333333,6.602972399,36.27497019,20.71197411
Karter Knox,,2025,SF,SF,SG-PF,SF,1,9,9.5,"6'5""",77,"8'6.5""",102.5,"6'10.25""",82.25,214.2,10.92,2.96,3.2,32,39.5,17.13286713,22.49417249,43.58974359,51.74825175,74.8015873,58.92857143,33.74125874,81.65374677,68.34625323,74.70588235,75,90.10282776,79.12371134,84.61326955,64.45150943,84.69656992
Kasparas Jakucionis,Illinois,2025,PG-SG,PG,SG,PG,1,8.5,9.75,"6'4.75""",76.75,"8'3.5""",99.5,"6'7.75""",79.75,205.2,10.99,2.82,3.22,28.5,35,96.48876404,77.80898876,80.75842697,92.11267606,71.64179104,92.039801,86.79221396,56.03174603,42.51592357,88.92857143,49.2738348,42.51592357,33.17460317,37.84526337,57.97043738,67.31391586
Khaman Maluach,Duke,2025,C,C,,C,1,9.75,10.25,"7'0.75""",84.75,"9'6""",114,"7'6.75""",90.75,252.8,12.05,3.44,3.5,24,30,89.84375,93.71727749,92.1875,69.79166667,90,67.2,86.38504854,38.36477987,25.1572327,11.76470588,31.76100629,31.44654088,17.61006289,24.52830189,47.5581189,44.93670886
Kobe Sanders,Nevada,2025,SF,SF,SG,SF,1,8.5,9.25,"6'7""",79,"8'7""",103,"6'8.25""",80.25,203.2,10.95,3,3.19,30,36,75.29137529,29.83682984,11.53846154,21.79487179,30.15873016,42.65873016,34.61538462,79.06976744,71.83462532,67.64705882,75.45219638,59.76863753,56.44329897,58.10596825,56.05784975,65.4353562
Koby Brea,Kentucky,2025,SG,SG,SF,SG,1,8.5,9.25,"6'5.75""",77.75,"8'5.5""",101.5,"6'5.25""",77.25,201.8,11.4,3.23,3.31,27.5,34,96.81208054,59.06040268,5.201342282,50.84175084,42.54807692,47.83653846,52.97889409,26.64092664,22.79693487,10.56338028,24.71893075,28.5440613,22.0754717,25.3097665,34.33586378,16.33466135
Kon Knueppel,Duke,2025,PG-SG,SG,PG-SF,SG,1,8.5,9.75,"6'5""",77,"8'5.5""",101.5,"6'6.25""",78.25,219,11.92,2.92,3.35,31.5,36.5,86.24161074,59.06040268,11.74496644,92.92929293,42.54807692,79.32692308,62.4940682,5.019305019,13.79310345,81.33802817,9.406204234,59.00383142,69.43396226,64.21889684,45.37305642,34.66135458
Labaron Philon,,2025,PG-SG,PG,SG,PG,1,8.5,9,"6'2.75""",74.75,"8'3.5""",99.5,"6'6.25""",78.25,174.6,11.46,3.14,3.16,28.5,32.5,78.65168539,77.80898876,60.39325843,17.04225352,71.64179104,49.50248756,58.47404653,20.31746032,69.26751592,28.21428571,44.79248812,17.03821656,33.17460317,25.10640987,42.7909815,30.42071197
Lachlan Olbrich,Illawarra,2025,PF,PF,C,PF,1,10,9,"6'8.75""",80.75,"8'11.5""",107.5,"6'11.25""",83.25,230.2,11.9,3,3.45,23.5,31,67.35159817,55.3652968,19.6347032,39.7260274,99.30232558,14.41860465,45.51940639,28.10126582,18.49489796,76.74418605,23.29808189,25.82278481,3.409090909,14.61593786,27.81114205,7.731958763
Liam McNeeley,UConn,2025,SF-PF,SF,SG-PF,SF,1,8.75,10,"6'6.75""",78.75,"8'3.5""",99.5,"6'8.5""",80.5,214.6,11.11,2.75,3.16,30.5,36.5,68.88111888,2.331002331,13.98601399,52.56410256,52.57936508,83.53174603,34.44055944,64.47028424,79.58656331,94.70588235,72.02842377,65.42416452,63.65979381,64.54197917,57.00365413,67.81002639
Mackenzie Mgbako,,2025,SF-PF,SF,PF,SF,1,9,9.25,"6'7.5""",79.5,"8'7""",103,"6'10.25""",82.25,216.4,11.99,2.94,3.39,27.5,33,87.06293706,29.83682984,43.58974359,56.41025641,74.8015873,42.65873016,54.22494172,9.302325581,13.82428941,77.94117647,11.56330749,26.22107969,23.96907216,25.09507593,30.29444172,8.707124011
Mark Sears,Alabama,2025,PG,PG,,PG,1,8,8.75,"5'10.75""",70.75,"7'8.5""",92.5,"6'2""",74,183.4,10.96,3.25,3.28,31,37.5,10.6741573,6.882022472,10.81460674,41.83098592,20.14925373,33.08457711,17.55044311,60.79365079,19.26751592,10.71428571,40.03058336,68.94904459,66.66666667,67.80785563,41.79629403,27.83171521
Max Shulga,VCU,2025,SG,SG,PG,SG,1,8,9.75,"6'4.25""",76.25,"8'3""",99,"6'5.75""",77.75,206.4,11.35,3.06,3.21,29.5,34.5,65.77181208,17.28187919,7.382550336,64.81481481,5.288461538,79.32692308,38.81276411,31.66023166,52.49042146,48.23943662,42.07532656,33.52490421,46.41509434,39.96999928,40.28602998,24.30278884
Maxime Raynaud,Stanford,2025,C,C,,C,1,9,10.25,"7'0.25""",84.25,"9'2""",110,"7'1.25""",85.25,236.8,11.31,3.16,3.23,28,31.5,86.71875,45.02617801,18.75,32.8125,29.6,67.2,45.826857,86.16352201,85.53459119,47.05882353,85.8490566,52.51572327,59.74842767,56.13207547,62.60266303,76.58227848
Micah Peavy,Georgetown,2025,SF,SF,SG,SF,1,8.5,8.75,"6'6.25""",78.25,"8'5""",101,"6'7.25""",79.25,211.6,10.9,3.06,3.13,30.5,35.5,54.54545455,8.974358974,5.361305361,43.35664336,30.15873016,14.28571429,28.05944056,83.20413437,85.52971576,53.23529412,84.36692506,54.37017995,63.65979381,59.01498688,57.1471175,68.86543536
Michael Ruzic,,2025,PF,PF,SF-C,PF,1,9,9.25,"6'11""",83,"9'0""",108,"7'0.75""",84.75,221.4,11.4,2.98,3.11,29.5,32.5,99.08675799,64.84018265,43.72146119,22.03196347,50.69767442,23.72093023,57.42009132,62.40506329,97.19387755,79.84496124,79.79947042,44.55696203,66.03535354,55.29615778,64.17190651,82.73195876
Miles Byrd,,2025,SG,SG,SF,SG,1,8.75,9.25,"6'4.75""",76.75,"8'6.5""",102.5,"6'10""",82,181.8,10.91,2.9,3.22,31.5,35.5,82.38255034,76.00671141,75,7.744107744,70.43269231,47.83653846,60.28334237,67.76061776,49.04214559,87.67605634,58.40138168,46.9348659,69.43396226,58.18441408,58.95637938,70.51792829
Miles Kelly,Auburn,2025,SG-SF,SG,SF,SG,1,9.5,8.75,"6'4""",76,"8'4.5""",100.5,"6'8.25""",80.25,178,11.3,2.8,,28.5,35,54.86577181,38.25503356,43.79194631,2.861952862,98.31730769,20.19230769,34.94367613,35.90733591,,93.30985915,,39.8467433,33.39622642,36.62148486,,
Milos Uzan,,2025,PG,PG,SG,PG,1,7.75,9,"6'3.25""",75.25,"8'1.5""",97.5,"6'5.25""",77.25,186.4,10.86,2.94,3.17,26.5,35,85.53370787,51.40449438,44.94382022,50.56338028,7.711442786,49.50248756,58.11135069,68.88888889,65.92356688,67.85714286,67.40622788,42.51592357,15.07936508,28.79764432,51.43840763,49.51456311
Neoklis Avdalas,,2025,SF,SF,SG-PF,SF,1,8.25,9.75,"6'7.5""",79.5,"8'8.5""",104.5,"6'9""",81,197.8,10.98,2.98,3.24,27,33.5,87.06293706,57.45920746,19.58041958,12.58741259,12.3015873,73.01587302,44.17249417,76.61498708,54.90956072,71.76470588,65.7622739,31.10539846,18.29896907,24.70218376,44.87898395,34.5646438
Nique Clifford,Colorado State,2025,PG-SG,SF,SG,SF,1,8.25,8.5,"6'5.25""",77.25,"8'6.5""",102.5,"6'8""",80,202,10.87,2.96,3.07,31,35.5,22.84382284,22.49417249,8.974358974,18.997669,12.3015873,7.142857143,18.32750583,85.91731266,95.47803618,74.70588235,90.69767442,54.37017995,70.10309278,62.23663637,57.0872722,68.60158311
Noa Essengue,Ratiopharm Ulm,2025,PF,PF,SF,PF,1,8.97,10.62,"6'10""",82,"9'2""",110,"7'1""",85,204,10.7,,3.1,,,95.20547945,93.26484018,47.71689498,3.538812785,35.81395349,91.1627907,59.93150685,96.32911392,97.57653061,,,,,,,
Noah Penda,Le Mans Sarthe,2025,PF,SF,PF,SF,1,8.25,9.75,"6'7.25""",79.25,"8'10.5""",106.5,"6'11.5""",83.5,241.8,11.7,3.13,3.34,25,31,81.7016317,85.66433566,61.18881119,96.62004662,12.3015873,73.01587302,81.29370629,22.09302326,24.16020672,38.23529412,23.12661499,10.79691517,5.927835052,8.362375109,37.59423213,19.52506596
Nolan Traoré,Saint-Quentin,2025,PG,PG,SG,PG,1,7.75,9.25,"6'3""",75,"8'5.5""",101.5,"6'8""",80,175,10.75,2.85,3.26,28,34,81.17977528,91.99438202,83.70786517,18.16901408,7.711442786,65.67164179,68.76275914,78.88888889,27.5477707,85,53.21832979,33.91719745,26.66666667,30.29193206,50.75767366,48.54368932
Norchad Omier,Baylor,2025,PF,PF,SF,PF,1,9.5,9,"6'5.5""",77.5,"8'9.5""",105.5,"6'11.5""",83.5,245.6,10.81,,,28.5,32,2.96803653,20.89041096,22.83105023,72.48858447,90.69767442,14.41860465,29.79452055,92.91139241,,,,37.46835443,52.65151515,45.05993479,,
Otega Oweh,,2025,SG,SG,PG-SF,SG,1,8.5,9.5,"6'4.25""",76.25,"8'5.5""",101.5,"6'8.5""",80.5,212.6,10.92,2.88,3.19,27.5,35,65.77181208,59.06040268,47.81879195,80.97643098,42.54807692,63.94230769,63.40685942,66.7953668,61.11111111,89.43661972,63.95323895,39.8467433,22.0754717,30.9611075,52.77373529,58.16733068
PJ Haggerty,,2025,SG,SG,PG-SF,SG,1,8.5,9.5,"6'2.25""",74.25,"8'1.5""",97.5,"6'6.5""",78.5,189.4,11.76,3.11,3.23,27.5,32,7.55033557,5.201342282,15.10067114,18.85521886,42.54807692,63.94230769,11.67689196,8.88030888,45.97701149,36.97183099,27.42866019,12.2605364,22.0754717,17.16800405,18.75785207,1.593625498
Rasheer Fleming,Saint Joseph's,2025,SF-PF,PF,SF-C,PF,1,9.5,9.5,"6'8.25""",80.25,"9'1""",109,"7'5.25""",89.25,232.4,10.95,2.72,3.24,27,32.5,49.08675799,81.05022831,97.37442922,43.37899543,90.69767442,36.97674419,67.72260274,89.11392405,76.40306122,94.18604651,82.75849264,44.55696203,32.44949495,38.50322849,62.99477462,80.41237113
RJ Luis Jr.,St. John’s,2025,SF,SF,SG,SF,1,9,10,"6'5.75""",77.75,"8'7.5""",103.5,"6'10.5""",82.5,210,11.24,2.98,3.13,31.5,38,37.06293706,38.22843823,46.73659674,37.995338,74.8015873,83.53174603,40.00582751,53.74677003,85.52971576,71.76470588,69.63824289,79.94858612,74.61340206,77.28099409,62.30835483,79.94722955
Rocco Zikarsky,Brisbane,2025,C,C,,C,1,9,9.75,"7'3""",87,"9'6.5""",114.5,"7'4.75""",88.75,257,11.92,3,3.48,27.5,31.5,97.91666667,95.02617801,72.13541667,75,29.6,37.2,85.01956534,45.59748428,28.6163522,71.17647059,37.10691824,52.51572327,54.08805031,53.30188679,58.47612346,68.98734177
Ryan Kalkbrenner,Creighton,2025,C,C,,C,1,9.25,11.25,"7'1""",85,"9'4""",112,"7'6""",90,257.4,12.05,3.1,3.34,29,33,92.44791667,75.91623037,85.9375,76.04166667,56.4,98.8,82.58582842,38.36477987,64.77987421,52.94117647,51.57232704,67.29559748,69.81132075,68.55345912,67.5705382,88.60759494
Ryan Nembhard,Gonzaga,2025,PG,PG,,PG,1,9.5,8.25,"5'11""",71,"7'10""",94,"6'2.25""",74.25,175.8,11.5,2.88,3.22,26.5,32.5,13.48314607,14.88764045,13.20224719,20.56338028,100,10.44776119,15.5341035,17.14285714,42.51592357,78.92857143,29.82939035,17.03821656,15.07936508,16.05879082,20.47409489,2.912621359
Sion James,Duke,2025,SG,SG,SF,SG,1,8.25,9.25,"6'4.5""",76.5,"8'4""",100,"6'6.5""",78.5,217.6,10.91,2.93,2.97,32,39.5,75.67114094,30.20134228,15.10067114,90.90909091,17.06730769,47.83653846,52.97056132,67.76061776,99.23371648,76.76056338,83.49716712,84.6743295,76.22641509,80.4503723,72.30603358,94.42231076
