Board,Draft Year,Board Size,Consensus Lottery,Consensus-L %ile,Consensus-L z-score,Consensus Top 30,Consensus-T30 %ile,Consensus-T30 z-score,Consensus Top 60,Consensus-T60 %ile,Consensus-T60 z-score,NBA Draft Lottery,NBA-L %ile,NBA-L z-score,NBA Draft Top 30,NBA-T30 %ile,NBA-T30 z-score,NBA Draft Top 60,NBA-T60 %ile,NBA-T60 z-score,Redraft Lottery,R-L %ile,R-L z-score,Redraft Top 30,R-T30 %ile,R-T30 z-score,Redraft Top 60,R-T60 %ile,R-T60 z-score,EPM Lottery,EPM-L %ile,EPM-L z-score,EPM Top 30,EPM-T30 %ile,EPM-T30 z-score,EPM Top 60,EPM-T60 %ile,EPM-T60 z-score,EW Lottery,EW-L %ile,EW-L z-score,EW Top 30,EW-T30 %ile,EW-T30 z-score,EW Top 60,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
No Ceilings,2023,60,1.883,0.423,0.02,3.331,0.449,0.17,3.488,0.784,0.94,0.613,0.408,-0.04,0.839,0.87,0.96,0.87,0.881,1.17,500.906,0.153,-0.96,524.613,0.1,-1.28,505.338,0.395,-0.18,1.181,0.264,-0.52,1.447,0.043,-1.79,1.455,0.684,0.42,2.063,0.125,-0.62,2.179,0.057,-1.77,1.77,0.737,0.54,-0.700,64,0.125,-1.616,69,0.029,0.257,19,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,
@YozUndrafted,2023,59,1.691,0.465,0.16,2.745,0.652,0.50,,,,0.666,0.606,0.41,0.754,0.464,0.22,0.766,0.31,-0.45,451.314,0.528,0.10,480.575,0.357,-0.09,,,,1.163,0.306,-0.37,1.32,0.386,-0.27,,,,1.783,0.833,0.76,1.773,0.629,0.41,,,,0.161,36,0.514,0.017,38,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@hoopswill,2023,59,0.832,0.789,0.78,3.216,0.507,0.23,,,,0.741,0.873,1.04,0.749,0.42,0.17,0.804,0.524,0.14,454.554,0.5,0.03,493.924,0.243,-0.45,,,,1.186,0.25,-0.56,1.261,0.629,0.43,,,,2.035,0.194,-0.48,1.91,0.3,-0.33,,,,-0.338,55,0.250,-0.113,46,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Heintzman,2023,59,3.659,0.07,-1.26,3.848,0.333,-0.12,,,,0.376,0.042,-2.04,0.702,0.304,-0.23,0.775,0.333,-0.31,531.416,0.083,-1.61,467.819,0.571,0.26,,,,1.129,0.403,-0.10,1.258,0.643,0.47,,,,2.467,0.014,-2.61,2.018,0.1,-0.91,,,,-1.441,70,0.042,-0.058,43,0.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ballislife_cy,2023,58,2.921,0.183,-0.73,4.653,0.174,-0.57,,,,0.719,0.817,0.85,0.758,0.493,0.25,0.792,0.405,-0.05,430.955,0.708,0.53,477.196,0.4,0.01,,,,1.155,0.333,-0.31,1.365,0.229,-0.81,,,,1.862,0.639,0.37,2.015,0.114,-0.89,,,,0.198,33,0.556,-0.565,58,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA,2023,58,2.118,0.338,-0.15,4.738,0.159,-0.61,,,,1,,,1,,,1,,,395.607,0.903,1.28,436.998,0.914,1.10,,,,1.057,0.694,0.48,1.217,0.814,0.96,,,,1.773,0.861,0.81,1.863,0.386,-0.07,,,,0.858,8,0.903,0.663,15,0.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@bballstrategy,2023,57,9.136,0,-5.21,12.037,0,-4.68,,,,0.675,0.662,0.48,0.229,0,-4.34,,,,589.943,0,-2.86,543.101,0.043,-1.79,,,,1.146,0.361,-0.24,1.244,0.743,0.64,,,,2.928,0,-4.88,2.206,0.014,-1.91,,,,-2.660,73,0.000,-1.021,65,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Alley_Oop_Coop,2023,56,4.002,0.042,-1.51,6.101,0.043,-1.37,,,,0.433,0.056,-1.56,0.506,0.043,-1.94,,,,484.15,0.222,-0.60,501.033,0.186,-0.64,,,,1.127,0.417,-0.08,1.187,0.871,1.32,,,,1.625,0.986,1.54,1.819,0.514,0.16,,,,0.284,31,0.583,0.280,30,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@shanku_nair,2023,56,0.748,0.803,0.84,2.78,0.638,0.48,,,,0.736,0.859,1.00,0.803,0.783,0.64,,,,446.149,0.597,0.21,464.829,0.614,0.34,,,,1.091,0.569,0.21,1.236,0.771,0.73,,,,1.815,0.778,0.60,1.646,0.929,1.09,,,,0.338,27,0.639,0.723,12,0.843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@903coleman,2023,56,1.898,0.394,0.01,2.495,0.725,0.63,,,,0.798,0.986,1.52,0.761,0.551,0.28,,,,476.553,0.25,-0.44,472.433,0.5,0.14,,,,1.093,0.542,0.19,1.322,0.371,-0.30,,,,1.964,0.361,-0.13,1.731,0.743,0.64,,,,-0.128,44,0.403,0.158,31,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@trellbeenhere,2023,54,1.554,0.479,0.26,3.173,0.551,0.26,,,,0.512,0.169,-0.89,0.659,0.203,-0.61,,,,368.563,1,1.86,433.441,0.957,1.20,,,,0.953,0.917,1.31,1.241,0.757,0.67,,,,2,0.306,-0.31,1.718,0.8,0.71,,,,0.956,5,0.944,0.859,8,0.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@HoopIntelllect,2023,51,0.3,1,1.16,1.36,1,1.27,,,,0.644,0.521,0.22,0.807,0.812,0.68,,,,444.862,0.639,0.23,468.479,0.557,0.24,,,,1.095,0.528,0.17,1.407,0.086,-1.31,,,,1.841,0.708,0.48,1.741,0.714,0.58,,,,0.294,30,0.597,-0.163,49,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sports Illustrated,2023,50,1.155,0.69,0.55,2.46,0.768,0.65,,,,0.789,0.958,1.44,0.869,0.957,1.22,,,,461.821,0.403,-0.13,476.176,0.414,0.03,,,,1.123,0.458,-0.05,1.313,0.4,-0.19,,,,1.961,0.375,-0.12,1.973,0.186,-0.66,,,,-0.099,43,0.417,-0.273,51,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@BlockedByBamba,2023,50,0.729,0.831,0.85,2.548,0.696,0.61,,,,0.758,0.915,1.18,0.797,0.768,0.59,,,,411.345,0.833,0.95,434.528,0.943,1.17,,,,1.016,0.778,0.81,1.166,0.957,1.57,,,,1.953,0.389,-0.08,1.846,0.429,0.02,,,,0.560,20,0.736,0.919,7,0.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Fiizop,2023,50,2.031,0.366,-0.09,3.199,0.536,0.24,,,,0.552,0.225,-0.55,0.65,0.174,-0.69,,,,431.286,0.694,0.52,452.565,0.743,0.68,,,,1.069,0.653,0.38,1.183,0.886,1.37,,,,2.035,0.194,-0.48,1.883,0.357,-0.18,,,,0.141,38,0.486,0.621,16,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bleacher Report,2023,50,0.511,0.944,1.01,2.372,0.812,0.70,,,,0.723,0.831,0.89,0.785,0.681,0.49,,,,443.974,0.653,0.25,481.934,0.314,-0.12,,,,1.092,0.556,0.20,1.357,0.271,-0.72,,,,1.819,0.764,0.58,1.662,0.9,1.01,,,,0.345,26,0.653,0.056,35,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ziyanm_,2023,48,0.643,0.873,0.91,1.895,0.928,0.97,,,,0.587,0.338,-0.26,0.747,0.406,0.16,,,,412.785,0.819,0.92,431.362,0.986,1.25,,,,0.897,0.972,1.77,1.246,0.714,0.61,,,,2.008,0.278,-0.35,1.609,0.971,1.29,,,,0.778,12,0.847,1.053,6,0.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@mikerothou,2023,45,1.24,0.648,0.48,2.47,0.754,0.65,,,,0.6,0.352,-0.15,0.789,0.696,0.52,,,,376.459,0.986,1.69,434.917,0.929,1.16,,,,0.959,0.903,1.27,1.175,0.914,1.46,,,,1.93,0.444,0.04,1.748,0.686,0.54,,,,0.998,4,0.958,1.055,5,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@okcsuck,2023,43,0.56,0.915,0.97,2.292,0.855,0.75,,,,0.67,0.62,0.44,0.77,0.58,0.36,,,,445.081,0.625,0.23,456.035,0.714,0.58,,,,1.085,0.625,0.25,1.244,0.743,0.64,,,,1.831,0.722,0.53,1.79,0.614,0.32,,,,0.336,28,0.625,0.513,20,0.729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@JedenTagNBA,2023,40,1.485,0.563,0.31,4.077,0.246,-0.25,,,,0.446,0.085,-1.45,0.591,0.072,-1.20,,,,450.786,0.542,0.11,475.831,0.443,0.04,,,,1.046,0.736,0.57,1.163,0.971,1.61,,,,1.693,0.958,1.21,1.687,0.857,0.87,,,,0.627,17,0.778,0.841,9,0.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Itamar_17_10,2023,38,1.893,0.408,0.01,2.987,0.594,0.36,,,,0.556,0.239,-0.52,0.672,0.246,-0.49,,,,471.197,0.319,-0.33,460.881,0.657,0.45,,,,1.342,0.042,-1.81,1.253,0.671,0.53,,,,1.849,0.681,0.44,1.816,0.529,0.18,,,,-0.568,61,0.167,0.386,25,0.657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@J_Pickup6,2023,37,1.523,0.535,0.28,2.456,0.783,0.66,,,,0.6,0.352,-0.15,0.649,0.159,-0.69,,,,460.122,0.417,-0.09,482.289,0.3,-0.13,,,,1.135,0.389,-0.15,1.33,0.343,-0.39,,,,2.032,0.208,-0.47,1.669,0.886,0.97,,,,-0.235,50,0.319,0.148,32,0.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@hoopgoose,2023,36,3.062,0.169,-0.83,5.616,0.087,-1.10,,,,0.578,0.324,-0.33,0.678,0.261,-0.44,,,,446.615,0.583,0.20,523.544,0.114,-1.25,,,,1.126,0.431,-0.08,1.311,0.414,-0.16,,,,1.704,0.931,1.15,1.952,0.214,-0.55,,,,0.424,22,0.708,-0.657,60,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@heisnotahooper,2023,31,2.251,0.282,-0.24,2.266,0.87,0.76,,,,0.569,0.296,-0.41,0.686,0.275,-0.37,,,,486.177,0.208,-0.65,476,0.429,0.04,,,,1.263,0.167,-1.18,1.256,0.657,0.49,,,,1.757,0.875,0.89,1.761,0.657,0.48,,,,-0.312,54,0.264,0.336,28,0.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Its_Craig_,2023,30,1.104,0.704,0.58,3.63,0.391,0.00,,,,0.6,0.352,-0.15,0.779,0.638,0.44,,,,465.649,0.347,-0.21,469.703,0.529,0.21,,,,1.125,0.444,-0.07,1.324,0.357,-0.32,,,,1.861,0.653,0.38,1.916,0.257,-0.36,,,,0.033,41,0.444,-0.156,48,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@PercJenkins,2023,30,1.285,0.634,0.45,3.252,0.493,0.21,,,,0.64,0.493,0.19,0.602,0.087,-1.10,,,,459.811,0.444,-0.09,499.792,0.214,-0.61,,,,1.021,0.75,0.77,1.305,0.471,-0.09,,,,1.987,0.333,-0.24,1.7,0.829,0.80,,,,0.146,37,0.500,0.034,37,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@youngwizzyDFS,2023,30,4.942,0.028,-2.18,4.642,0.188,-0.56,,,,0.56,0.268,-0.49,0.398,0.014,-2.88,,,,463.303,0.361,-0.16,456.51,0.7,0.57,,,,1.101,0.514,0.12,1.274,0.6,0.28,,,,2.073,0.111,-0.67,1.674,0.871,0.94,,,,-0.234,49,0.333,0.596,18,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zayan,2023,30,0.618,0.887,0.93,2.624,0.681,0.56,,,,0.688,0.69,0.59,0.77,0.58,0.36,,,,414.389,0.764,0.88,481.852,0.329,-0.12,,,,1.085,0.625,0.25,1.359,0.257,-0.74,,,,2.147,0.097,-1.03,1.986,0.171,-0.73,,,,0.034,40,0.458,-0.531,57,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SportsDada,2023,30,2.119,0.324,-0.15,3.455,0.435,0.10,,,,0.64,0.493,0.19,0.706,0.333,-0.20,,,,463.226,0.375,-0.16,454.121,0.729,0.63,,,,1.087,0.583,0.24,1.388,0.129,-1.09,,,,2.159,0.083,-1.09,1.815,0.543,0.19,,,,-0.338,56,0.236,-0.089,45,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SBN_Ricky,2023,30,0.555,0.93,0.98,2.246,0.884,0.77,,,,0.662,0.563,0.37,0.726,0.348,-0.03,,,,455.935,0.486,0.00,483.417,0.286,-0.16,,,,1.063,0.667,0.43,1.299,0.529,-0.02,,,,1.926,0.472,0.06,1.837,0.457,0.07,,,,0.161,35,0.528,-0.039,41,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@TheStrickland,2023,30,0.72,0.845,0.86,2.322,0.826,0.73,,,,0.604,0.394,-0.12,0.661,0.232,-0.59,,,,459.75,0.458,-0.08,471.121,0.514,0.17,,,,1.076,0.639,0.33,1.278,0.586,0.23,,,,1.871,0.583,0.33,1.745,0.7,0.56,,,,0.190,34,0.542,0.321,29,0.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@jbcn_nba,2023,30,2.181,0.296,-0.19,3.894,0.304,-0.14,,,,0.626,0.423,0.07,0.762,0.565,0.29,,,,447.321,0.569,0.18,431.205,1,1.26,,,,1.019,0.764,0.78,1.145,0.986,1.82,,,,1.508,1,2.12,1.724,0.771,0.67,,,,1.028,3,0.972,1.251,2,0.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@deanondraft,2023,30,4.974,0.014,-2.21,10.778,0.014,-3.98,,,,0.713,0.803,0.80,0.812,0.841,0.72,,,,569.757,0.014,-2.43,643.601,0,-4.52,,,,1.311,0.056,-1.56,1.467,0.029,-2.03,,,,2.343,0.042,-2.00,2.78,0,-5.00,,,,-1.998,72,0.014,-3.850,71,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@jamesbonknight,2023,25,1.175,0.676,0.53,,,,,,,0.662,0.563,0.37,,,,,,,413.354,0.806,0.90,,,,,,,0.996,0.806,0.97,,,,,,,1.85,0.667,0.43,,,,,,,0.769,14,0.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@thewarnerwest,2023,20,1.536,0.507,0.27,,,,,,,0.71,0.775,0.78,,,,,,,402.82,0.847,1.13,,,,,,,0.94,0.931,1.42,,,,,,,1.948,0.417,-0.05,,,,,,,0.832,9,0.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
