Rank,Name,Role,Pre-NBA,NBA Team,Actual Pick,Class,Height,Weight (lbs),NCAAM,combine_invite
89,Alex Ducas,Wing,Saint Mary's,Oklahoma City Thunder,UDFA,Gr.,"6'7""",220,1,None
90,Gabe McGlothan,Wing,Grand Canyon,Denver Nuggets,UDFA,Gr.,"6'7""",235,1,None
91,RaeQuan Battle,Wing,West Virginia,Charlotte Hornets,UDFA,Gr.,"6'5""",195,1,None
92,Justin Moore,Wing,Villanova,Milwaukee Bucks,UDFA,Gr.,"6'5""",210,1,None
93,Jordan Wright,Wing,LSU,Detroit Pistons,UDFA,Gr.,"6'6""",230,1,None
94,Casey Morsell,Guard,NC State,NCAA,UDFA,Gr.,"6'3""",200,1,None
95,Jaden Bediako,Big,Seton Hall,KK Mornar Bar,UDFA,Gr.,"6'10""",245,1,None
96,Blake Hinson,Wing,Pittsburgh,Los Angeles Lakers,UDFA,Sr.,"6'8""",230,1,G-League
97,Mohamed Diarra,Big,NC State,Los Angeles Lakers,UDFA,Gr.,"6'10""",225,1,None
98,Trey Calvin,Guard,Wright State,Frankfurt,UDFA,Gr.,"6'0""",165,1,None
99,Kevin Cross,Wing,Tulane,Charlotte Hornets,UDFA,Gr.,"6'8""",225,1,None
100,Tre Mitchell,Big,Kentucky,Oklahoma City Thunder,UDFA,Gr.,"6'9""",240,1,None
101,Jarron Coleman,Guard,Nebraska,BC GAU Tbilisi,UDFA,Gr.,"6'5""",213,1,None
102,Tyrese Samuel,Big,Florida,Phoenix Suns,UDFA,Gr.,"6'10""",239,1,None
103,Jahmir Young,Guard,Maryland,Denver Nuggets,UDFA,Gr.,"6'1""",185,1,None
104,Jalen Cook,Guard,LSU,NCAA,UDFA,Sr.,"6'0""",194,1,None
105,Xavier Johnson,Guard,Southern Illinois,Dallas Mavericks,UDFA,Gr.,"6'1""",189,1,None
106,Elijah Pepper,Guard,UC Davis,Perth,UDFA,Gr.,"6'4""",200,1,None
107,DJ Horne,Guard,NC State,San Antonio Spurs,UDFA,Gr.,"6'2""",175,1,None
108,Jamison Battle,Wing,Ohio State,Toronto Raptors,UDFA,Gr.,"6'7""",220,1,None
109,Allen Flanigan,Wing,Ole Miss,Stade Rochelais,UDFA,Gr.,"6'6""",215,1,G-League
110,Joel Scott,Big,Colorado State,MHP Riesen Ludwigsburg,UDFA,Gr.,"6'7""",225,1,None
111,Jaedon LeDee,Wing,San Diego State,Minnesota Timberwolves,UDFA,Gr.,"6'9""",240,1,G-League
112,Jaelen House,Guard,New Mexico,Boston Celtics,UDFA,Gr.,"6'0""",165,1,G-League
113,Vonterius Woolbright,Wing,Western Carolina,Houston Rockets,UDFA,Jr.,"6'6""",215,1,None
114,Isaiah Cozart,Big,Eastern Kentucky,SC Rasta Vechta,UDFA,Gr.,"6'7""",240,1,None
115,Quincy Olivari,Wing,Xavier,Los Angeles Lakers,UDFA,Gr.,"6'3""",200,1,None
116,Jahvon Quinerly,Guard,Memphis,NCAA,UDFA,Gr.,"6'1""",175,1,None
117,Keion Brooks Jr.,Wing,Washington,New Orleans Pelicans,UDFA,Gr.,"6'7""",210,1,G-League
118,Boo Buie,Guard,Northwestern,New York Knicks,UDFA,Gr.,"6'2""",180,1,None
119,RayJ Dennis,Guard,Baylor,Indiana Pacers,UDFA,Gr.,"6'2""",180,1,None
120,Keisei Tominaga,Guard,Nebraska,Indiana Pacers,UDFA,Jr.,"6'2""",175,1,None
121,Aaron Estrada,Guard,Alabama,Detroit Pistons,UDFA,Gr.,"6'3""",190,1,G-League
122,Jaylen Forbes,Wing,Tulane,Nelson (NZNBL),UDFA,Gr.,"6'5""",185,1,None
123,Tyrece Radford,Wing,Texas A&M,San Antonio Spurs,UDFA,Gr.,"6'3""",200,1,None
124,Mark Armstrong,Guard,Villanova,Brooklyn Nets,UDFA,So.,"6'2""",180,1,G-League
125,Jermaine Couisnard,Guard,Oregon,New Orleans Pelicans,UDFA,Gr.,"6'4""",215,1,None
126,Tyson Walker,Guard,Michigan State,Phoenix Suns,UDFA,Gr.,"6'1""",185,1,None
127,Brandon Carlson,Big,Utah,Oklahoma City Thunder,UDFA,Gr.,"7'0""",220,1,G-League
1,Alexandre Sarr,Big,Perth,Washington Wizards,2,19,"7'1""",205,0,NBA
2,Ron Holland,Wing,G League Ignite,Detroit Pistons,5,19,"6'8""",206,0,NBA
3,Nikola Topić,Guard,KK Crvena Zvezda,Oklahoma City Thunder,12,19,"6'5""",200,0,NBA
4,Juan Núñez,Guard,Ratiopharm Ulm,San Antonio Spurs,36,20,"6'3""",190,0,NBA
5,Zaccharie Risacher,Wing,JL Bourg-en-Bresse,Atlanta Hawks,1,19,"6'8""",200,0,NBA
6,Matas Buzelis,Wing,G League Ignite,Chicago Bulls,11,20,"6'10""",209,0,NBA
7,Tidjane Salaun,Wing,Cholet Basket,Charlotte Hornets,6,19,"6'9""",207,0,NBA
8,AJ Johnson,Guard,Illawarra,Milwaukee Bucks,23,20,"6'5""",160,0,NBA
9,Tyler Smith,Big,G League Ignite,Milwaukee Bucks,33,20,"6'10""",224,0,NBA
10,Bobi Klintman,Big,Cairns,Detroit Pistons,37,21,"6'10""",225,0,NBA
11,Pacome Dadiet,Wing,Ratiopharm Ulm,New York Knicks,25,19,"6'8""",210,0,NBA
