Name,Draft Year,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Paolo Banchero,2022,Wing,ACC,Duke,#003087,1,Orlando Magic,ORL,19.6,81,"6'9""",84.5,"7'0.5""",3.5,250
Chet Holmgren,2022,Big,WCC,Gonzaga,#C8102E,2,Oklahoma City Thunder,OKC,20.13,84,"7'0""",90,"7'6""",6,195
Jabari Smith Jr.,2022,Wing,SEC,Auburn,#E87722,3,Houston Rockets,HOU,19.1,82.5,"6'10.5""",85,"7'1""",2.5,210
Keegan Murray,2022,Wing,Big 10,Iowa,#FFCD00,4,Sacramento Kings,SAC,21.83,80,"6'8""",83,"6'11""",3,225
Jaden Ivey,2022,Guard,Big 10,Purdue,#CEB888,5,Detroit Pistons,DET,20.35,75.5,"6'3.5""",81,"6'9""",5.5,200
Bennedict Mathurin,2022,Wing,PAC 12,Arizona,#CC0033,6,Indiana Pacers,IND,20,76.5,"6'4.5""",81,"6'9""",4.5,205
Shaedon Sharpe,2022,Guard,SEC,Kentucky,#0033A0,7,Portland Trail Blazers,POR,19.05,76.25,"6'4.25""",83.5,"6'11.5""",7.25,198
Dyson Daniels,2022,Guard,G League,G League Ignite,#8C2A93,8,New Orleans Pelicans,NOP,19.26,78,"6'6""",82.5,"6'10.5""",4.5,195
Jeremy Sochan,2022,Wing,Big 12,Baylor,#154734,9,San Antonio Spurs,SAS,19.08,80.5,"6'8.5""",83.75,"6'11.75""",3.25,230
Johnny Davis,2022,Guard,Big 10,Wisconsin,#C5050C,10,Washington Wizards,WAS,20.31,76.25,"6'4.25""",80.5,"6'8.5""",4.25,196
Ousmane Dieng,2022,Wing,Aus. NBL,New Zealand,#DA73A4,11,Oklahoma City Thunder,OKC,19.08,81.5,"6'9.5""",84,"7'0""",2.5,185
Jalen Williams,2022,Wing,WCC,Santa Clara,#862633,12,Oklahoma City Thunder,OKC,21.18,76.5,"6'4.5""",86.25,"7'2.25""",9.75,209
Jalen Duren,2022,Big,American,Memphis,#003087,13,Detroit Pistons,DET,18.58,82.5,"6'10.5""",89,"7'5""",6.5,250
Ochai Agbaji,2022,Wing,Big 12,Kansas,#0051BA,14,Cleveland Cavaliers,CLE,22.16,76.5,"6'4.5""",82.25,"6'10.25""",5.75,217
Mark Williams,2022,Big,ACC,Duke,#003087,15,Charlotte Hornets,CHA,20.51,84,"7'0""",90.5,"7'6.5""",6.5,242
AJ Griffin,2022,Wing,ACC,Duke,#003087,16,Atlanta Hawks,ATL,18.82,77.5,"6'5.5""",83.5,"6'11.5""",6,222
Tari Eason,2022,Wing,SEC,LSU,#461D7C,17,Houston Rockets,HOU,21.11,78.75,"6'6.75""",86,"7'2""",7.25,217
Dalen Terry,2022,Wing,PAC 12,Arizona,#CC0033,18,Chicago Bulls,CHI,19.94,78,"6'6""",84.75,"7'0.75""",6.75,195
Jake LaRavia,2022,Wing,ACC,Wake Forest,#9E7E38,19,Memphis Grizzlies,MEM,20.62,78.75,"6'6.75""",81.5,"6'9.5""",2.75,227
Malaki Branham,2022,Wing,Big 10,Ohio State,#BB0000,20,San Antonio Spurs,SAS,19.1,76,"6'4""",82,"6'10""",6,195
Christian Braun,2022,Wing,Big 12,Kansas,#0051BA,21,Denver Nuggets,DEN,21.17,77.5,"6'5.5""",79,"6'7""",1.5,209
Walker Kessler,2022,Big,SEC,Auburn,#E87722,22,Minnesota Timberwolves,MIN,20.9,84.25,"7'0.25""",88.25,"7'4.25""",4,256
David Roddy,2022,Wing,Mountain West,Colorado State,#1E4D2B,23,Memphis Grizzlies,MEM,21.23,76.5,"6'4.5""",83.5,"6'11.5""",7,261
MarJon Beauchamp,2022,Wing,G League,G League Ignite,#8C2A93,24,Milwaukee Bucks,MIL,20.68,77.25,"6'5.25""",84.75,"7'0.75""",7.5,197
Blake Wesley,2022,Guard,ACC,Notre Dame,#AE9142,25,San Antonio Spurs,SAS,19.26,75,"6'3""",81.25,"6'9.25""",6.25,187
