Board,Draft Year,Board Size,Consensus Lottery,Consensus-L %ile,Consensus-L z-score,Consensus Top 30,Consensus-T30 %ile,Consensus-T30 z-score,Consensus Top 60,Consensus-T60 %ile,Consensus-T60 z-score,NBA Draft Lottery,NBA-L %ile,NBA-L z-score,NBA Draft Top 30,NBA-T30 %ile,NBA-T30 z-score,NBA Draft Top 60,NBA-T60 %ile,NBA-T60 z-score,Redraft Lottery,Redraft Top 30,Redraft Top 60,EPM Lottery,EPM Top 30,EPM Top 60,EW Lottery,EW Top 30,EW Top 60,R-L %ile,R-L z-score,R-T30 %ile,R-T30 z-score,R-T60 %ile,R-T60 z-score,EPM-L %ile,EPM-L z-score,EPM-T30 %ile,EPM-T30 z-score,EPM-T60 %ile,EPM-T60 z-score,EW-L %ile,EW-L z-score,EW-T30 %ile,EW-T30 z-score,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
@TheNicolau15,2025,100,3.797,0.238,-0.34,6.351,0.313,-0.23,11.653,0.233,-0.56,0.67,0.384,-0.12,0.752,0.707,0.67,0.815,0.4,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@HoopIntellect,2025,100,0.563,0.988,1.41,2.453,0.973,1.47,3.325,1,1.74,0.974,1,1.60,0.804,0.85,1.02,0.913,0.929,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReverseEnigma,2025,99,1.116,0.945,1.11,3.471,0.898,1.03,4.697,0.959,1.36,0.851,0.848,0.90,0.81,0.891,1.06,0.9,0.894,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@BrianJNBA,2025,98,2.266,0.671,0.49,4.851,0.667,0.42,8.223,0.63,0.39,0.684,0.402,-0.05,0.814,0.898,1.08,0.913,0.929,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@JEnnisNBADraft,2025,97,3.008,0.476,0.09,6.673,0.272,-0.37,10.005,0.342,-0.10,0.934,0.976,1.37,0.831,0.925,1.20,0.838,0.541,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@supersayansavin (TPM),2025,96,2.693,0.543,0.26,5.006,0.605,0.36,11.55,0.247,-0.53,0.42,0.073,-1.54,0.555,0.252,-0.64,0.717,0.106,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@LoganRoA_,2025,94,2.296,0.652,0.47,5.597,0.456,0.10,8.376,0.589,0.35,0.789,0.671,0.55,0.875,0.98,1.49,0.894,0.847,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@undraliu,2025,93,13.172,0.006,-5.43,13.044,0.007,-3.16,21.702,0,-3.32,0.547,0.165,-0.82,0.343,0.048,-2.05,0.361,0.012,-4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@bjpf_,2025,92,3.239,0.384,-0.04,4.609,0.701,0.53,7.756,0.699,0.52,0.644,0.323,-0.27,0.697,0.551,0.31,0.84,0.553,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@LoganH_utk,2025,87,1.863,0.811,0.71,5.954,0.422,-0.06,10.355,0.301,-0.20,0.552,0.171,-0.79,0.522,0.177,-0.86,0.778,0.271,-0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kam H,2025,87,3.358,0.36,-0.10,7.065,0.218,-0.54,13.283,0.192,-1.00,0.667,0.378,-0.14,0.481,0.122,-1.13,0.791,0.329,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@rowankent,2025,85,2.738,0.537,0.23,4.897,0.646,0.40,7.379,0.726,0.62,0.899,0.915,1.17,0.734,0.66,0.55,0.824,0.435,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@jhirsh03,2025,84,3.043,0.445,0.07,6.043,0.388,-0.10,9.721,0.37,-0.02,0.811,0.732,0.68,0.624,0.381,-0.18,0.808,0.376,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@JackDAnder,2025,82,3.086,0.433,0.05,7.245,0.197,-0.62,9.148,0.438,0.14,0.596,0.232,-0.54,0.653,0.429,0.01,0.807,0.365,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@GrizzliesFilm,2025,79,3.466,0.323,-0.16,7.246,0.19,-0.62,14.73,0.096,-1.40,0.582,0.226,-0.62,0.534,0.19,-0.78,0.76,0.212,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheProcess (Colten Stout),2025,79,3.13,0.415,0.02,4.912,0.633,0.40,9.376,0.397,0.07,0.833,0.787,0.80,0.697,0.551,0.31,0.84,0.553,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@CRiehl30,2025,77,7.57,0.024,-2.39,9.553,0.082,-1.63,19.133,0.014,-2.62,0.785,0.646,0.53,0.806,0.878,1.03,0.855,0.635,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@chipwilliamsjr,2025,76,0.557,0.994,1.42,2.201,0.993,1.58,6,0.877,1.00,0.899,0.915,1.17,0.689,0.531,0.25,0.824,0.435,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the center hub,2025,75,1.496,0.909,0.91,3.32,0.905,1.09,5.206,0.932,1.22,0.873,0.878,1.03,0.754,0.728,0.69,0.913,0.929,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@PAKA_FLOCKA,2025,75,1.672,0.848,0.81,5.039,0.592,0.34,7.988,0.671,0.45,0.789,0.671,0.55,0.758,0.735,0.71,0.873,0.729,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Rileybushh,2025,75,1.646,0.86,0.83,3.768,0.864,0.90,11.883,0.219,-0.62,0.776,0.598,0.48,0.643,0.395,-0.05,0.836,0.518,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giddf,2025,75,2.791,0.512,0.21,9.776,0.075,-1.73,15.425,0.068,-1.59,0.705,0.476,0.07,0.505,0.15,-0.97,0.651,0.071,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@sixringsofsteeI,2025,75,1.079,0.97,1.13,4.766,0.673,0.46,8.881,0.479,0.21,0.776,0.598,0.48,0.772,0.803,0.81,0.878,0.765,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Josh_markowitz,2025,75,1.924,0.805,0.68,4.02,0.823,0.79,4.377,0.973,1.45,0.798,0.689,0.60,0.743,0.68,0.61,0.868,0.718,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Hollinger (The Athletic),2025,75,2.484,0.61,0.37,5.812,0.435,0.00,8.276,0.616,0.38,0.736,0.512,0.25,0.798,0.837,0.98,0.833,0.494,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tankathon,2025,74,1.279,0.927,1.03,3.794,0.857,0.89,5.849,0.918,1.04,0.807,0.726,0.65,0.83,0.918,1.19,0.928,0.988,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@SPTSJUNKIE (NBA Draft Network),2025,74,4.904,0.104,-0.94,5.962,0.415,-0.06,10.255,0.315,-0.17,-0.068,0,-4.31,0.369,0.054,-1.87,0.761,0.235,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CraftedNBA,2025,72,4.451,0.159,-0.70,10.746,0.048,-2.15,13.924,0.137,-1.18,0.305,0.037,-2.20,0.234,0.014,-2.77,0.614,0.047,-1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@redrock_bball,2025,69,2.762,0.524,0.22,4.472,0.735,0.59,6.607,0.808,0.84,0.692,0.421,0.00,0.805,0.871,1.02,0.852,0.588,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA Draft Room,2025,69,3.021,0.463,0.08,5.322,0.51,0.22,7.328,0.74,0.64,0.877,0.896,1.05,0.919,1,1.78,0.946,1,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@NBADraftFuture,2025,69,3.114,0.421,0.03,6.096,0.367,-0.12,7.989,0.658,0.45,0.657,0.341,-0.20,0.838,0.946,1.24,0.899,0.882,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@TwoWayMurray,2025,68,2.547,0.573,0.34,5.161,0.551,0.29,7.542,0.712,0.58,0.705,0.476,0.07,0.758,0.735,0.71,0.866,0.706,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@hutsonboggs,2025,65,5.18,0.085,-1.09,6.556,0.286,-0.32,10.906,0.274,-0.35,0.771,0.579,0.45,0.709,0.578,0.39,0.795,0.341,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Alley_Oop_Coop,2025,65,6.71,0.03,-1.92,11.399,0.034,-2.44,17.443,0.027,-2.15,0.319,0.043,-2.12,0.326,0.034,-2.16,0.338,0,-4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
