Name,Draft Year,Class,Role,Position,Pre-NBA,League,SOS,Team Color,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Ath. Score,Freak Athlete,Athletic Tier,PTS,REB,ORB%,DRB%,TRB%,AST,TOV,AST/TOV,AST%,TOV%,AST%/TOV%,STL,BLK,Stocks,STL%,BLK%,Stocks %,Team DRtg,DRtg,DRtg +/-,BPM,BPM/Age,FTr,FT%,FT Rating,3PAr,3P%,3PM/G,3PM x 3P%,3P Rating,Shooter,TS%,eFG%,PProd,Team ORtg,ORtg,ORtg +/-,USG%,PTS/USG%,AST/USG%,TOV/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Other,G League,OE,Top 3 Pick,Lottery Pick,G Played Issue,Size,Athleticism,Defense,Rebounding,Scoring,Passing,Shooting,Efficiency,Tier,Comp1,Similarity1,Comp2,Similarity2,Comp3,Similarity3,Comp4,Similarity4,Comp5,Similarity5,Pred. Y1 EPM,Pred. Y2 EPM,Pred. Y3 EPM,Avg. EPM Y1-Y3,Pred. Y4 EPM,Pred. Y5 EPM,Avg. EPM Y1-Y5,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,Actual Pick,NBA Team,NBA
Danny Wolf,2025,Junior,Big,4.5,Michigan,Big 10,13.69,#00274C,21.14,82.5,"6'10.5""",86.25,"7'2.25""",3.75,252,0.547,,0.411,0.411,0,0.50,13.2,9.7,9.1,25,17.7,3.6,3.2,1.13,22.8,21.5,1.06,0.7,1.4,2.1,1.3,4.6,5.9,100.3,96.1,4.2,9.5,0.45,0.356,0.594,0,0.302,0.336,1,0.336,0.5,0.375,0.559,0.548,520,109.5,105.7,-3.8,24.2,0.55,0.15,0.132,0.94,0.888,1,0,0,0,0,0,0,0,0,,54.7,41.1,46,47.4,47.9,97.7,81.2,24.7,Bench Reserve,Kyle Filipowski,81.5,Colin Castleton,79.5,Kaleb Wesson,79.2,Orlando Robinson,78.8,Caleb Swanigan,76.1,-1.589,0.047,0.118,-0.475,0.451,1.401,0.085,,,,,,,NBA Combine,
Will Riley,2025,Freshman,Wing,3,Illinois,Big 10,12.79,#E84A27,19.37,80.25,"6'8.25""",80.75,"6'8.75""",0.5,186,0.391,,0.160,0.160,0,0.25,12.6,4.1,5.2,11.6,8.5,2.2,1.2,1.83,16.1,9.2,1.75,0.3,0.3,0.6,0.6,1,1.6,102.7,108.2,-5.5,6.5,0.34,0.323,0.724,0.5,0.401,0.326,1.3,0.4238,0.5,0.5,0.532,0.497,429,114.8,118,3.2,23.8,0.53,0.09,0.050,0.68,0.387,1,0,0,0,0,0,0,0,0,,39.1,16,1.6,31.8,48.2,84.9,45.4,17.1,Fringe NBA,Troy Brown Jr.,83.2,James Young,81.4,Malaki Branham,78.3,Rashad Vaughn,78,Dalen Terry,77.6,-2.695,-1.863,-1.593,-2.050,-0.956,0.680,-1.286,,,,,,,NBA Combine,
Rasheer Fleming,2025,Junior,Wing,4,Saint Joseph's,A-10,0.85,#9E1B32,20.96,80.25,"6'8.25""",89.75,"7'5.75""",9.5,232,0.933,,0.859,0.859,0,0.75,14.7,8.5,7.6,22.8,15.3,1.3,1.5,0.87,8.5,11.8,0.72,1.4,1.5,2.9,2.6,4.9,7.5,99.7,95,4.7,7.7,0.37,0.285,0.743,0.5,0.449,0.39,1.8,0.702,0.5,0.5,0.638,0.619,461,109,123.9,14.9,21.2,0.69,0.06,0.071,0.40,0.557,1,0,0,0,0,0,0,0,0,,93.3,85.9,90.4,86.5,57.6,19,45.4,95.3,Bench Reserve,OG Anunoby,79.7,Taylor Hendricks,78.3,Jonathan Isaac,78.3,Santi Aldama,75.6,Keita Bates-Diop,75.5,-1.937,-0.532,-0.055,-0.841,-0.099,1.532,-0.218,,,,,,,NBA Combine,
Joan Beringer,2025,International,Big,5,KK Cedevita Olimpija,Adriatic ABA,19.1,#F26E21,18.62,81,"6'9""",87,"7'3""",6,230,0.367,,,0.8,0,0.75,4.8,4.2,10.4,20.8,15.6,0.5,0.7,0.71,4.8,14.4,0.33,0.5,1.4,1.9,1.4,8.7,10.1,108.7,104.1,4.6,1.5,0.08,0.462,0.583,0,0,0,0,0,0,0,0.615,0.606,,114.9,121.2,6.3,12.3,0.39,0.04,0.057,0.39,1.171,0,1,1,0,0,0,0,0,0,,36.7,80,73,41.4,46,74,5.8,64.7,Bench Reserve,Bam Adebayo,78.2,Noah Vonleh,77.2,Isaiah Jackson,76.5,Kevon Looney,76,Usman Garuba,75.5,-1.928,-0.011,0.117,-0.607,0.124,1.477,-0.044,,,,,,,NBA Combine,
Walter Clayton Jr.,2025,Senior,Guard,1.5,Florida,SEC,12.6,#FA4616,22.3,74,"6'2""",76,"6'4""",2,199,0.54,,0.856,0.856,0,0.75,18.3,3.7,1.2,10.3,6,4.2,2.4,1.75,23.2,13.7,1.69,1.2,0.5,1.7,2.1,1.6,3.7,98.6,102.4,-3.8,11.2,0.50,0.275,0.875,1,0.578,0.386,3,1.158,0.75,0.8125,0.602,0.56,679,120.1,124.4,4.3,25.6,0.71,0.16,0.094,0.91,0.535,1,0,0,0,0,0,0,0,0,,54,85.6,34.7,12.2,82.8,44.3,83.2,84,Quality Starter,Grayson Allen,79.9,Payton Pritchard,79.3,Jalen Brunson,78,Donte DiVincenzo,77.7,Marcus Sasser,76.5,-1.788,0.569,0.249,-0.323,1.079,2.107,0.443,,,,,,,NBA Combine,
Ben Saraf,2025,International,Guard,1.5,Ratiopharm Ulm,German BBL,16.23,#D74F37,19.2,77,"6'5""",79.5,"6'7.5""",2.5,202,0.872,,,0.4,0,0.50,11.6,2.9,4.4,11.3,7.9,4.1,2.8,1.46,31.2,20.4,1.53,1.1,0.4,1.5,2.5,1.7,4.2,106.1,105,1.1,2.6,0.14,0.322,0.714,0.5,0.229,0.338,0.7,0.2366,0.25,0.3125,0.54,0.502,,117.3,105.1,-12.2,27,0.43,0.15,0.104,1.16,0.756,0,1,1,0,0,0,0,0,0,,87.2,40,83.6,76.7,22.9,67.2,12,31.3,Fringe NBA,Josh Christopher,79.4,R.J. Hampton,76.2,Keon Johnson,76.2,Juan Núñez,76,Amari Bailey,75.7,-2.636,-1.547,-0.626,-1.603,-0.400,0.668,-0.908,,,,,,,NBA Combine,
Hugo González,2025,International,Wing,2.5,Real Madrid,Spanish ACB,22.69,#FEBE10,19.39,78,"6'6""",81,"6'9""",3,207,0.385,,,0.6,0,0.50,4.6,2.4,7.2,13.6,10.8,0.9,0.8,1.13,10.6,15.4,0.69,0.4,0.3,0.7,1.5,2,3.5,106.1,105.7,0.4,-1.6,-0.08,0.34,0.765,0.5,0.41,0.244,0.4,0.0976,0.25,0.3125,0.539,0.49,,118.8,109.9,-8.9,17.5,0.26,0.05,0.046,0.61,0.880,0,1,1,0,0,0,0,0,0,,38.5,60,57.8,63,14.6,66.1,20.7,17.4,Bench Reserve,Cedi Osman,85,Gui Santos,79.2,Jordan Walsh,78.9,Chris Livingston,78.9,Jaden McDaniels,78.5,-2.745,-2.220,-1.392,-2.119,-0.963,0.818,-1.300,,,,,,,NBA Combine,
Noah Penda,2025,International,Wing,3.5,Le Mans Sarthe,French LNB Pro A,18.24,#EC672C,20.47,79,"6'7""",84,"7'0""",5,225,0.682,,,0.48,0,0.50,10.5,5.3,7.5,17.9,12.6,2.8,1.7,1.65,15.9,15,1.06,1.4,0.9,2.3,2.7,3.9,6.6,114.4,109.6,4.8,3.3,0.16,0.451,0.692,0.25,0.405,0.313,1,0.313,0.5,0.4375,0.553,0.506,,120.1,116.8,-3.3,18.5,0.57,0.15,0.092,0.86,0.811,0,1,1,0,0,0,0,0,0,,68.2,48,90.9,74.7,65.4,88.8,31.2,28.9,Solid Rotation,Vlatko Čančar,82.6,Cameron Oliver,79.3,Julian Champagnie,79,Jaden McDaniels,78.5,Santi Aldama,78.5,-2.469,-0.628,-0.387,-1.161,-0.492,1.414,-0.512,,,,,,,NBA Combine,
Cedric Coward,2025,Senior,Wing,2.5,Washington State,PAC 12,4.32,#981E32,21.79,77.25,"6'5.25""",86.25,"7'2.25""",9,213,0.608,,0.980,0.980,1,1.00,17.7,7,7,17.2,12.4,3.7,2.2,1.68,20.7,14.7,1.41,0.8,1.7,2.5,1.4,5.3,6.7,109.3,108.9,0.4,9.3,0.43,0.508,0.839,0.75,0.492,0.4,2,0.8,0.75,0.75,0.7,0.656,104,109.8,135.2,25.4,22.1,0.80,0.17,0.100,0.94,0.665,1,0,0,0,0,0,,0,0,,60.8,98,75,71.1,93,90.4,82.4,99.5,Bench Reserve,Mikal Bridges,75,Taylor Hendricks,72.8,David Roddy,72,Obi Toppin,71.9,Melvin Frazier Jr.,70.9,-1.340,0.083,0.287,-0.323,-0.471,1.790,0.070,,,,,,,NBA Combine,
Ryan Kalkbrenner,2025,Senior,Big,5,Creighton,Big East,11.04,#005CA9,23.44,85,"7'1""",90,"7'6""",5,257,0.861,,0.899,0.583,0,0.50,19.2,8.7,8.8,18.4,14.1,1.5,1.5,1.00,10,9.4,1.06,0.5,2.7,3.2,0.9,7.3,8.2,102.7,99.4,3.3,12.2,0.52,0.386,0.681,0.25,0.147,0.344,0.6,0.2064,0.25,0.25,0.684,0.678,589,110.7,132.7,22,23.6,0.81,0.06,0.064,0.42,0.398,1,0,0,0,0,0,0,0,0,,86.1,58.3,53.5,22.8,94.9,46,62.8,95.3,Bench Reserve,N'Faly Dante,79.8,Christian Koloko,74.1,Jakob Poeltl,73,Deandre Ayton,71.3,Jay Huff,69.4,-1.347,0.276,0.566,-0.169,1.156,1.544,0.439,,,,,,,NBA Combine,
Adou Thiero,2025,Junior,Wing,2.5,Arkansas,SEC,11.7,#9D2235,21.13,78.25,"6'6.25""",84,"7'0""",5.75,218,0.601,,,0.85,0,0.75,15.1,5.8,7.7,15.9,12,1.9,1.7,1.12,14,12,1.17,1.6,0.7,2.3,3.4,2.9,6.3,100.9,99.2,1.7,10.6,0.50,0.692,0.686,0.25,0.17,0.256,0.4,0.1024,0.175,0.19375,0.605,0.567,391,108.5,120.6,12.1,25.8,0.59,0.07,0.066,0.54,0.465,1,0,0,0,0,0,0,0,0,,60.1,85,78.1,72.9,70.3,54.7,7.8,75.5,Solid Rotation,Josh Jackson,85.1,Rondae Hollis-Jefferson,83.7,Tyler Bey,83.1,Aaron Gordon,79.5,Anthony Bennett,78.5,-1.798,-0.365,-0.151,-0.771,0.312,1.230,-0.155,,,,,,,NBA Combine,
Drake Powell,2025,Freshman,Wing,2.5,North Carolina,ACC,11.22,#7BAFD4,19.8,77.25,"6'5.25""",84,"7'0""",6.75,200,0.364,,0.984,0.984,1,1.00,7.4,3.4,3.3,11.4,7.5,1.1,0.7,1.57,7,10.2,0.69,0.7,0.7,1.4,1.6,2.8,4.4,104.9,107.9,-3,6.1,0.31,0.256,0.648,0.25,0.45,0.379,1,0.379,0.5,0.4375,0.581,0.569,258,113.4,118,4.6,13.8,0.54,0.08,0.051,0.51,0.739,1,0,0,0,0,0,0,0,0,,36.4,98.4,33.5,14.3,22.4,68.5,31.2,68,Bench Reserve,Cam Whitmore,87.6,Glenn Robinson III,80.4,Keldon Johnson,77.6,Justise Winslow,76.9,Isaac Okoro,76.7,-1.645,-0.687,0.085,-0.749,-0.984,1.246,-0.397,,,,,,,NBA Combine,
Maxime Raynaud,2025,Senior,Big,5,Stanford,ACC,6.07,#8C1515,22.22,84.25,"7'0.25""",85.25,"7'1.25""",1,237,0.53,,0.774,0.774,0,0.75,20.2,10.6,9.4,28.7,18.8,1.7,2.4,0.71,11.9,11.7,1.02,0.9,1.4,2.3,1.5,4.6,6.1,105.4,101.9,3.5,7,0.32,0.263,0.77,0.5,0.343,0.347,1.9,0.6593,0.5,0.5,0.558,0.527,652,109.4,112.2,2.8,31.5,0.64,0.05,0.076,0.38,0.371,1,0,0,0,0,0,0,0,0,,53,77.4,39.5,58.1,78.1,41.4,89.8,17.7,Fringe NBA,Adreian Payne,82.1,PJ Hall,78.4,Cameron Bairstow,77,Jonah Bolden,76.5,Christian Wood,76.1,-2.431,-0.702,-0.630,-1.255,-0.349,1.092,-0.604,,,,,,,NBA Combine,
Johni Broome,2025,Senior,Big,4.5,Auburn,SEC,15.13,#0C2340,22.93,81.25,"6'9.25""",84.25,"7'0.25""",3,249,0.371,,0.194,0.194,0,0.25,18.6,10.8,14.1,26,20.2,2.9,1.6,1.81,19.5,8.5,2.29,0.9,2.1,3,1.8,7.5,9.3,100,94.8,5.2,14.3,0.62,0.39,0.587,0,0.174,0.278,0.7,0.1946,0.25,0.1875,0.547,0.534,682,119.6,121.7,2.1,30.4,0.61,0.10,0.053,0.64,0.280,1,0,0,0,0,0,0,0,0,,37.1,19.4,69.3,88.8,76.7,92.6,47.5,16.3,Bench Reserve,Mike Muscala,76.1,Johnathan Motley,75.4,Orlando Robinson,73.4,Xavier Tillman,71.1,Luka Garza,70.3,-1.644,-0.094,-0.018,-0.585,0.641,1.059,-0.011,,,,,,,NBA Combine,
Kam Jones,2025,Senior,Guard,1.5,Marquette,Big East,10.37,#FFCC00,23.33,75.25,"6'3.25""",78,"6'6""",2.75,202,0.767,,0.227,0.227,0,0.25,19.2,4.5,2.1,13.6,7.6,5.9,1.9,3.11,38.1,9.6,3.97,1.4,0.3,1.7,2.4,0.9,3.3,100.2,103,-2.8,10.6,0.45,0.16,0.648,0.25,0.374,0.311,1.9,0.5909,0.5,0.4375,0.551,0.541,671,111.6,119.4,7.8,28.9,0.66,0.20,0.066,1.32,0.332,1,0,0,0,0,0,0,0,0,,76.7,22.7,34,48.1,59.9,88.2,23.5,53.4,Bench Reserve,Omari Moore,83.3,Olivier Hanlan,81,Trey Alexander,78.7,Tony Carr,76.3,Ty Jerome,76.1,-2.717,-1.491,-0.954,-1.720,-0.533,0.839,-0.971,,,,,,,NBA Combine,
Bogoljub Marković,2025,International,Big,4.5,KK Mega Basket,Adriatic ABA,19.1,#CB2F6D,19.95,82,"6'10""",84,"7'0""",2,212,0.229,,,0.28,0,0.25,13.7,6.8,7.2,21.4,14.6,2.7,2.7,1.00,16.3,20.4,0.80,0.8,0.8,1.6,1.5,2.7,4.2,111.5,108.1,3.4,2.1,0.11,0.489,0.76,0.5,0.307,0.37,1,0.37,0.5,0.5,0.642,0.595,,111.7,113,1.3,21.8,0.63,0.12,0.124,0.75,0.936,0,1,1,0,0,0,0,0,0,,22.9,28,32.6,14.9,94,93.5,89.8,72.1,Bench Reserve,TJ Leaf,81.1,Jeremiah Robinson-Earl,77.9,Caleb Swanigan,76.7,Nikola Jokic,75.7,Kyle Filipowski,75.3,-2.505,-0.882,-0.360,-1.249,-0.902,0.907,-0.748,,,,,,,NBA Combine,
Alex Toohey,2025,International,Wing,3,Sydney,NBL,17.95,#6639A5,21.14,79.75,"6'7.75""",82.75,"6'10.75""",3,223,0.66,,0.463,0.463,0,0.50,10.5,3.9,5.6,12.7,9.2,1.3,1.1,1.18,9.1,10,0.91,1.5,0.8,2.3,3.2,3.4,6.6,111.7,107.6,4.1,1.6,0.08,0.34,0.729,0.5,0.344,0.302,0.9,0.2718,0.25,0.3125,0.546,0.504,,114.5,111.2,-3.3,20,0.53,0.07,0.055,0.46,0.500,0,1,0,1,0,0,0,0,0,,66,46.3,89.8,39.8,39.6,46.9,20.7,25.3,Bench Reserve,Julian Champagnie,82.9,Isaiah Roby,82.2,Jaden McDaniels,81.7,Cedi Osman,80.5,Josh Huestis,80.2,-2.613,-1.036,-0.425,-1.358,-0.588,0.817,-0.769,,,,,,,NBA Combine,
Chaz Lanier,2025,Senior,Wing,2.5,Tennessee,SEC,13.25,#FF8200,23.52,75.75,"6'3.75""",81,"6'9""",5.25,206,0.16,,0.759,0.759,0,0.75,18,3.9,2,12.1,7.3,1.1,1.1,1.00,7.8,6.4,1.22,0.9,0.1,1,1.8,0.5,2.3,97.1,102.4,-5.3,8.9,0.38,0.176,0.758,0.5,0.551,0.395,3.2,1.264,1,0.875,0.56,0.54,553,114,117.2,3.2,28.8,0.63,0.04,0.038,0.27,0.222,1,0,0,0,0,0,0,0,0,,16,75.9,4.9,7,45.3,6.5,90.9,46.1,Bench Reserve,Jabari Bird,83.6,Dalton Knecht,82.3,Seth Lundy,82.2,Ochai Agbaji,79.2,Pat Connaughton,78,-2.469,-1.188,-1.298,-1.652,-0.460,1.138,-0.855,,,,,,,NBA Combine,
Tyrese Proctor,2025,Junior,Guard,1.5,Duke,ACC,10.26,#003087,21.23,76.25,"6'4.25""",79.25,"6'7.25""",3,183,0.72,,0.854,0.854,0,0.75,12.4,3,2,9,5.9,2.2,1.1,2.00,12.9,9.1,1.42,0.8,0.1,0.9,1.6,0.4,2,94.3,100.6,-6.3,7.4,0.35,0.205,0.68,0.25,0.603,0.405,2.3,0.9315,0.75,0.625,0.587,0.574,428,125,123.1,-1.9,20.1,0.62,0.11,0.055,0.64,0.453,1,0,0,0,0,0,0,0,0,,72,85.4,3.4,24.2,23.7,31.7,57.4,82.1,Fringe NBA,Frank Jackson,78.3,Wayne Selden,77.8,Grayson Allen,77.7,Jordan Hawkins,76.3,Lonnie Walker IV,75.3,-2.739,-1.435,-0.642,-1.606,0.184,1.196,-0.687,,,,,,,NBA Combine,
Rocco Zikarsky,2025,International,Big,5,Brisbane,NBL,17.95,#0070BA,18.96,87,"7'3""",88.75,"7'4.75""",1.75,257,0.868,,0.815,0.815,0,0.75,4.6,3.4,15.5,17.7,16.6,0.3,0.6,0.50,3.3,12.7,0.26,0.3,0.6,0.9,1.4,5,6.4,121.9,116.3,5.6,-2.7,-0.14,0.444,0.571,0,0.08,0.2,0.1,0.02,0.1,0.075,0.551,0.532,,115,116.1,1.1,17.1,0.27,0.02,0.035,0.19,0.743,0,1,0,1,0,0,0,0,0,,86.8,81.5,61.9,80.9,12.1,58.1,19.5,17.2,Fringe NBA,Ike Anigbogu,77.6,Steven Adams,74.4,Alex Len,71.1,Harry Giles III,70.5,Prince Ibeh,70.1,-2.225,-0.089,-0.535,-0.949,-0.174,1.185,-0.367,,,,,,,NBA Combine,
Hansen Yang,2025,International,Big,5,Qingdao,Chinese CBA,1.59,#C62B23,19.99,85,"7'1""",86.75,"7'2.75""",1.75,253,0.711,,0.617,0.617,0,0.50,16.2,10,10.5,23.5,17.3,2.8,3.1,0.90,14,19.5,0.72,0.9,2.7,3.6,1.5,7.1,8.6,109.4,103.9,5.5,3.8,0.19,0.446,0.677,0.25,0.1,0.286,0.3,0.0858,0.1,0.1375,0.636,0.609,,114.8,115,0.2,21.4,0.76,0.13,0.145,0.65,0.911,0,1,0,0,0,0,0,0,0,,71.1,61.7,63.3,54,84.2,84.7,34.9,74.9,Bench Reserve,Zhou Qi,82,Goga Bitadze,78,Thomas Bryant,75,Ante Zizic,72.7,Clint Capela,72.3,-2.192,-0.425,0.137,-0.827,0.212,1.466,-0.160,,,,,,,NBA Combine,
Dink Pate,2025,G League,Wing,2.5,Mexico City,G League,20.69,#274185,19.29,78.25,"6'6.25""",81.75,"6'9.75""",3.5,201,0.379,,0.236,0.236,0,0.25,10.1,5.2,2.1,17.6,10.1,1.9,1.7,1.12,10.7,14.2,0.75,0.6,0.1,0.7,1.1,0.2,1.3,113.5,114.7,-1.2,-4.7,-0.24,0.13,0.581,0,0.361,0.258,0.9,0.2322,0.25,0.1875,0.487,0.453,,111.4,89.5,-21.9,20.3,0.50,0.09,0.084,0.53,0.700,0,0,0,0,1,1,0,0,0,,37.9,23.6,23.4,20.8,35.4,66.4,4.3,4.4,Fringe NBA,Terrance Ferguson,83.3,Rayan Rupert,82.3,Ousmane Dieng,79.9,Nikola Djurisic,78.6,Emoni Bates,78.3,-3.581,-2.282,-2.626,-2.830,-1.253,0.074,-1.934,,,,,,,NBA Combine,
Koby Brea,2025,Senior,Wing,2.5,Kentucky,SEC,14.04,#0033A0,22.64,77.75,"6'5.75""",77.25,"6'5.25""",-0.5,202,0.182,,0.052,0.052,0,0.10,11.6,3.2,1.1,10.9,6.2,1.3,0.5,2.60,8,4.9,1.63,0.5,0.3,0.8,0.9,1.3,2.2,106.5,112.4,-5.9,7.1,0.31,0.112,0.914,0.875,0.684,0.435,2.6,1.131,1,0.96875,0.636,0.618,352,116.5,130.1,13.6,16.7,0.69,0.08,0.030,0.48,0.293,1,0,0,0,0,0,0,0,0,,18.2,5.2,3.1,1.6,27.6,60.4,96.1,94.5,Fringe NBA,John Petty,77,Antonio Reeves,75.5,Justinian Jessup,75.5,Sam Hauser,74.9,Tyler Dorsey,74.8,-2.804,-1.163,-1.195,-1.721,-0.978,0.511,-1.126,,,,,,,NBA Combine,
Jamir Watkins,2025,Senior,Wing,2.5,Florida State,ACC,6.43,#782F40,23.98,77,"6'5""",83.25,"6'11.25""",6.25,215,0.39,,0.629,0.629,0,0.50,18.4,5.7,3.9,16.9,10.5,2.4,2.7,0.89,16.3,13.9,1.17,1.2,0.5,1.7,2.2,2,4.2,102.8,103.5,-0.7,5.6,0.23,0.59,0.747,0.5,0.398,0.321,1.7,0.5457,0.5,0.5,0.555,0.49,556,105.6,109.3,3.7,31.1,0.59,0.08,0.087,0.52,0.447,1,0,0,0,0,0,0,0,0,,39,62.9,48.7,34.6,47.1,29.2,45.4,23.2,Fringe NBA,Tres Tinkle,85.4,Lindy Waters III,84.4,Jalen Wilson,80.5,Dwayne Bacon,79.8,Miye Oni,79.1,-2.941,-1.743,-1.712,-2.132,-0.750,0.650,-1.299,,,,,,,NBA Combine,
Hunter Sallis,2025,Senior,Guard,1.5,Wake Forest,ACC,7.47,#000000,22.25,75.75,"6'3.75""",82,"6'10""",6.25,181,0.748,,0.769,0.769,0,0.75,18.3,5.1,1.8,14.4,8.3,2.8,2.4,1.17,18,12.8,1.41,1.2,0.5,1.7,2,1.9,3.9,100.2,102.5,-2.3,5.6,0.25,0.32,0.804,0.75,0.335,0.277,1.3,0.3601,0.25,0.375,0.549,0.503,550,103.4,107.6,4.2,27.7,0.66,0.10,0.087,0.65,0.462,1,0,0,0,0,0,0,0,0,,74.8,76.9,47.9,50.4,61.5,13.4,18.3,36.6,Fringe NBA,Jordan Clarkson,82.4,Iverson Molinar,81.5,Tyrone Wallace,77.6,David Duke Jr.,77.5,Josh Christopher,76.6,-3.569,-2.356,-1.469,-2.465,-0.728,0.232,-1.578,,,,,,,NBA Combine,
Sion James,2025,Senior,Wing,2.5,Duke,ACC,10.26,#003087,22.56,76.5,"6'4.5""",78.5,"6'6.5""",2,218,0.195,,0.774,0.774,0,0.75,8.6,4.2,3.7,14.2,9.5,2.9,1.2,2.42,18.9,15.1,1.25,0.8,0.3,1.1,1.9,1.1,3,94.3,96.8,-2.5,9.3,0.41,0.461,0.81,0.5,0.346,0.413,0.8,0.3304,0.5,0.5,0.635,0.588,361,125,131.1,6.1,16.2,0.53,0.18,0.074,1.17,0.932,1,0,0,0,0,0,0,0,0,,19.5,77.4,22.1,28.9,9.4,94.5,45.4,88.8,Bench Reserve,Pelle Larsson,83.1,Dillon Brooks,81.8,Aaron Wiggins,79.4,Solomon Hill,78.4,Admiral Schofield,78.2,-1.958,-1.155,-0.479,-1.197,-0.475,1.191,-0.575,,,,,,,NBA Combine,
Michael Ruzic,2025,International,Big,4.5,Joventut,Spanish ACB,22.69,#009846,18.72,83,"6'11""",84.75,"7'0.75""",1.75,221,0.321,,0.707,0.707,0,0.75,2.4,1.5,6.1,11.6,8.9,0.2,0.2,1.00,2.7,7,0.39,0.3,0.3,0.6,1.3,2.3,3.6,114.4,118.2,-3.8,-4.9,-0.26,0.382,0.308,0,0.441,0.2,0.2,0.04,0.1,0.075,0.491,0.515,,116.5,104.5,-12,11.8,0.20,0.02,0.017,0.23,0.593,0,1,1,0,0,0,0,0,0,,32.1,70.7,1.4,1.9,20.9,80.9,19.5,1.4,Fringe NBA,John Butler Jr.,72.8,JT Thor,71.4,Skal Labissiere,70.1,Grant Jerrett,70,Dragan Bender,69.3,-3.191,-1.147,-1.141,-1.826,-1.252,0.445,-1.257,,,,,,,NBA Combine,
Eric Dixon,2025,Senior,Big,4.5,Villanova,Big East,7.45,#00205B,24.42,79.5,"6'7.5""",83.5,"6'11.5""",4,259,0.234,,0.380,0.380,0,0.50,23.3,5.1,5.2,12.6,9,1.9,2.1,0.90,13.1,9.7,1.35,0.8,0.3,1.1,1.5,1.1,2.6,106.5,109.9,-3.4,8.5,0.35,0.358,0.813,0.75,0.424,0.407,2.9,1.1803,0.75,0.75,0.583,0.537,741,115.7,119.5,3.8,34.7,0.67,0.05,0.061,0.38,0.280,1,0,0,0,0,0,0,0,0,,23.4,38,0.5,1.4,85.6,36.7,98.8,32.6,Fringe NBA,Ben Bentil,72.4,Adreian Payne,71.2,PJ Hall,70.7,Sandro Mamukelashvili,68.3,Ryan Kelly,67.8,-3.179,-1.562,-1.279,-2.006,-1.158,0.858,-1.264,,,,,,,NBA Combine,
John Tonje,2025,Senior,Wing,2.5,Wisconsin,Big 10,11.49,#C5050C,24.17,76.75,"6'4.75""",81,"6'9""",4.25,212,0.265,,0.385,0.385,0,0.50,19.6,5.3,3,15.6,9.6,1.8,1.8,1.00,11.9,10.8,1.10,0.7,0.2,0.9,1.4,0.8,2.2,102.8,105.2,-2.4,11,0.46,0.579,0.909,0.875,0.499,0.388,2.3,0.8924,0.75,0.78125,0.647,0.562,652,116.3,128.2,11.9,28,0.70,0.06,0.064,0.43,0.386,1,0,0,0,0,0,0,0,0,,26.5,38.5,14.3,24,78.4,18.5,86.6,86.5,Bench Reserve,Baylor Scheierman,81.9,Sam Hauser,81.4,Davon Reed,80.4,Rodney Hood,80,Isaiah Livers,79.4,-2.937,-1.450,-1.467,-1.952,0.006,0.937,-0.982,,,,,,,NBA Combine,
Izan Almansa,2025,International,Big,4.5,Perth,NBL,17.95,#ED1D24,20.05,81.25,"6'9.25""",85.75,"7'1.75""",4.5,220,0.327,,0.736,0.736,0,0.75,6.8,3.9,9.9,17.7,13.8,0.7,0.5,1.40,6.4,7.9,0.81,0.4,0.3,0.7,1.2,1.7,2.9,118.7,117.8,0.9,-2.6,-0.13,0.315,0.534,0,0.114,0.333,0.2,0.0666,0.1,0.075,0.539,0.53,,122.5,116.9,-5.6,18.2,0.37,0.04,0.027,0.35,0.434,0,1,0,1,0,0,0,0,0,,32.7,73.6,10.7,26,21.4,75.8,19.5,14.9,Fringe NBA,Moussa Diabate,85.8,Jordan Mickey,79.7,Johnny O'Bryant III,79.5,Joffrey Lauvergne,78.9,Jarell Martin,78.4,-3.429,-1.209,-1.304,-1.981,-1.416,0.487,-1.374,,,,,,,NBA Combine,
RJ Luis Jr.,2025,Junior,Wing,2.5,St. John’s,Big East,8.55,#BA0C2F,22.58,77.75,"6'5.75""",82.5,"6'10.5""",4.75,210,0.409,,0.831,0.831,0,0.75,18.2,7.2,7,17,11.9,2,2.2,0.91,12.3,11.1,1.11,1.4,0.6,2,2.5,2.1,4.6,92.5,95.5,-3,8.6,0.38,0.341,0.747,0.5,0.262,0.336,1.3,0.4368,0.5,0.5,0.525,0.483,588,110.3,111.4,1.1,28.9,0.63,0.07,0.076,0.43,0.384,1,0,0,0,0,0,0,0,0,,40.9,83.1,34.6,68.5,61.5,23.7,45.4,11.7,Fringe NBA,Jaime Jaquez Jr.,86.4,Jalen Wilson,85.2,Taurean Prince,82.1,Jaron Blossomgame,79.9,Solomon Hill,79.8,-2.228,-0.959,-0.921,-1.369,-1.063,1.034,-0.827,,,,,,,NBA Combine,
