Name,Draft Year,Class,Role,Position,Pre-NBA,League,SOS,Team Color,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Ath. Score,Freak Athlete,Athletic Tier,PTS,REB,ORB%,DRB%,TRB%,AST,TOV,AST/TOV,AST%,TOV%,AST%/TOV%,STL,BLK,Stocks,STL%,BLK%,Stocks %,Team DRtg,DRtg,DRtg +/-,BPM,BPM/Age,FTr,FT%,FT Rating,3PAr,3P%,3PM/G,3PM x 3P%,3P Rating,Shooter,TS%,eFG%,PProd,Team ORtg,ORtg,ORtg +/-,USG%,PTS/USG%,AST/USG%,TOV/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Other,G League,OE,Top 3 Pick,Lottery Pick,G Played Issue,Size,Athleticism,Defense,Rebounding,Scoring,Passing,Shooting,Efficiency,Tier,Comp1,Similarity1,Comp2,Similarity2,Comp3,Similarity3,Comp4,Similarity4,Comp5,Similarity5,Pred. Y1 EPM,Pred. Y2 EPM,Pred. Y3 EPM,Avg. EPM Y1-Y3,Pred. Y4 EPM,Pred. Y5 EPM,Avg. EPM Y1-Y5,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,Actual Pick,NBA Team,NBA
Noa Essengue,2025,International,Wing,3.5,Ratiopharm Ulm,German BBL,16.23,#D74F37,18.5,81,"6'9""",83,"6'11""",2,198,0.658,,,0.8,0,0.75,9.7,4.5,8.2,16.7,12.6,1.1,1.1,1.00,7.5,11.9,0.63,0.7,0.6,1.3,1.7,3,4.7,106.1,105.8,0.3,1,0.05,0.713,0.679,0.25,0.365,0.243,0.6,0.1458,0.25,0.25,0.579,0.518,,117.3,118.4,1.1,18.9,0.51,0.06,0.058,0.40,0.630,0,1,1,0,0,0,0,0,1,,65.8,80,66.1,78.1,79.2,58.1,10.3,45.1,Quality Starter,Bilal Coulibaly,82.9,Jeremy Sochan,82.4,Jordan Walsh,81.8,Robert Woodard II,80.9,Juancho Hernangomez,79.2,-2.095,-0.915,-0.263,-1.091,-0.314,1.062,-0.505,,,,,,,NBA Combine,
Collin Murray-Boyles,2025,Sophmore,Wing,4,South Carolina,SEC,11.55,#73000A,20.04,78.5,"6'6.5""",84.75,"7'0.75""",6.25,239,0.778,,0.906,0.906,0,1.00,16.8,8.3,8.8,23.8,16.3,2.4,2.4,1.00,21.1,15.4,1.37,1.5,1.3,2.8,2.9,4.7,7.6,106.1,100.4,5.7,11.9,0.59,0.556,0.707,0.25,0.101,0.265,0.3,0.0795,0.1,0.1375,0.63,0.599,513,103.7,119.6,15.9,26.7,0.63,0.09,0.090,0.79,0.577,1,0,0,0,0,0,0,0,1,,77.8,90.6,94.5,92.7,90.4,76.8,2.6,90.1,Quality Starter,Ben Simmons,79.5,Josh Jackson,75.4,Aaron Gordon,74.3,Jalen Johnson,74.2,Rondae Hollis-Jefferson,71.9,-1.303,0.418,0.800,-0.028,1.911,1.944,0.754,,,,,,,NBA Combine,
Carter Bryant,2025,Freshman,Wing,3.5,Arizona,Big 12,13.72,#CC0033,19.58,78.5,"6'6.5""",83.75,"6'11.75""",5.25,215,0.637,,0.912,0.912,0,1.00,6.5,4.1,5.3,17.8,11.9,1,1,1.00,8.3,15.4,0.54,0.9,1,1.9,2.8,5.8,8.6,103.3,100.1,3.2,8.8,0.45,0.335,0.695,0.25,0.597,0.371,1.1,0.4081,0.5,0.4375,0.593,0.571,228,116.3,116.5,0.2,16.4,0.40,0.06,0.061,0.51,0.939,1,0,0,0,0,0,0,0,1,,63.7,91.2,93.2,56.5,11.2,47.9,31.2,72.7,Quality Starter,OG Anunoby,75.8,Jonathan Isaac,74.9,Kelly Oubre Jr.,74.1,Cam Whitmore,73.8,Justise Winslow,71.4,-1.318,0.290,1.170,0.048,0.196,1.799,0.428,,,,,,,NBA Combine,
Egor Demin,2025,Freshman,Guard,2.5,BYU,Big 12,10.21,#0062B8,19.31,80.25,"6'8.25""",82.25,"6'10.25""",2,199,0.941,,0.432,0.432,0,0.50,10.6,3.9,1.3,14.8,8.3,5.5,2.9,1.90,34.6,21.9,1.58,1.2,0.4,1.6,2.5,1.7,4.2,104.8,105.6,-0.8,5.3,0.27,0.268,0.695,0.25,0.503,0.273,1.3,0.3549,0.25,0.25,0.509,0.48,411,117.6,103.9,-13.7,24.5,0.43,0.22,0.118,1.41,0.894,1,0,0,0,0,0,0,0,1,,94.1,43.2,71.4,42,6.9,82.8,5,14.5,Bench Reserve,Frank Ntilikina,78.2,Talen Horton-Tucker,77,Andrew Harrison,75.3,JD Davison,74.7,Juan Núñez,74.2,-1.940,-1.073,-0.512,-1.175,-0.193,0.679,-0.608,,,,,,,NBA Combine,
Asa Newell,2025,Freshman,Big,4.5,Georgia,SEC,10.94,#BA0C2F,19.71,81,"6'9""",83.25,"6'11.25""",2.25,224,0.168,,0.903,0.711,0,0.75,15.4,6.9,13.9,13.5,13.7,0.9,1.1,0.82,6.7,8.2,0.82,1,1,2,2,3.8,5.8,101.9,104.2,-2.3,9.6,0.49,0.384,0.748,0.5,0.253,0.292,0.8,0.2336,0.25,0.3125,0.612,0.58,483,109.8,131.5,21.7,23.5,0.66,0.04,0.047,0.29,0.349,1,0,0,0,0,0,0,0,1,,16.8,71.1,6,53,83.7,51.2,73.3,55.3,Bench Reserve,Zeke Nnaji,79.5,Marquese Chriss,77.3,Cody Zeller,77.2,Isaiah Stewart,77.1,Marvin Bagley III,77,-2.191,-0.086,-0.296,-0.858,-0.246,1.017,-0.360,,,,,,,NBA Combine,
Jase Richardson,2025,Freshman,Guard,1.5,Michigan State,Big 10,11.89,#18453B,19.69,72.5,"6'0.5""",78,"6'6""",5.5,178,0.437,,0.570,0.570,0,0.50,12.1,3.3,3,11.4,7.4,1.9,0.8,2.38,14.4,7.9,1.82,0.8,0.3,1.1,1.9,1.4,3.3,97,100.3,-3.3,11.6,0.59,0.418,0.836,0.75,0.39,0.412,1.3,0.5356,0.75,0.75,0.624,0.574,390,112.3,132,19.7,20.6,0.59,0.09,0.039,0.70,0.383,1,0,0,0,0,0,0,0,1,,43.7,57,33.2,58.8,40.5,50,74,93.1,Quality Starter,Nick Johnson,74.1,Tyrell Terry,73.6,Tre Mann,72.9,Malik Monk,72.8,Trey Burke,72.7,-1.611,-0.225,0.672,-0.388,1.671,2.465,0.594,,,,,,,NBA Combine,
Liam McNeeley,2025,Freshman,Wing,3,UConn,Big East,8.87,#000E2F,19.71,78.75,"6'6.75""",80.5,"6'8.5""",1.75,215,0.339,,0.758,0.758,0,0.75,14.5,6,3.7,18.7,11.5,2.3,1.9,1.21,13.1,11.9,1.10,0.6,0.2,0.8,1.1,0.8,1.9,103.9,107.1,-3.2,3.4,0.17,0.41,0.866,1,0.468,0.317,1.7,0.5389,0.5,0.625,0.529,0.455,370,117.6,112.5,-5.1,25.6,0.57,0.09,0.074,0.51,0.465,1,0,0,0,0,0,0,0,0,,33.9,75.8,9.4,40.6,62,65.1,65.6,7.8,Bench Reserve,Malachi Richardson,85.4,Max Christie,84.2,Ja'Kobe Walter,81,Keldon Johnson,79.2,Dwayne Bacon,78.6,-2.486,-1.402,-1.397,-1.762,-0.974,0.945,-1.063,,,,,,,NBA Combine,
Thomas Sorber,2025,Freshman,Big,4.5,Georgetown,Big East,5.77,#041E42,19.5,81.5,"6'9.5""",90,"7'6""",8.5,263,0.636,,,0.28,0,0.25,14.5,8.5,9.5,21.9,15.6,2.4,2.3,1.04,15.6,15.3,1.02,1.5,2,3.5,2.7,7.6,10.3,101.6,96.7,4.9,8.5,0.44,0.42,0.724,0.5,0.148,0.162,0.3,0.0486,0.1,0.2,0.58,0.544,347,105.2,114.7,9.5,23.6,0.61,0.10,0.097,0.66,0.648,1,0,0,0,0,0,0,0,0,,63.6,28,70.2,34.9,74.4,88.8,44.4,34.4,Quality Starter,Thomas Bryant,81.4,Kaleb Wesson,80.7,Ivica Zubac,79,Wendell Carter Jr.,78.9,Henry Ellenson,77.9,-1.486,0.075,0.275,-0.379,1.427,1.756,0.409,,,,,,,NBA Combine,
Nique Clifford,2025,Senior,Wing,2.5,Colorado State,Mountain West,6.05,#1E4D2B,23.38,77.25,"6'5.25""",80,"6'8""",2.75,202,0.204,,0.659,0.659,0,0.75,18.9,9.6,5.4,26,16.4,4.4,2.6,1.69,26.8,14.1,1.90,1.2,0.6,1.8,2,2,4,100.5,96.1,4.4,11.1,0.47,0.373,0.777,0.5,0.365,0.377,1.8,0.6786,0.75,0.6875,0.603,0.565,686,112.3,119.2,6.9,27.7,0.68,0.16,0.094,0.97,0.509,1,0,0,0,0,0,0,0,0,,20.4,65.9,73.2,80.5,64.1,93,73,74.5,Solid Rotation,Jaylon Tyson,82.5,Michael Gbinije,82.2,Dillon Brooks,82.2,Pelle Larsson,81.9,Kevin McCullar Jr.,80.7,-2.258,-0.867,-0.432,-1.185,0.485,1.826,-0.249,,,,,,,NBA Combine,
Nolan Traore,2025,International,Guard,1,Saint-Quentin,French LNB Pro A,18.24,#194187,19.08,75.75,"6'3.75""",80,"6'8""",4.25,184,0.759,,,0.651,0,0.75,11.6,1.7,2.4,7.9,5,5.1,2.5,2.04,45.2,17.6,2.57,0.7,0.1,0.8,1.7,0.4,2.1,112.9,114.4,-1.5,-1.6,-0.08,0.299,0.71,0.5,0.402,0.304,1.3,0.3952,0.25,0.3125,0.494,0.453,,110.2,105,-5.2,30.1,0.39,0.17,0.083,1.50,0.585,0,1,1,0,0,0,0,0,0,,75.9,65.1,37,20.6,21,90.8,12,3.8,Fringe NBA,Blake Wesley,77.6,Dennis Schröder,75,Jaden Hardy,73.1,Keyonte George,72.8,Nick Smith Jr.,72.5,-3.264,-2.089,-1.249,-2.201,-0.787,0.116,-1.454,,,,,,,NBA Combine,
