Name,Draft Year,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Victor Wembanyama,2023,Big,French LNB Élite,Metropolitans 92,#F1BD48,1,San Antonio Spurs,SAS,19.45,88,"7'4""",96,"8'0""",8,220
Brandon Miller,2023,Wing,SEC,Alabama,#9E1B32,2,Charlotte Hornets,CHA,20.57,79,"6'7""",83.5,"6'11.5""",4.5,200
Scoot Henderson,2023,Guard,G League,G League Ignite,#8C2A93,3,Portland Trail Blazers,POR,19.37,74.5,"6'2.5""",81,"6'9""",6.5,195
Amen Thompson,2023,Guard,Overtime Elite,OTE City Reapers,#B03736,4,Houston Rockets,HOU,20.38,77.75,"6'5.75""",84,"7'0""",6.25,214
Ausar Thompson,2023,Wing,Overtime Elite,OTE City Reapers,#B03736,5,Detroit Pistons,DET,20.38,77.75,"6'5.75""",84,"7'0""",6.25,218
Anthony Black,2023,Guard,SEC,Arkansas,#9D2235,6,Orlando Magic,ORL,19.41,77.75,"6'5.75""",79.5,"6'7.5""",1.75,210
Bilal Coulibaly,2023,Wing,French LNB Élite,Metropolitans 92,#F1BD48,7,Washington Wizards,WAS,18.9,79.5,"6'7.5""",86.5,"7'2.5""",7,194
Jarace Walker,2023,Big,American,Houston,#C8102E,8,Indiana Pacers,IND,19.79,78.5,"6'6.5""",86.5,"7'2.5""",8,249
Taylor Hendricks,2023,Wing,American,UCF,#BA9B37,9,Utah Jazz,UTA,19.57,80.25,"6'8.25""",84.5,"7'0.5""",4.25,214
Cason Wallace,2023,Guard,SEC,Kentucky,#0033A0,10,Oklahoma City Thunder,OKC,19.61,74.5,"6'2.5""",80.5,"6'8.5""",6,195
Jett Howard,2023,Wing,Big 10,Michigan,#FFCB05,11,Orlando Magic,ORL,19.76,78,"6'6""",81,"6'9""",3,215
Dereck Lively II,2023,Big,ACC,Duke,#003087,12,Dallas Mavericks,DAL,19.35,85,"7'1""",91,"7'7""",6,215
