Name,Draft Year,Role,League,Pre-NBA,Team Color,Actual Pick,NBA Team,ABV,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs)
Gradey Dick,2023,Wing,Big 12,Kansas,#0051BA,13,Toronto Raptors,TOR,19.58,78.25,"6'6.25""",80.75,"6'8.75""",2.5,204
Jordan Hawkins,2023,Guard,Big East,UConn,#E4002B,14,New Orleans Pelicans,NOP,21.14,76.25,"6'4.25""",78.75,"6'6.75""",2.5,186
Kobe Bufkin,2023,Guard,Big 10,Michigan,#FFCB05,15,Atlanta Hawks,ATL,19.74,76.25,"6'4.25""",79.75,"6'7.75""",3.5,187
Keyonte George,2023,Guard,Big 12,Baylor,#154734,16,Utah Jazz,UTA,19.61,76,"6'4""",78,"6'6""",2,185
Jalen Hood-Schifino,2023,Guard,Big 10,Indiana,#990000,17,Los Angeles Lakers,LAL,20,76.25,"6'4.25""",82.25,"6'10.25""",6,217
Jaime Jaquez Jr.,2023,Wing,PAC 12,UCLA,#2D68C4,18,Miami Heat,MIA,22.33,78,"6'6""",81.5,"6'9.5""",3.5,226
Brandin Podziemski,2023,Guard,WCC,Santa Clara,#862633,19,Golden State Warriors,GSW,20.31,75.75,"6'3.75""",77.5,"6'5.5""",1.75,204
Cam Whitmore,2023,Wing,Big East,Villanova,#13B5EA,20,Houston Rockets,HOU,18.95,77.75,"6'5.75""",80.5,"6'8.5""",2.75,235
Noah Clowney,2023,Big,SEC,Alabama,#9E1B32,21,Brooklyn Nets,BKN,18.93,81,"6'9""",86,"7'2""",5,210
Dariq Whitehead,2023,Wing,ACC,Duke,#003087,22,Brooklyn Nets,BKN,18.88,77.75,"6'5.75""",82.25,"6'10.25""",4.5,217
Kris Murray,2023,Wing,Big 10,Iowa,#FFCD00,23,Portland Trail Blazers,POR,22.83,79.75,"6'7.75""",83.75,"6'11.75""",4,213
Olivier-Maxence Prosper,2023,Wing,Big East,Marquette,#FFCC00,24,Dallas Mavericks,DAL,20.96,78.75,"6'6.75""",85,"7'1""",6.25,212
Marcus Sasser,2023,Guard,American,Houston,#C8102E,25,Detroit Pistons,DET,22.74,73.25,"6'1.25""",79,"6'7""",5.75,196
Ben Sheppard,2023,Wing,MVC,Belmont,#C8102E,26,Indiana Pacers,IND,21.93,77.25,"6'5.25""",79.75,"6'7.75""",2.5,195
Nick Smith Jr.,2023,Guard,SEC,Arkansas,#9D2235,27,Charlotte Hornets,CHA,19.17,74,"6'2""",80,"6'8""",6,185
Brice Sensabaugh,2023,Wing,Big 10,Ohio State,#BB0000,28,Utah Jazz,UTA,19.64,77,"6'5""",83,"6'11""",6,235
Julian Strawther,2023,Wing,WCC,Gonzaga,#C8102E,29,Denver Nuggets,DEN,21.17,78,"6'6""",81.25,"6'9.25""",3.25,209
Kobe Brown,2023,Wing,SEC,Missouri,#F1B82D,30,Los Angeles Clippers,LAC,23.46,78.5,"6'6.5""",84.75,"7'0.75""",6.25,252
James Nnaji,2023,Big,Spanish ACB,Barcelona,#004D98,31,Charlotte Hornets,CHA,18.85,83,"6'11""",89,"7'5""",6,251
Jalen Pickett,2023,Guard,Big 10,Penn State,#FFFFF,32,Denver Nuggets,DEN,23.66,74,"6'2""",79.25,"6'7.25""",5.25,198
Leonard Miller,2023,Wing,G League,G League Ignite,#8C2A93,33,Minnesota Timberwolves,MIN,19.56,81.25,"6'9.25""",86,"7'2""",4.75,213
Colby Jones,2023,Wing,Big East,Xavier,#9EA2A2,34,Sacramento Kings,SAC,21.06,76.5,"6'4.5""",80,"6'8""",3.5,199
Julian Phillips,2023,Wing,SEC,Tennessee,#FF8200,35,Chicago Bulls,CHI,19.62,78.75,"6'6.75""",83.5,"6'11.5""",4.75,197
Andre Jackson Jr.,2023,Wing,Big East,UConn,#E4002B,36,Milwaukee Bucks,MIL,21.6,77.5,"6'5.5""",81.75,"6'9.75""",4.25,198
Hunter Tyson,2023,Wing,ACC,Clemson,#F56600,37,Denver Nuggets,DEN,23.02,79.5,"6'7.5""",81.75,"6'9.75""",2.25,209
Jordan Walsh,2023,Wing,SEC,Arkansas,#9D2235,38,Boston Celtics,BOS,19.3,77.75,"6'5.75""",85.75,"7'1.75""",8,204
Mouhamed Gueye,2023,Big,PAC 12,Washington State,#981E32,39,Atlanta Hawks,ATL,20.61,82.25,"6'10.25""",87.25,"7'3.25""",5,213
Maxwell Lewis,2023,Wing,WCC,Pepperdine,#EE7624,40,Los Angeles Lakers,LAL,20.9,78.25,"6'6.25""",84,"7'0""",5.75,207
Amari Bailey,2023,Guard,PAC 12,UCLA,#2D68C4,41,Charlotte Hornets,CHA,19.33,75.25,"6'3.25""",79,"6'7""",3.75,191
Tristan Vukcevic,2023,Big,Adriatic ABA,KK Partizan,#ED1D24,42,Washington Wizards,WAS,20.27,83.25,"6'11.25""",86.5,"7'2.5""",3.25,225
Rayan Rupert,2023,Wing,Aus. NBL,New Zealand,#DA73A4,43,Portland Trail Blazers,POR,19.05,78,"6'6""",86,"7'2""",8,193
Sidy Cissoko,2023,Wing,G League,G League Ignite,#8C2A93,44,San Antonio Spurs,SAS,19.21,77.5,"6'5.5""",81.75,"6'9.75""",4.25,224
GG Jackson,2023,Wing,SEC,South Carolina,#73000A,45,Memphis Grizzlies,MEM,18.5,80.25,"6'8.25""",83.5,"6'11.5""",3.25,214
Seth Lundy,2023,Wing,Big 10,Penn State,#FFFFF,46,Atlanta Hawks,ATL,23.21,76,"6'4""",82.25,"6'10.25""",6.25,214
Mojave King,2023,Wing,G League,G League Ignite,#8C2A93,47,Indiana Pacers,IND,20.94,75.75,"6'3.75""",80,"6'8""",4.25,201
Jordan Miller,2023,Wing,ACC,Miami,#F47321,48,Los Angeles Clippers,LAC,23.4,76.5,"6'4.5""",83.75,"6'11.75""",7.25,192
Emoni Bates,2023,Wing,MAC,Eastern Michigan,#006633,49,Cleveland Cavaliers,CLE,19.39,80.25,"6'8.25""",81,"6'9""",0.75,179
Keyontae Johnson,2023,Wing,Big 12,Kansas State,#512888,50,Oklahoma City Thunder,OKC,23.07,76,"6'4""",84,"7'0""",8,239
Jalen Wilson,2023,Wing,Big 12,Kansas,#0051BA,51,Brooklyn Nets,BKN,22.62,77.5,"6'5.5""",80,"6'8""",2.5,230
Toumani Camara,2023,Wing,A-10,Dayton,#CE1141,52,Phoenix Suns,PHX,23.12,79,"6'7""",84.5,"7'0.5""",5.5,220
Jaylen Clark,2023,Wing,PAC 12,UCLA,#2D68C4,53,Minnesota Timberwolves,MIN,21.68,76,"6'4""",81,"6'9""",5,204
Jalen Slawson,2023,Wing,Southern,Furman,#582C83,54,Sacramento Kings,SAC,23.66,78.5,"6'6.5""",83.75,"6'11.75""",5.25,222
Isaiah Wong,2023,Guard,ACC,Miami,#F47321,55,Indiana Pacers,IND,22.39,74.5,"6'2.5""",78.75,"6'6.75""",4.25,178
Tarik Biberovic,2023,Wing,Turkish BSL,Fenerbahçe,#FFED00,56,Memphis Grizzlies,MEM,22.39,79,"6'7""",83,"6'11""",4,218
Trayce Jackson-Davis,2023,Big,Big 10,Indiana,#990000,57,Golden State Warriors,GSW,23.32,80.25,"6'8.25""",85,"7'1""",4.75,240
Chris Livingston,2023,Wing,SEC,Kentucky,#0033A0,58,Milwaukee Bucks,MIL,19.68,78,"6'6""",83.25,"6'11.25""",5.25,219
Charles Bediako,2023,Big,SEC,Alabama,#9E1B32,UDFA,San Antonio Spurs,SAS,21.28,82,"6'10""",87.25,"7'3.25""",5.25,223
Colin Castleton,2023,Big,SEC,Florida,#FA4616,UDFA,Los Angeles Lakers,LAL,23.07,82.5,"6'10.5""",87.5,"7'3.5""",5,234
Ricky Council IV,2023,Wing,SEC,Arkansas,#9D2235,UDFA,Philadelphia 76ers,PHI,21.88,77,"6'5""",81,"6'9""",4,208
Adam Flagler,2023,Guard,Big 12,Baylor,#154734,UDFA,Oklahoma City Thunder,OKC,23.55,73,"6'1""",76.5,"6'4.5""",3.5,192
Adama Sanogo,2023,Big,Big East,UConn,#E4002B,UDFA,Chicago Bulls,CHI,21.35,79.25,"6'7.25""",86.75,"7'2.75""",7.5,258
Terquavion Smith,2023,Guard,ACC,NC State,#CC0000,UDFA,Philadelphia 76ers,PHI,20.47,74.5,"6'2.5""",78.75,"6'6.75""",4.25,163
Drew Timme,2023,Big,WCC,Gonzaga,#C8102E,UDFA,Milwaukee Bucks,MIL,22.78,80.75,"6'8.75""",85.75,"7'1.75""",5,243
Oscar Tshiebwe,2023,Big,SEC,Kentucky,#0033A0,UDFA,Indiana Pacers,IND,23.56,79.25,"6'7.25""",87.5,"7'3.5""",8.25,254
Craig Porter Jr.,2023,Guard,American,Wichita State,#FFCD00,UDFA,Cleveland Cavaliers,CLE,23.22,73,"6'1""",76,"6'4""",3,176
Trey Jemison,2023,Big,C-USA,UAB,#006341,UDFA,Phoenix Suns,PHX,23.57,82,"6'10""",86,"7'2""",4,260
Yuki Kawamura,2023,Guard,Japanese B.League,Yokohama,#AC2321,UDFA,Memphis Grizzlies,MEM,22.15,68,"5'8""",71,"5'11""",3,159
Drew Peterson,2023,Wing,PAC 12,USC,#990000,UDFA,Miami Heat,MIA,23.63,81,"6'9""",85,"7'1""",4,205
Pete Nance,2023,Big,ACC,North Carolina,#7BAFD4,UDFA,Cleveland Cavaliers,CLE,23.35,82,"6'10""",84.5,"7'0.5""",2.5,218
