Rank,Name,Role,Pre-NBA,Actual Pick,NBA Team,ABV,Class,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),NCAAM,combine_invite,combine_invite
39,Mark Sears,Guard,Alabama,UDFA,Milwaukee Bucks,MIL,Sr.,23.35,70.75,"5'10.75""",74,"6'2""",3.25,183,1,NBA,NBA
40,Micah Peavy,Wing,Georgetown,40,New Orleans Pelicans,NOP,Gr.,23.94,78.25,"6'6.25""",79.25,"6'7.25""",1,212,1,NBA,NBA
41,Jacksen Moni,Big,North Dakota State,,G League Elite Camp,,Sr.,22.35,80.75,"6'8.75""",82.75,"6'10.75""",2,230,1,G-League,G-League
42,Saint Thomas,Wing,USC,,Portsmouth Invitational,,Sr.,22.15,79,"6'7""",82,"6'10""",3,200,1,NBA,None
43,Vladislav Goldin,Big,Michigan,UDFA,Miami Heat,MIA,Gr.,24.12,84,"7'0""",89.25,"7'5.25""",5.25,253,1,NBA,NBA
44,Amari Williams,Big,Kentucky,46,Boston Celtics,BOS,Gr.,23.41,82.5,"6'10.5""",90,"7'6""",7.5,255,1,NBA,NBA
45,Brice Williams,Wing,Nebraska,,NBA Combine,,Sr.,23.97,77.25,"6'5.25""",82.75,"6'10.75""",5.5,206,1,NBA,NBA
46,Chris Manon,Wing,Vanderbilt,,N/A,,Sr.,N/A,77,"6'5""",N/A,N/A,N/A,215,1,,None
47,John Tonje,Wing,Wisconsin,53,Utah Jazz,UTA,Gr.,24.17,76.75,"6'4.75""",81,"6'9""",4.25,212,1,NBA,NBA
48,Johni Broome,Big,Auburn,35,Philadelphia 76ers,PHI,Gr.,22.93,81.25,"6'9.25""",84.25,"7'0.25""",3,249,1,NBA,NBA
49,Koby Brea,Wing,Kentucky,41,Phoenix Suns,PHX,Gr.,22.64,77.75,"6'5.75""",77.25,"6'5.25""",-0.5,202,1,NBA,NBA
50,Jyare Davis,Wing,Syracuse,,G League Elite Camp,,Sr.,23.46,77.75,"6'5.75""",80.25,"6'8.25""",2.5,225,1,G-League,G-League
51,Kam Jones,Guard,Marquette,38,Indiana Pacers,IND,Sr.,23.33,75.25,"6'3.25""",78,"6'6""",2.75,202,1,NBA,NBA
52,Javon Small,Guard,West Virginia,48,Memphis Grizzlies,MEM,Sr.,22.52,73,"6'1""",76.75,"6'4.75""",3.75,190,1,NBA,NBA
53,Arthur Kaluma,Big,Texas,,G League Elite Camp,,Sr.,23.32,78.25,"6'6.25""",85,"7'1""",6.75,223,1,G-League,G-League
54,Kobe Sanders,Wing,Nevada,50,Los Angeles Clippers,LAC,Sr.,23.07,79,"6'7""",80.25,"6'8.25""",1.25,203,1,NBA,NBA
55,Earl Timberlake,Wing,Bryant,,Portsmouth Invitational,,Gr.,24.64,78,"6'6""",82.5,"6'10.5""",4.5,220,1,NBA,None
56,Josh Uduje,Wing,San Jose State,,N/A,,Sr.,23.16,77,"6'5""",N/A,N/A,N/A,190,1,NBA,None
57,Nate Santos,Wing,Dayton,,G League Elite Camp,,Sr.,23.63,77.5,"6'5.5""",80,"6'8""",2.5,210,1,G-League,G-League
58,RJ Luis Jr.,Wing,St. John's,UDFA,Utah Jazz,UTA,Jr.,22.58,77.75,"6'5.75""",82.5,"6'10.5""",4.75,210,1,NBA,NBA
59,Eric Dixon,Big,Villanova,UDFA,Los Angeles Lakers,LAL,Gr.,24.42,79.5,"6'7.5""",83.5,"6'11.5""",4,259,1,NBA,NBA
60,Jalon Moore,Wing,Oklahoma,,NBA Combine,,Sr.,22.21,78.25,"6'6.25""",80.25,"6'8.25""",2,203,1,NBA,NBA
61,Brandon Stroud,Wing,USF,,G League Elite Camp,,Gr.,N/A,78,"6'6""",N/A,N/A,N/A,215,1,G-League,G-League
62,Igor Milicic Jr.,Big,Tennessee,,G League Elite Camp,,Sr.,22.83,80.75,"6'8.75""",83,"6'11""",2.25,225,1,G-League,None
63,Alijah Martin,Guard,Florida,39,Toronto Raptors,TOR,Gr.,23.49,73.5,"6'1.5""",79.5,"6'7.5""",6,208,1,NBA,NBA
64,Payton Sandfort,Big,Iowa,,G League Elite Camp,,Sr.,22.95,78.25,"6'6.25""",80,"6'8""",1.75,214,1,G-League,G-League
65,Curtis Jones,Guard,Iowa State,,G League Elite Camp,,Sr.,24.41,75,"6'3""",79.5,"6'7.5""",4.5,183,1,G-League,G-League
66,Jaemyn Brakefield,Wing,Ole Miss,,Portsmouth Invitational,,Gr.,24.52,80,"6'8""",N/A,N/A,N/A,225,1,NBA,None
67,Caleb Love,Guard,Arizona,UDFA,Portland Trail Blazers,POR,Gr.,23.75,74.25,"6'2.25""",80.75,"6'8.75""",6.5,203,1,G-League,G-League
68,Max Shulga,Guard,VCU,57,Boston Celtics,BOS,Gr.,23,76.25,"6'4.25""",77.75,"6'5.75""",1.5,206,1,NBA,NBA
69,Tamar Bates,Wing,Missouri,UDFA,Denver Nuggets,DEN,Sr.,22.34,75.75,"6'3.75""",82.25,"6'10.25""",6.5,191,1,NBA,NBA
70,Chucky Hepburn,Guard,Louisville,UDFA,Toronto Raptors,TOR,Sr.,22.38,72.5,"6'0.5""",76.5,"6'4.5""",4,189,1,G-League,G-League
71,Andrew Carr,Big,Kentucky,,G League Elite Camp,,Gr.,23.4,81.5,"6'9.5""",83.75,"6'11.75""",2.25,222,1,G-League,G-League
72,Kadary Richmond,Guard,St. John's,,G League Elite Camp,,Gr.,23.83,76.25,"6'4.25""",81.5,"6'9.5""",5.25,206,1,G-League,G-League
73,Keshon Gilbert,Guard,Iowa State,,G League Elite Camp,,Sr.,21.99,74.5,"6'2.5""",78.25,"6'6.25""",3.75,185,1,G-League,G-League
74,RJ Felton,Wing,East Carolina,,Portsmouth Invitational,,Sr.,23.08,75,"6'3""",81,"6'9""",6,215,1,NBA,None
75,Miles Kelly,Wing,Auburn,UDFA,Dallas Mavericks,DAL,Sr.,22.42,76,"6'4""",80.25,"6'8.25""",4.25,178,1,G-League,G-League
76,RJ Davis,Guard,North Carolina,,G League Elite Camp,,Gr.,23.68,70.75,"5'10.75""",76,"6'4""",5.25,175,1,G-League,G-League
77,Lamont Butler,Guard,Kentucky,,G League Elite Camp,,Gr.,23.04,74,"6'2""",N/A,N/A,N/A,208,1,NBA,G-League
78,Johnell Davis,Guard,Arkansas,,G League Elite Camp,,Gr.,24.09,75.25,"6'3.25""",80,"6'8""",4.75,196,1,G-League,G-League
79,Chase Hunter,Guard,Clemson,,G League Elite Camp,,Gr.,24.21,73.75,"6'1.75""",80.75,"6'8.75""",7,200,1,G-League,G-League
80,Dylan Cardwell,Big,Auburn,,G League Elite Camp,,Sr.,23.53,81.75,"6'9.75""",84.75,"7'0.75""",3,261,1,G-League,G-League
81,Norchad Omier,Big,Baylor,,G League Elite Camp,,Gr.,23.83,77.5,"6'5.5""",83.5,"6'11.5""",6,246,1,G-League,G-League
82,Samson Johnson,Big,UConn,,Portsmouth Invitational,,Sr.,22.91,82,"6'10""",89,"7'5""",7,205,1,NBA,None
83,Viktor Lakhin,Big,Clemson,,Portsmouth Invitational,,Sr.,23.91,83,"6'11""",85.5,"7'1.5""",2.5,245,1,NBA,None
84,Chance McMillian,Guard,Texas Tech,,G League Elite Camp,,Sr.,24.39,73.5,"6'1.5""",77,"6'5""",3.5,181,1,G-League,G-League
85,Sean Pedulla,Guard,Ole Miss,,G League Elite Camp,,Sr.,22.71,72.5,"6'0.5""",73.75,"6'1.75""",1.25,194,1,G-League,G-League
86,Jonas Aidoo,Big,Arkansas,,Portsmouth Invitational,,Sr.,22.54,83,"6'11""",89,"7'4""",6,241,1,NBA,None
87,Julian Reese,Big,Maryland,,Portsmouth Invitational,,Sr.,21.99,81,"6'9""",84.5,"7'0.5""",3.5,252,1,NBA,None
88,Jabri Abdur-Rahim,Wing,Providence,,G League Elite Camp,,Sr.,23.26,78,"6'6""",82,"6'10""",4,225,1,G-League,G-League
1,Ben Saraf,Guard,Ratiopharm Ulm,26,Brooklyn Nets,BKN,,19.2,78,"6'6""",80.75,"6'8.75""",2.75,199,0,NBA,
2,Nolan Traore,Guard,Saint-Quentin,19,Brooklyn Nets,BKN,,19.08,75,"6'3""",80,"6'8""",5,175,0,NBA,
3,Joan Beringer,Big,KK Cedevita Olimpija,17,Minnesota Timberwolves,MIN,,18.62,83,"6'11""",88.25,"7'4.25""",5.25,235,0,NBA,
4,Noa Essengue,Big,Ratiopharm Ulm,12,Chicago Bulls,CHI,,18.5,82,"6'10""",84.75,"7'0.75""",2.75,204,0,NBA,
5,Rocco Zikarsky,Big,Brisbane,45,Minnesota Timberwolves,MIN,,18.96,87,"7'3""",88.75,"7'4.75""",1.75,257,0,NBA,
6,Hugo González,Wing,Real Madrid,28,Boston Celtics,BOS,,19.39,78.25,"6'6.25""",82.75,"6'10.75""",4.5,223,0,NBA,
7,Noah Penda,Wing,Le Mans Sarthe,32,Orlando Magic,ORL,,20.47,79,"6'7""",84,"7'0""",5,225,0,NBA,
8,Hansen Yang,Big,Qingdao,16,Portland Trail Blazers,POR,,19.99,85,"7'1""",86.75,"7'2.75""",1.75,253,0,NBA,
9,Bogoljub Marković,Big,KK Mega Basket,47,Milwaukee Bucks,MIL,,19.95,82.5,"6'10.5""",83.5,"6'11.5""",1,213,0,NBA,
10,Alex Toohey,Big,Sydney,52,Golden State Warriors,GSW,,21.14,79.75,"6'7.75""",82.75,"6'10.75""",3,223,0,NBA,
11,Izan Almansa,Big,Perth,,NBA Combine,,,20.05,81.25,"6'9.25""",85.75,"7'1.75""",4.5,220,0,NBA,
12,Lachlan Olbrich,Big,Illawarra,55,Chicago Bulls,CHI,,21.49,80.75,"6'8.75""",83.25,"6'11.25""",2.5,230,0,NBA,
