Name,Draft Year,Class,Team,Role,Position,Pre-NBA,League,SOS,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Athleticism,Freak Athlete,Athletic Tier,PTS,REB,ORB%,DRB%,TRB%,AST,TOV,AST/TOV,AST%,TOV%,AST%/TOV%,STL,BLK,Stocks,STL%,BLK%,Stocks %,Team DRtg,DRtg,DRtg +/-,PER,PER/Age,Age_Adj_PER,WS/40,[WS/40]/Age,BPM,Age_Adj_BPM,FTr,FT%,FT Rating,3PAr,3P%,3PM/G,3PM x 3P%,3P Rating,Shooter,eFG%,TS%,PProd,USG%,PTS/USG%,AST/USG%,TOV/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Americas,Other,G League,OE,Y1 Rotation,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,AVG EPM,Tier,Top 3 Pick,Lottery Pick,G Played Issue,Missing Data
Terry Rozier,2015,Sophomore,BOS,Guard,1,Louisville,ACC,8.98,21.3,74.25,"6'2.25""",80.25,"6'8.25""",6,190,0.216,0.739,0.749,0.745,0,0.75,17.5,5.7,3.8,13.9,8.8,3.1,2.2,1.37,19.8,11.3,1.75,2.0,0.2,2.2,3.6,0.5,4.1,90.7,90.4,0.3,22.1,1.04,0.19,0.191,0.009,9.63,9.34,0.338,0.79,0.5,0.301,0.306,1.3,0.3978,0.5,0.5,0.45,0.51,591,28.1,0.62,0.109,0.079,0.704,0.402,1,0,0,0,0,0,0,0,1,-5.97897,-1.90853,0.58926,-1.91992,-1.9061,-2.225,Solid Rotation,0,0,,
Rashad Vaughn,2015,Freshman,MIL,Wing,2.5,UNLV,Mountain West,3.38,18.8,77,"6'5""",79,"6'7""",2,199,0.114,0.209,0.201,0.204,0,0.25,17.6,4.7,2.3,13.7,8.4,1.8,2.1,0.86,13.1,13.4,0.97,0.8,0.3,1.1,1.5,1.1,2.5,97.8,100.4,-2.6,20.2,1.07,0.32,0.132,0.007,3.84,5.97,0.299,0.694,0.25,0.43,0.383,2.3,0.8809,0.5,0.4375,0.54,0.57,352,29.8,0.59,0.061,0.071,0.439,0.451,1,0,0,0,0,0,0,0,1,-4.81843,-3.43086,-1.9938,,,-3.414,Fringe NBA,0,0,,
Sam Dekker,2015,Junior,HOU,Wing,3,Wisconsin,Big 10,10.29,21.1,81,"6'9""",83.5,"6'11.5""",2.5,219,0.712,0.222,0.66,0.485,0,0.50,14.7,6.0,8.4,14.8,11.7,1.3,1.0,1.32,9.3,7.2,1.29,0.5,0.6,1.1,1.1,1.7,2.8,97.2,99.8,-2.6,25.5,1.21,0.36,0.225,0.011,10.81,10.73,0.278,0.708,0.5,0.372,0.331,1.3,0.4303,0.5,0.5,0.59,0.60,519,23.89,0.61,0.054,0.041,0.388,0.301,1,0,0,0,0,0,0,0,0,,-1.56726,-2.7406,-2.60195,,-2.303,Fringe NBA,0,0,,
Jerian Grant,2015,Senior,NY,Guard,1,Notre Dame,ACC,7.02,22.7,76.25,"6'4.25""",79.5,"6'7.5""",3.25,198,0.804,0.5,0.5,0.500,0,0.50,15.5,3.0,1.3,8.3,5.1,6.4,2.2,2.92,32.0,12.8,2.50,1.6,0.5,2.1,2.7,1.4,4.1,101.6,104,-2.4,25.5,1.12,0.22,0.218,0.010,8.91,7.27,0.511,0.78,0.5,0.37,0.316,1.3,0.4108,0.5,0.5,0.52,0.58,706,24.1,0.64,0.265,0.091,1.327,0.532,1,0,0,0,0,0,0,0,1,-2.85559,0.965097,-1.63403,-2.23221,,-1.439,Fringe NBA,0,0,,
Delon Wright,2015,Senior,TOR,Guard,1.5,Utah,PAC 12,7.42,23.1,77.5,"6'5.5""",79.5,"6'7.5""",2,181,0.737,0.415,0.267,0.326,0,0.50,13.5,4.9,4,13.7,9.3,4.7,1.9,2.48,31.1,13.4,2.33,2.0,1.0,3.0,3.9,3.2,7.1,90.9,87.7,3.2,29.2,1.26,0.34,0.289,0.013,15.48,13.45,0.565,0.836,0.75,0.225,0.356,0.7,0.2492,0.25,0.375,0.53,0.60,558,22.8,0.59,0.207,0.083,1.365,0.586,1,0,0,0,0,0,0,0,1,-1.00092,-0.228292,1.32218,0.211566,-0.271506,0.007,Solid Rotation,0,0,,
Justin Anderson,2015,Junior,DAL,Wing,3,Virginia,ACC,7.81,21.6,78.25,"6'6.25""",83.75,"6'11.75""",5.5,231,0.467,1.00,0.968,0.981,1,1.00,11.9,3.9,3.1,14.3,8.9,1.6,1.2,1.33,13.7,10.4,1.31,0.7,0.5,1.2,1.6,2.5,4.1,87.2,89.4,-2.2,23.8,1.10,0.24,0.241,0.011,12.74,12.26,0.371,0.78,0.5,0.471,0.452,1.8,0.8136,0.75,0.6875,0.57,0.60,283,23.32,0.51,0.069,0.052,0.586,0.447,1,0,0,0,0,0,0,0,1,-0.524414,-1.94998,-0.5292,-2.56384,,-1.392,Fringe NBA,0,0,,
Bobby Portis,2015,Sophomore,CHI,Big,4.5,Arkansas,SEC,6.79,20.4,82.5,"6'10.5""",86,"7'2""",3.5,246,0.451,0.231,0.22,0.224,0,0.25,17.8,8.9,13.6,20.2,16.8,1.3,1.6,0.82,9.0,9.5,0.95,1.1,1.4,2.6,2.1,4.7,6.8,99.3,96.9,2.4,29.5,1.45,0.63,0.227,0.011,8.77,9.09,0.335,0.737,0.5,0.064,0.467,0.4,0.1868,0.25,0.3125,0.55,0.58,578,26.95,0.66,0.048,0.058,0.334,0.354,1,0,0,0,0,0,0,0,1,-3.7005,-1.45714,-0.108381,-0.799941,-2.07614,-1.628,Solid Rotation,0,0,,
Rondae Hollis-Jefferson,2015,Sophomore,BKN,Wing,3.5,Arizona,PAC 12,7.41,20.5,79,"6'7""",86,"7'2""",7,211,0.612,0.779,0.914,0.860,0,0.75,11.7,6.9,9,20.3,14.9,1.7,1.6,1.06,10.5,14.0,0.75,1.2,0.8,2.0,2.4,3.4,5.8,89.4,87.8,1.6,21.8,1.06,0.24,0.218,0.011,9.38,9.78,0.745,0.707,0.5,0.105,0.207,0.8,0.1656,0.25,0.3125,0.52,0.58,435,20.59,0.57,0.083,0.078,0.512,0.679,1,0,0,0,0,0,0,0,1,0.590578,-1.07579,-0.484451,-2.06437,0.192533,-0.568,Bench Reserve,0,0,,
Tyus Jones,2015,Freshman,MIN,Guard,1,Duke,ACC,9.87,19.1,74,"6'2""",77,"6'5""",3,185,0.405,0.177,0.098,0.130,0,0.25,13.6,3.7,1.8,9.9,6.1,6.1,1.9,3.13,29.8,16.3,1.83,1.7,0.1,1.8,2.9,0.2,3.2,96.7,99.2,-2.5,20.4,1.07,0.30,0.196,0.010,9.67,11.51,0.5,0.889,1,0.383,0.379,1.2,0.4548,0.5,0.625,0.51,0.59,532,19.2,0.71,0.317,0.101,1.552,0.849,1,0,0,0,0,0,0,0,1,-2.11952,0.408988,0.516385,-0.120603,-0.751593,-0.413,Solid Rotation,0,0,,
Jarell Martin,2015,Sophomore,MEM,Big,4.5,LSU,SEC,5.63,21.1,81.25,"6'9.25""",81,"6'9""",-0.25,239,0.215,0.543,0.675,0.622,0,0.50,16.4,8.9,9.7,18.1,14.1,1.7,2.7,0.62,10.0,15.8,0.63,1.2,0.7,1.9,1.9,1.6,3.5,95,94.2,0.8,21.6,1.02,0.18,0.174,0.008,4.41,4.33,0.511,0.69,0.25,0.131,0.269,0.4,0.1076,0.25,0.25,0.53,0.56,531,24.29,0.67,0.070,0.113,0.410,0.650,1,0,0,0,0,0,0,0,1,-2.38014,-3.48908,-3.24648,-2.41012,,-2.881,Fringe NBA,0,0,,
Nikola Milutinov,2015,International,SA,Big,5,KK Partizan,Adriatic ABA,19.1,20.5,84,"7'0""",87,"7'3""",3,250,0.566,0.5,0.5,0.500,0,0.50,10.8,8.3,,,,1.9,,,,,,0.5,1.0,1.6,,,,,,,,,,,,,,,,,,0,,,,,,0.51,,20.9,0.51,0.089,,,,0,1,1,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,1
Larry Nance Jr.,2015,Senior,LAL,Big,4.5,Wyoming,Mountain West,-0.04,22.5,80.5,"6'8.5""",85.5,"7'1.5""",5,226,0.284,0.421,0.886,0.700,0,0.75,12.8,5.6,6,21.1,14.1,2.0,2.0,0.99,17.1,14.1,1.21,1.1,0.7,1.8,2.3,3.4,5.7,94.6,90.6,4,25.3,1.12,0.22,0.199,0.009,5.73,4.93,0.403,0.786,0.5,0.117,0.333,0.5,0.1665,0.25,0.3125,0.53,0.58,,26.23,0.49,0.077,0.078,0.652,0.538,1,0,0,0,0,0,0,0,1,-1.10438,0.175746,1.8877,0.363323,-0.560763,0.152,Solid Rotation,0,0,,
RJ Hunter,2015,Junior,BOS,Guard,2,Georgia State,Sun Belt,-2.03,21.7,77,"6'5""",82.5,"6'10.5""",5.5,185,0.739,0.072,0.509,0.334,0,0.50,16.2,4.1,2.8,12.5,7.9,3.1,2.0,1.52,17.8,12.4,1.43,1.8,0.9,2.7,3.2,3.5,6.6,96,95.5,0.5,25.8,1.19,0.32,0.215,0.010,5.58,4.9,0.447,0.878,1,0.51,0.305,2.3,0.7015,0.5,0.625,0.47,0.55,667,27.4,0.59,0.112,0.074,0.650,0.454,1,0,0,0,0,0,0,0,1,-2.24351,,,,,-2.244,Fringe NBA,0,0,,
Chris McCullough,2015,Freshman,BKN,Big,4.5,Syracuse,ACC,7.68,20.4,81,"6'9""",87.25,"7'3.25""",6.25,199,0.29,0.5,0.5,0.500,0,0.50,9.8,7.0,9,18.5,13.8,1.2,2.2,0.54,8.6,19.4,0.44,1.7,2.1,3.9,3.6,8.5,12.1,95.2,88.6,6.6,18.9,0.93,0.11,0.126,0.006,5.22,5.54,0.628,0.563,0,0.009,0,0,0,0,0,0.48,0.51,146,21.05,0.47,0.057,0.105,0.409,0.923,1,0,0,0,0,0,0,0,1,-1.9648,,,,,-1.965,Fringe NBA,0,0,,
Kevon Looney,2015,Freshman,GS,Big,4.5,UCLA,PAC 12,8.27,19.4,81.25,"6'9.25""",87.5,"7'3.5""",6.25,222,0.37,0.5,0.5,0.500,0,0.50,13.1,9.6,12.2,21.0,16.6,1.6,1.3,1.23,10.3,10.6,0.97,1.4,1.0,2.4,2.5,3.4,5.9,100.5,97,3.5,21.9,1.13,0.35,0.172,0.009,7.12,7.97,0.458,0.626,0.25,0.165,0.415,0.6,0.249,0.1,0.1375,0.51,0.54,428,20.68,0.63,0.078,0.064,0.500,0.514,1,0,0,0,0,0,0,0,0,,-1.07159,-0.00061655,1.14852,,0.025,Solid Rotation,0,0,,
Cedi Osman,2015,International,CLE,Wing,3,Anadolu Efes,Turkish BSL,17.52,20.2,80,"6'8""",83,"6'11""",3,215,0.557,0.5,0.5,0.500,0,0.50,10.2,5.6,5.7,18.8,12.4,1.7,1.2,1.39,12.0,11.1,1.08,0.8,0.6,1.4,2.5,2.4,4.9,101.5,102,-0.5,13.5,0.67,-0.14,,,4.67,5.31,0.38,0.675,0.25,0.409,0.303,0.8,0.2424,0.25,0.25,0.49,0.51,,21.93,0.47,0.075,0.054,0.546,0.508,0,1,1,0,0,0,0,0,0,,,-1.5466,-2.85001,-2.10288,-2.166,Solid Rotation,0,0,,
Montrezl Harrell,2015,Junior,HOU,Big,4.5,Louisville,ACC,8.98,21.4,79.5,"6'7.5""",88.25,"7'4.25""",8.75,253,0.387,0.5,0.5,0.500,0,0.50,15.8,9.5,10,19.1,14.5,1.5,2.1,0.71,9.4,12.7,0.74,0.9,1.3,2.2,1.6,3.9,5.5,90.7,90.3,0.4,24.8,1.16,0.30,0.214,0.010,9.74,9.53,0.508,0.597,0,0.098,0.243,0.3,0.0729,0.1,0.075,0.58,0.59,521,22.42,0.71,0.065,0.091,0.419,0.568,1,0,0,0,0,0,0,0,1,-1.20968,0.292158,1.44005,0.927343,2.60374,0.811,Solid Rotation,0,0,,
Jordan Mickey,2015,Sophomore,BOS,Big,4.5,LSU,SEC,5.63,20.9,80.25,"6'8.25""",87.25,"7'3.25""",7,238,0.354,0.929,0.804,0.854,0,0.75,15.0,9.5,10.5,19.6,15.3,1.2,3.2,0.38,7.2,18.5,0.39,0.9,3.5,4.4,1.5,9.4,10.9,95,90.2,4.8,21.7,1.04,0.20,0.143,0.007,4.48,4.53,0.388,0.646,0.25,0.024,0.111,0.03,0.00333,0.1,0.1375,0.51,0.53,454,24.69,0.61,0.049,0.131,0.292,0.751,1,0,0,0,0,0,0,0,0,,,-3.25458,,,-3.255,Fringe NBA,0,0,,
Anthony Brown,2015,Senior,LAL,Wing,3,Stanford,PAC 12,7.33,22.7,79.25,"6'7.25""",83,"6'11""",3.75,211,0.476,0.319,0.386,0.359,0,0.50,13.4,6.5,3.8,18.4,11.2,2.2,1.9,1.17,13.8,12.3,1.12,0.8,0.2,1.0,1.3,0.6,1.9,101.1,102.3,-1.2,19.5,0.86,-0.05,0.159,0.007,7.07,5.72,0.358,0.795,0.5,0.439,0.441,2.1,0.9261,1,0.875,0.51,0.56,523,21.35,0.63,0.104,0.089,0.647,0.575,1,0,0,0,0,0,0,0,1,-3.5676,-2.86267,,,,-3.215,Fringe NBA,0,0,,
Willy Hernangomez,2015,International,NY,Big,5,Real Betis,Spanish ACB,22.69,21.1,83,"6'11""",85,"7'1""",2,240,0.43,0.5,0.5,0.500,0,0.50,14.4,8.6,14.8,22.0,18.4,1.2,2.4,0.49,10.1,17.0,0.59,1.0,1.3,2.3,2.6,3.7,6.3,112.5,108.2,4.3,19.8,0.94,0.09,,,4.17,4.12,0.382,0.72,0.5,0.03,0.2,0.04,0.008,0.1,0.2,0.53,0.57,,29.18,0.49,0.041,0.083,0.345,0.582,0,1,1,0,0,0,0,0,0,,-0.804231,-0.782951,-2.03066,-1.65123,-1.317,Bench Reserve,0,0,,
Rakeem Christmas,2015,Senior,CLE,Big,4.5,Syracuse,ACC,7.68,23.6,81.75,"6'9.75""",89.25,"7'5.25""",7.5,243,0.536,0.658,0.572,0.606,0,0.50,15.5,8.7,10.2,19.6,14.9,1.2,2.5,0.47,8.9,14.0,0.64,0.8,2.4,3.2,1.7,8.5,10.2,95.2,92.5,2.7,26.5,1.12,0.18,0.203,0.009,8.12,6.74,0.519,0.712,0.5,0.003,0,0,0,0,0.125,0.54,0.59,498,24.45,0.63,0.048,0.102,0.365,0.573,1,0,0,0,0,0,0,0,0,,-3.1287,,,,-3.129,Fringe NBA,0,0,,
Richaun Holmes,2015,Senior,PHI,Big,4.5,Bowling Green,MAC,-1.25,21.7,81.5,"6'9.5""",85.5,"7'1.5""",4,243,0.379,0.937,0.836,0.876,0,0.75,11.7,6.2,11.6,20.9,16.3,0.3,1.6,0.20,4.5,14.5,0.31,0.6,2.2,2.7,1.5,10.2,11.7,98.2,92.7,5.5,30.4,1.40,0.53,0.230,0.011,7.22,6.85,0.522,0.712,0.5,0.147,0.419,0.6,0.2514,0.1,0.2,0.59,0.62,,23.56,0.50,0.014,0.068,0.191,0.615,1,0,0,0,0,0,0,0,1,-0.955558,0.183161,-0.466638,-0.603509,2.30455,0.092,Solid Rotation,0,0,,
Darrun Hilliard,2015,Senior,DET,Wing,2.5,Villanova,Big East,7.55,22.2,77.5,"6'5.5""",80,"6'8""",2.5,215,0.254,0.5,0.5,0.500,0,0.50,13.7,3.1,2,10.7,6.5,1.9,1.2,1.57,14.9,8.3,1.78,1.7,0.3,2.0,3.7,1.3,5.0,93.1,92.8,0.3,23.1,1.04,0.15,0.218,0.010,10,8.84,0.267,0.796,0.5,0.528,0.387,2.3,0.8901,0.75,0.6875,0.53,0.56,444,25.2,0.54,0.075,0.048,0.589,0.331,1,0,0,0,0,0,0,0,1,-2.43548,-4.27498,,,,-3.355,Fringe NBA,0,0,,
Josh Richardson,2015,Senior,MIA,Wing,2.5,Tennessee,SEC,8.16,21.8,77,"6'5""",82,"6'10""",5,200,0.253,0.5,0.5,0.500,0,0.50,15.6,4.4,2.9,13.0,7.7,3.5,2.7,1.28,23.9,15.3,1.56,2.1,0.5,2.6,3.8,2.1,5.9,104.5,103.1,1.4,22.9,1.05,0.18,0.159,0.007,8.39,7.75,0.311,0.798,0.5,0.321,0.359,1.4,0.5026,0.5,0.5,0.51,0.55,499,25.59,0.61,0.136,0.106,0.935,0.599,1,0,0,0,0,0,0,0,1,-0.770727,-1.15999,1.50953,1.61226,0.378547,0.314,Solid Rotation,0,0,,
Pat Connaughton,2015,Senior,POR,Wing,2.5,Notre Dame,ACC,7.02,22.5,76,"6'4""",80,"6'8""",4,215,0.157,0.994,0.925,0.953,1,1.00,11.6,7.4,4.2,20.4,13.0,1.2,1.2,1.03,6.2,9.7,0.64,0.6,0.9,1.5,1.2,2.7,3.9,101.6,101,0.6,19.4,0.86,-0.04,0.160,0.007,7.51,6.06,0.18,0.781,0.5,0.618,0.423,2.4,1.0152,0.75,0.6875,0.58,0.60,436,17.6,0.66,0.069,0.068,0.351,0.552,1,0,0,0,0,0,0,0,0,-4.4681,-1.45262,-1.14029,-0.860244,-1.97366,-1.979,Bench Reserve,0,0,,
Olivier Hanlan,2015,Junior,UTA,Guard,1.5,Boston College,ACC,7.94,22.3,76.25,"6'4.25""",78,"6'6""",1.75,186,0.666,0.226,0.284,0.261,0,0.25,19.0,4.2,2.6,11.5,7.1,4.0,2.7,1.46,28.1,12.5,2.25,1.2,0.0,1.2,2.0,0.1,2.1,103.9,106.3,-2.4,22.2,1.00,0.10,0.145,0.007,6.46,5.2,0.292,0.759,0.5,0.371,0.353,2,0.706,0.5,0.5,0.51,0.54,608,30.2,0.63,0.131,0.090,0.929,0.414,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Joe Young,2015,Senior,IND,Guard,1,Oregon,PAC 12,7.65,22.9,74,"6'2""",77,"6'5""",3,182,0.415,0.5,0.5,0.500,0,0.50,19.8,4.4,1.7,11.6,6.9,3.5,2.4,1.44,19.6,10.9,1.79,1.0,0.0,1.0,1.7,0.1,1.8,102.7,106.2,-3.5,23.2,1.01,0.10,0.170,0.007,6.71,4.87,0.226,0.925,1,0.431,0.357,2.5,0.8925,0.75,0.8125,0.51,0.55,701,28.7,0.69,0.120,0.084,0.683,0.381,1,0,0,0,0,0,0,0,1,-3.8572,-2.92021,-4.29068,,,-3.689,Fringe NBA,0,0,,
Andrew Harrison,2015,Sophomore,MEM,Guard,1,Kentucky,SEC,8.67,20.6,77.5,"6'5.5""",81,"6'9""",3.5,213,0.909,0.619,0.336,0.449,0,0.50,9.9,2.3,1.9,9.2,5.8,3.8,1.6,2.34,26.6,15.7,1.70,1.0,0.2,1.2,2.7,0.6,3.3,84.4,89.2,-4.8,18,0.87,0.05,0.205,0.010,8.58,8.97,0.273,0.792,0.5,0.505,0.383,0.9,0.3447,0.5,0.5,0.45,0.54,382,21.7,0.46,0.175,0.075,1.227,0.723,1,0,0,0,0,0,0,0,0,,-1.1597,-0.805557,-3.2577,,-1.741,Fringe NBA,0,0,,
Marcus Thornton (W&M),2015,Senior,BOS,Guard,1.5,William & Mary,CAA,-1.15,22.4,74.75,"6'2.75""",79.75,"6'7.75""",5,177,0.507,0.662,0.869,0.786,0,0.75,16.4,2.3,1,7.9,4.7,2.2,2.1,1.05,14.5,13.4,1.08,0.2,0.1,0.3,0.7,0.3,1.0,102.8,109.7,-6.9,21.8,0.97,0.08,0.154,0.007,-0.08,-1.43,0.324,0.83,0.75,0.538,0.402,3.1,1.2462,1,0.9375,0.55,0.59,598,26.5,0.62,0.085,0.081,0.546,0.504,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Norman Powell,2015,Senior,TOR,Wing,2.5,UCLA,PAC 12,8.27,22.1,75,"6'3""",82.75,"6'10.75""",7.75,215,0.216,0.872,0.906,0.892,0,0.75,15.8,4.6,1.9,13.0,7.5,1.9,2.2,0.86,12.2,12.3,0.99,1.8,0.4,2.2,3.2,1.6,4.8,100.5,99.8,0.7,19.6,0.89,0.00,0.140,0.006,6.31,5.44,0.362,0.751,0.5,0.255,0.319,1.1,0.3509,0.5,0.5,0.49,0.53,531,25.34,0.62,0.076,0.088,0.481,0.485,1,0,0,0,0,0,0,0,1,0.0747408,-0.996698,-2.82175,-0.943155,1.20773,-0.696,Quality Starter,0,0,,
Arturas Gudaitis,2015,International,PHI,Big,5,BC Žalgiris,Lithuanian LKL,7.91,22,82,"6'10""",86.20276534,"7'2.20276534""",4.20276534,250,0.443,0.5,0.5,0.500,0,0.50,5.9,4.0,,,,0.2,,,,,,0.2,0.8,1.0,,,,,,,,,,,,,,,,,,0.4,,,,,,0.55,,17.7,0.33,0.010,,,,0,1,1,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,1
Dakari Johnson,2015,Sophomore,OKC,Big,5,Kentucky,SEC,8.67,19.7,83.75,"6'11.75""",86,"7'2""",2.25,265,0.709,0.163,0.291,0.240,0,0.25,7.8,5.0,13.4,19.1,16.5,1.0,1.1,0.86,10.1,16.0,0.63,0.4,1.1,1.5,1.4,6.2,7.6,84.4,82.6,1.8,22.3,1.13,0.34,0.229,0.012,8.39,9.08,0.923,0.625,0.25,0,0,0,0,0,0.0625,0.51,0.56,256,22.92,0.34,0.043,0.050,0.438,0.697,1,0,0,0,0,0,0,0,0,,,-0.222828,,,-0.223,Fringe NBA,0,0,,
Aaron White,2015,Senior,WAS,Wing,3.5,Iowa,Big 10,8.39,22.8,80.75,"6'8.75""",83.5,"6'11.5""",2.75,220,0.646,0.5,0.5,0.500,0,0.50,15.2,7.0,7.7,18.0,13.0,1.1,1.2,0.90,9.0,7.6,1.18,1.3,0.5,1.8,2.6,1.8,4.4,96,94.2,1.8,29.3,1.29,0.37,0.270,0.012,12.32,10.89,0.726,0.819,0.75,0.18,0.356,0.6,0.2136,0.25,0.375,0.54,0.62,509,23.43,0.65,0.047,0.052,0.385,0.326,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Tyler Harvey,2015,Junior,ORL,Guard,1.5,Eastern Washington,Big Sky,-3.84,21.9,76,"6'4""",77.5,"6'5.5""",1.5,181,0.519,0.025,0.066,0.050,0,0.10,18.9,2.9,2,9.6,5.8,1.9,1.8,1.08,10.8,11.7,0.93,0.8,0.1,0.9,1.3,0.3,1.6,107.5,112.2,-4.7,26.9,1.23,0.35,0.207,0.009,2.59,1.72,0.359,0.852,0.75,0.606,0.431,4,1.724,1,0.9375,0.59,0.63,664,24.8,0.76,0.078,0.072,0.437,0.470,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Sir'Dominic Pointer,2015,Senior,CLE,Wing,2.5,St. John's,Big East,9.04,23.1,77,"6'5""",80,"6'8""",3,192,0.227,0.5,0.5,0.500,0,0.50,12.4,7.5,6.3,16.6,11.6,2.8,2.0,1.35,16.8,13.1,1.28,1.9,2.4,4.3,3.3,7.5,10.8,100,94.2,5.8,24.7,1.07,0.15,0.180,0.008,10.32,8.65,0.413,0.725,0.5,0.075,0.08,0.1,0.008,0.1,0.2,0.51,0.55,465,21.09,0.59,0.130,0.097,0.796,0.620,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Dani Diez,2015,International,POR,Wing,3,Gipuzkoa Basket,Spanish ACB,22.69,22.2,80,"6'8""",78,"6'6""",-2,212,0.319,0.5,0.5,0.500,0,0.50,15.4,9.1,,,,0.9,,,,,,1.2,0.0,1.2,,,,,,,,,,,,,,,,,,0.414,,,,,,0.59,,26.23,0.59,0.035,,,,0,1,1,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,1
Cady Lalanne,2015,Senior,SA,Big,4.5,UMass,A-10,4.69,23.2,82,"6'10""",89,"7'5""",7,253,0.534,0.5,0.5,0.500,0,0.50,9.1,8.7,13.5,23.4,18.5,-0.1,2.4,-0.03,0.4,19.9,0.02,0.5,1.6,2.1,1.2,6.1,7.3,102.3,98.7,3.6,20.8,0.90,-0.03,0.126,0.005,1.92,0.75,0.572,0.636,0.25,0.072,0.167,0.1,0.0167,0.1,0.1375,0.55,0.58,352,19.56,0.46,-0.004,0.123,0.019,1.016,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Branden Dawson,2015,Senior,LAC,Wing,3.5,Michigan State,Big 10,10,22.4,78.75,"6'6.75""",83,"6'11""",4.25,230,0.532,0.417,0.197,0.285,0,0.50,11.5,9.2,11.9,23.1,17.7,1.6,2.0,0.80,11.7,13.9,0.84,1.2,1.8,3.0,2.5,6.5,9.0,98.2,91.1,7.1,23.8,1.06,0.17,0.168,0.008,8.96,7.85,0.306,0.49,0,0,0,0,0,0,0,0.52,0.52,408,23.79,0.48,0.066,0.083,0.493,0.586,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Nikola Radicevic,2015,International,DEN,Guard,1,Real Betis,Spanish ACB,22.69,21.2,76,"6'4""",79.4707144,"6'7.47071440000001""",3.4707144,200,0.681,0.5,0.5,0.500,0,0.50,12.2,3.2,,,,3.8,,,,,,1.3,0.0,1.3,,,,,,,,,,,,,,,,,,0.306,,,,,,0.49,,21.6,0.57,0.175,,,,0,1,1,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,1
JP Tokoto,2015,Junior,PHI,Wing,2.5,North Carolina,ACC,11.76,21.8,78,"6'6""",82,"6'10""",4,196,0.306,0.778,0.776,0.777,0,0.75,9.3,5.9,6.4,14.3,10.6,4.4,2.3,1.91,24.2,19.7,1.23,1.6,0.3,1.9,3.1,1.4,4.4,98.9,98.1,0.8,15.9,0.73,-0.14,0.118,0.005,7.87,7.1,0.432,0.615,0.25,0.118,0.375,0.3,0.1125,0.1,0.1375,0.44,0.48,378,18.9,0.49,0.231,0.121,1.281,1.042,1,0,0,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,
Dimitrios Agravanis,2015,International,ATL,Big,4.5,Olympiacos,Greek GBL,15.51,20.5,82,"6'10""",85.44652621,"7'1.44652621""",3.44652621,235,0.38,0.5,0.5,0.500,0,0.50,8.2,4.7,,,,0.9,,,,,,0.6,1.1,1.8,,,,,,,,,,,,,,,,,,0.28,,,,,,0.51,,19,0.43,0.046,,,,0,1,1,0,0,0,0,0,0,,,,,,,Fringe NBA,0,0,,1
T.J. McConnell,2015,Senior,PHI,Guard,1,Arizona,PAC 12,7.41,22.5,74,"6'2""",74,"6'2""",0,195,0.334,0.175,0.095,0.127,0,0.25,9.7,3.8,2.8,12.5,7.8,6.0,2.1,2.87,37.7,17.8,2.12,2.1,0.1,2.2,4.2,0.3,4.5,89.4,88.2,1.2,22.9,1.02,0.12,0.224,0.010,12.08,10.63,0.224,0.829,0.75,0.249,0.321,0.7,0.2247,0.25,0.375,0.53,0.56,476,18.9,0.51,0.319,0.111,1.994,0.942,1,0,0,0,0,0,0,0,1,-0.852916,-0.633504,-1.56406,-1.86813,-0.322407,-1.048,Solid Rotation,0,0,,
Christian Wood,2015,Sophomore,PHI,Big,4.5,UNLV,Mountain West,3.38,19.66,83,"6'11""",87,"7'3""",4,220,0.437,0.5,0.5,0.500,0,0.50,15.6,9.4,10.4,22.8,17.0,1.3,2.3,0.57,9.0,15.3,0.59,0.3,2.6,2.9,0.6,7.7,8.3,97.8,93.5,4.3,25.5,1.30,0.51,0.185,0.009,4.3,5.01,0.434,0.736,0.5,0.234,0.284,0.8,0.2272,0.25,0.3125,0.54,0.57,499,26.54,0.59,0.048,0.085,0.338,0.575,1,0,0,0,0,0,0,0,1,-0.952337,,,3.02291,2.68563,1.585,Bench Reserve,0,0,,
