Name,Draft Year,Class,Team,Role,Position,Pre-NBA,League,SOS,Age,Height (in),Height,Wingspan (in),Wingspan,Wing - Height,Weight (lbs),Physical Score,bSPARQ Per.,Combine Score,Athleticism,Freak Athlete,Athletic Tier,PTS,REB,ORB%,DRB%,TRB%,AST,TOV,AST/TOV,AST%,TOV%,AST%/TOV%,STL,BLK,Stocks,STL%,BLK%,Stocks %,Team DRtg,DRtg,DRtg +/-,PER,PER/Age,Age_Adj_PER,WS/40,[WS/40]/Age,BPM,Age_Adj_BPM,FTr,FT%,FT Rating,3PAr,3P%,3PM/G,3PM x 3P%,3P Rating,Shooter,eFG%,TS%,PProd,USG%,PTS/USG%,AST/USG%,TOV/USG%,AST%/USG%,TOV%/USG%,NCAAM,International,Euro,NBL,Americas,Other,G League,OE,Y1 Rotation,EPM_Y1,EPM_Y2,EPM_Y3,EPM_Y4,EPM_Y5,AVG EPM,Tier,Top 3 Pick,Lottery Pick,G Played Issue,Missing Data
Michael Carter-Williams,2013,Sophomore,PHI,Guard,1.5,Syracuse,Big East,8.57,21.7,76.75,"6'4.75""",79.25,"6'7.25""",2.5,184,0.748,0.701,0.874,0.805,0,0.75,11.9,5.1,4,12.7,8.2,7.2,3.5,2.04,39.7,21.7,1.83,2.7,0.5,3.2,4.7,1.8,6.5,89.5,87.9,1.6,20.9,0.96,0.10,0.174,0.008,9.56,8.88,0.472,0.694,0.25,0.302,0.294,0.9,0.2646,0.25,0.25,0.43,0.48,580,22.4,0.53,0.321,0.157,1.773,0.971,1,0,0,0,0,0,0,0,1,-1.03797,-1.48547,-0.792309,-2.22077,-1.63926,-1.435,Bench Reserve,0,1,,
Steven Adams,2013,Freshman,OKC,Big,5,Pittsburgh,Big East,5.66,19.9,84,"7'0""",88.5,"7'4.5""",4.5,255,0.624,0.759,0.5,0.604,0,0.50,7.6,6.1,15.3,21.0,18.0,0.7,1.0,0.63,5.6,14.7,0.38,0.7,2.0,2.7,1.9,11.0,12.9,91.6,87.6,4,23.2,1.17,0.37,0.185,0.009,7.78,8.36,0.4,0.443,0,0,0,0,0,0,0,0.57,0.56,228,17.92,0.43,0.036,0.058,0.314,0.822,1,0,0,0,0,0,0,0,1,-1.14437,-0.633914,1.01015,0.401226,3.63144,0.653,Solid Rotation,0,1,,
Kelly Olynyk,2013,Junior,BOS,Big,4.5,Gonzaga,WCC,4.14,22.2,84,"7'0""",81.75,"6'9.75""",-2.25,234,0.325,0.098,0.209,0.165,0,0.25,15.9,6.5,11.8,22.6,17.4,1.5,2.3,0.64,13.5,15.4,0.88,0.7,0.8,1.5,1.6,4.7,6.3,91.7,89.9,1.8,36.2,1.63,0.74,0.315,0.014,13.33,12.69,0.497,0.776,0.5,0.088,0.3,0.3,0.09,0.25,0.3125,0.64,0.67,516,29.39,0.54,0.049,0.078,0.459,0.523,1,0,0,0,0,0,0,0,1,-1.21185,1.2306,1.40657,0.0604559,1.64591,0.626,Solid Rotation,0,1,,
Shabazz Muhammad,2013,Freshman,MIN,Wing,3,UCLA,PAC 12,7.77,20.6,78.25,"6'6.25""",83,"6'11""",4.75,222,0.49,0.702,0.706,0.704,0,0.75,18.4,5.3,9.9,9.4,9.7,0.9,1.6,0.55,6.3,8.8,0.71,0.7,0.1,0.8,1.3,0.4,1.7,98.3,105.4,-7.1,21.9,1.06,0.24,0.149,0.007,4.73,5.05,0.395,0.711,0.5,0.232,0.377,1.3,0.4901,0.5,0.5,0.49,0.53,520,29.97,0.61,0.029,0.054,0.209,0.295,1,0,0,0,0,0,0,0,1,-3.31941,-0.960813,-3.62486,-2.59883,-2.5934,-2.619,Fringe NBA,0,1,,
Giannis Antetokounmpo,2013,International,MIL,Wing,4,Filathlitikos,Greek A2,-1.43,18.5,81.5,"6'9.5""",87,"7'3""",5.5,205,0.798,1,1,1.000,1,1.00,9.1,4.1,7.3,20.7,14.4,1.4,1.3,1.07,11.8,17.8,0.66,0.7,0.8,1.5,2.9,4.1,7.0,94.94,92.66,2.28,15.2,0.82,0.08,,,1.22,3.21,0.258,0.72,0.5,0.51,0.313,1.19,0.37247,0.25,0.3125,0.58,0.60,,18.59,0.49,0.077,0.072,0.636,0.956,0,1,1,0,0,0,0,0,1,-1.11835,0.288982,1.10054,4.67236,,1.236,All-Time Great,0,0,,
Giannis Antetokounmpo,2013,International,MIL,Big,4.5,Filathlitikos,Greek A2,-1.43,18.5,83.5,"6'11.5""",87,"7'3""",3.5,242,0.52,1,1,1.000,1,1.00,9.1,3.9,7.3,20.0,14.0,1.3,1.3,0.99,11.4,17.0,0.67,0.7,1.0,1.6,3.0,3.9,6.9,94.94,92.66,2.28,15.2,0.82,0.08,,,1.22,3.21,0.258,0.72,0.5,,0.313,1.19,0.37247,0.25,0.3125,0.56,0.58,,19.56,0.46,0.068,0.069,0.582,0.869,0,1,1,0,0,0,0,0,1,,,,,4.85178,,All-Time Great,0,0,1,
Lucas Nogueira,2013,International,ATL,Big,5,Estudiantes,Spanish ACB,22.69,20.9,84,"7'0""",90,"7'6""",6,220,0.576,0.053,0.75,0.471,0,0.50,9.8,6.3,15.6,16.7,16.1,0.9,1.0,0.91,7.5,10.9,0.69,0.6,2.0,2.6,1.9,11.3,13.2,111.5,106.7,4.8,22.8,1.09,0.25,,,7.87,7.92,0.417,0.653,0.25,0,0,0,0,0,0.0625,0.67,0.67,,19.19,0.51,0.048,0.053,0.391,0.570,0,1,1,0,0,0,0,0,0,,,-0.0884851,1.384,-1.88379,-0.196,Fringe NBA,0,0,,
Dennis Schröder,2013,International,ATL,Guard,1,Braunschweig,German BBL,16.23,19.8,74,"6'2""",79.75,"6'7.75""",5.75,165,0.462,0.192,0.477,0.406,0,0.50,15.5,3.0,3.5,9.7,6.5,3.8,2.7,1.44,28.9,17.8,1.62,1.3,0.0,1.3,2.5,0.1,2.6,112.5,112.8,-0.3,16.8,0.85,0.06,,,2.55,3.71,0.33,0.832,0.75,0.343,0.4,1.3,0.52,0.5,0.5625,0.5,0.56,,29.2,0.53,0.132,0.091,0.988,0.610,0,1,1,0,0,0,0,0,1,-6.0271,-1.73826,-0.132729,-1.52135,-0.393271,-1.963,Solid Rotation,0,0,,
Shane Larkin,2013,Sophomore,DAL,Guard,1,Miami,ACC,7.87,20.7,71.5,"5'11.5""",70.75,"5'10.75""",-0.75,171,0.05,0.743,0.707,0.721,0,0.75,14.8,3.8,1.6,11.4,6.5,4.7,2.3,2.02,26.5,16.1,1.65,2.0,0.1,2.1,3.4,0.3,3.7,94.3,95.9,-1.6,22.6,1.09,0.26,0.199,0.010,9.15,9.44,0.293,0.777,0.5,0.445,0.406,1.9,0.7714,0.75,0.6875,0.57,0.60,537,21.4,0.69,0.218,0.108,1.240,0.750,1,0,0,0,0,0,0,0,1,-2.78523,-2.30026,-1.973,,-1.64263,-2.175,Fringe NBA,0,0,,
Sergey Karasev,2013,International,CLE,Wing,2.5,Zenit,Russian PBL,18.67,19.6,79,"6'7""",81.25,"6'9.25""",2.25,205,0.369,0.5,0.5,0.500,0,0.50,20.4,5.2,3.2,15.0,8.9,3.1,2.2,1.41,16.6,11.6,1.42,0.7,0.7,1.4,1.5,2.0,3.5,104.4,104.7,-0.3,17.2,0.88,0.09,,,5.21,6.32,0.44,0.851,1,0.411,0.373,1.83,0.68259,0.75,0.8125,0.51,0.60,,27.42,0.74,0.111,0.079,0.604,0.424,0,1,1,0,0,0,0,0,0,-4.18152,-1.01134,-2.39464,,,-2.529,Fringe NBA,0,0,,
Tony Snell,2013,Junior,CHI,Wing,2.5,New Mexico,Mountain West,6.59,21.6,79.25,"6'7.25""",83.5,"6'11.5""",4.25,198,0.485,0.379,0.712,0.579,0,0.50,11.8,2.3,1.6,8.8,5.1,2.8,2.1,1.36,21.8,15.4,1.41,0.8,0.5,1.3,1.6,1.8,3.4,93.1,99.5,-6.4,17,0.79,-0.08,0.133,0.006,6.06,5.58,0.299,0.843,0.75,0.481,0.39,1.8,0.702,0.75,0.75,0.51,0.56,408,22.52,0.52,0.125,0.092,0.967,0.685,1,0,0,0,0,0,0,0,1,-3.14922,-0.832361,-2.01503,-1.23733,-2.16189,-1.879,Bench Reserve,0,0,,
Gorgui Dieng,2013,Junior,MIN,Big,5,Louisville,Big East,9.14,23.4,82.75,"6'10.75""",87.5,"7'3.5""",4.75,230,0.528,0.5,0.5,0.500,0,0.50,8.4,9.3,12.9,23.6,18.1,1.8,1.9,0.97,11.2,16.4,0.68,1.2,2.5,3.7,2.6,9.6,12.2,87.1,81.9,5.2,23.8,1.02,0.08,0.219,0.009,11.76,10.49,0.479,0.652,0.25,0,0,0,0,0,0.0625,0.53,0.56,352,16.06,0.52,0.112,0.115,0.700,1.024,1,0,0,0,0,0,0,0,1,-0.487857,0.0901681,1.49154,0.42742,-3.35694,-0.367,Solid Rotation,0,0,,
Mason Plumlee,2013,Senior,BKN,Big,5,Duke,ACC,9.57,23.3,84.5,"7'0.5""",83,"6'11""",-1.5,238,0.374,0.759,0.92,0.856,0,0.75,15.9,9.9,9.7,25.1,17.4,1.7,3.0,0.58,10.6,16.9,0.63,0.9,1.4,2.3,1.7,4.2,5.9,95.7,92.2,3.5,26.3,1.13,0.20,0.220,0.009,9.84,8.62,0.688,0.681,0.25,0,0,0,0,0,0.0625,0.59,0.62,605,23.71,0.67,0.072,0.125,0.447,0.711,1,0,0,0,0,0,0,0,1,1.16688,0.19191,1.54518,0.997607,-0.450518,0.690,Solid Rotation,0,0,,
Solomon Hill,2013,Senior,IND,Wing,3,Arizona,PAC 12,7.48,22.3,79,"6'7""",81,"6'9""",2,226,0.402,0.755,0.806,0.786,0,0.75,12.4,5.0,6.6,13.6,10.0,2.5,2.2,1.13,15.8,15.4,1.03,1.1,0.6,1.7,2.1,1.8,3.9,94.9,97.7,-2.8,20.1,0.90,0.01,0.176,0.008,8.29,7.26,0.359,0.766,0.5,0.423,0.39,1.6,0.624,0.75,0.6875,0.53,0.57,468,21.21,0.58,0.117,0.104,0.746,0.725,1,0,0,0,0,0,0,0,1,-2.8435,-1.6506,-0.351145,-0.814447,,-1.415,Bench Reserve,0,0,,
