Board,Draft Year,Board Size,Consensus Lottery,Consensus Top 30,Consensus Top 60,NBA Draft Lottery,NBA Draft Top 30,NBA Draft Top 60,Redraft Lottery,Redraft Top 30,Redraft Top 60,EPM Lottery,EPM Top 30,EPM Top 60,EW Lottery,EW Top 30,EW Top 60,Consensus-L %ile,Consensus-L z-score,Consensus-T30 %ile,Consensus-T30 z-score,Consensus-T60 %ile,Consensus-T60 z-score,NBA-L %ile,NBA-L z-score,NBA-T30 %ile,NBA-T30 z-score,NBA-T60 %ile,NBA-T60 z-score,R-L %ile,R-L z-score,R-T30 %ile,R-T30 z-score,R-T60 %ile,R-T60 z-score,EPM-L %ile,EPM-L z-score,EPM-T30 %ile,EPM-T30 z-score,EPM-T60 %ile,EPM-T60 z-score,EW-L %ile,EW-L z-score,EW-T30 %ile,EW-T30 z-score,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
@maxacarlin,2020,92,1.857,3.384,7.663,0.297,0.583,0.65,795.248,635.682,603.488,1.443,1.51,1.658,7.024,6.073,5.87,0.661,0.40,0.694,0.50,0.512,0.22,0.435,-0.20,0.29,-0.43,0.317,-0.16,0.159,-1.04,0.333,-0.36,0.31,-0.62,0.079,-1.50,0.079,-1.20,0.071,-1.32,0.46,-0.12,0.714,0.55,0.31,-0.55,-0.888,51,0.206,-0.337,46,0.286,-0.831,39,0.095,1.081,1.043,1.202,0.989,1.013,1.121,5.554,4.399,3.98,0.127,-1.15,0.381,-0.27,0.19,-0.68,0.048,-1.40,0.206,-0.78,0.143,-0.94,0.349,-0.54,0.429,-0.13,0.143,-0.73
Wes Morton,2020,90,2.483,5.08,6.77,0.459,0.838,0.786,568.941,608.735,533.185,1.122,1.516,1.397,6.504,6.395,4.958,0.419,0.16,0.355,-0.06,0.707,0.47,0.645,0.48,0.935,1.25,0.878,0.92,0.905,1.38,0.619,0.18,0.738,0.77,0.857,1.10,0.063,-1.26,0.81,1.02,0.698,0.61,0.365,-0.04,0.786,0.70,1.031,7,0.905,-0.375,47,0.270,0.830,10,0.786,0.787,1.073,1.149,0.728,0.983,1.053,4.293,4.231,3.362,0.937,1.37,0.175,-0.59,0.571,0.09,0.968,1.59,0.429,-0.30,0.69,0.39,0.889,1.22,0.571,0.31,0.69,0.64
@AmericanNumbers,2020,84,20.133,24.236,25.797,0.257,0.255,0.143,649.727,711.931,723.225,1.627,1.718,1.736,8.623,8.528,8.352,0,-6.46,0,-6.29,0,-4.78,0.339,-0.36,0,-2.59,0,-4.20,0.698,0.52,0.048,-1.89,0,-2.99,0,-2.99,0,-3.30,0,-2.02,0,-2.35,0,-3.97,0,-3.95,-1.609,63,0.016,-3.055,64,0.000,-2.986,43,0.000,1.423,1.5,1.444,0.978,1.082,1.091,5.097,5.217,5.243,0,-4.08,0,-5.22,0,-4.19,0.095,-1.28,0.016,-1.88,0.31,-0.35,0.54,0.10,0,-2.28,0,-3.54
@BrianJNBA,2020,82,2.42,4.372,7.135,-0.046,0.498,0.552,696.993,629.07,595.122,1.127,1.39,1.574,6.851,6.06,5.579,0.468,0.19,0.452,0.18,0.659,0.37,0.081,-1.62,0.177,-0.99,0.098,-0.94,0.492,0.01,0.46,-0.23,0.381,-0.45,0.825,1.06,0.508,0.01,0.31,-0.57,0.556,0.12,0.73,0.57,0.452,-0.15,0.398,21,0.683,0.119,28,0.571,-0.392,26,0.405,0.867,1.083,1.175,0.762,1.01,1.07,5.581,4.34,3.808,0.746,0.68,0.127,-0.70,0.357,-0.29,0.873,1.20,0.238,-0.74,0.548,0.06,0.302,-0.57,0.492,0.02,0.405,-0.35
@j_pesquis,2020,81,2.465,3.75,7.734,0.565,0.673,0.661,824.96,655.394,606.777,1.485,1.411,1.606,8.395,7.014,5.691,0.435,0.17,0.613,0.38,0.488,0.20,0.806,0.92,0.5,0.17,0.415,-0.08,0.095,-1.36,0.127,-0.76,0.286,-0.68,0.048,-1.84,0.397,-0.20,0.214,-0.86,0.016,-2.03,0.111,-1.18,0.405,-0.31,-1.745,64,0.000,-0.713,56,0.127,-0.615,33,0.238,1.088,0.986,1.22,0.984,0.987,1.19,6.223,4.666,3.776,0.111,-1.21,0.603,0.35,0.095,-0.94,0.063,-1.35,0.413,-0.37,0,-2.29,0.063,-1.47,0.222,-0.83,0.476,-0.28
@JeremyWoo (Sports Illustrated),2020,80,1.549,4.507,8.04,0.749,0.826,0.895,544.973,557.052,496.553,1.097,1.331,1.346,5.991,6.027,4.041,0.726,0.52,0.435,0.13,0.439,0.12,0.984,1.68,0.903,1.17,1,1.79,0.952,1.64,0.873,1.22,0.952,1.50,0.905,1.31,0.841,0.61,0.929,1.48,0.905,1.32,0.794,0.63,0.976,1.95,1.423,4,0.952,0.821,8,0.889,1.642,2,0.976,0.755,0.968,1.09,0.743,0.915,1.062,3.907,3.989,2.896,1,1.64,0.746,0.55,0.81,0.94,0.937,1.42,0.794,0.78,0.619,0.22,0.968,1.75,0.857,0.95,0.952,1.67
@beenthrifty,2020,77,5.427,6.621,9.776,-0.09,0.366,0.446,696.587,600.777,586.512,1.333,1.444,1.606,5.667,6.033,5.495,0.097,-0.94,0.177,-0.56,0.171,-0.36,0.032,-1.81,0.065,-1.86,0.024,-1.79,0.508,0.01,0.683,0.34,0.429,-0.28,0.206,-0.61,0.254,-0.54,0.214,-0.86,0.984,1.77,0.762,0.62,0.548,-0.04,0.394,22,0.667,0.143,27,0.587,-0.392,27,0.381,1.143,1.032,1.18,0.976,0.975,1.11,4.441,4.18,3.8,0.048,-1.68,0.444,-0.15,0.333,-0.36,0.127,-1.26,0.46,-0.18,0.19,-0.72,0.841,1.01,0.619,0.44,0.429,-0.33
Knicks Draft Guy,2020,75,1.477,1.534,4.992,0.235,0.742,0.767,729.383,618.735,535.703,1.321,1.35,1.463,6.274,6.147,5.012,0.774,0.54,1,1.10,0.976,0.96,0.306,-0.45,0.694,0.62,0.78,0.77,0.365,-0.34,0.54,-0.02,0.714,0.72,0.27,-0.51,0.714,0.41,0.643,0.43,0.794,0.93,0.635,0.41,0.762,0.62,0.027,34,0.476,0.270,19,0.714,0.591,15,0.667,1,0.963,1.086,0.927,0.932,1.002,5.245,4.133,3.263,0.222,-0.46,0.81,0.60,0.833,1.00,0.238,-0.69,0.683,0.51,0.952,1.39,0.444,-0.11,0.683,0.57,0.762,0.86
@ADSohn,2020,75,2.359,3.778,5.944,-0.002,0.544,0.586,741.448,635.357,575.023,1.118,1.362,1.42,6.788,6.236,5.221,0.484,0.21,0.581,0.37,0.78,0.69,0.097,-1.44,0.242,-0.68,0.122,-0.67,0.302,-0.47,0.349,-0.35,0.571,-0.06,0.889,1.14,0.635,0.29,0.762,0.81,0.619,0.21,0.556,0.25,0.619,0.34,0.293,27,0.587,0.063,30,0.540,0.365,16,0.643,0.843,1.026,1.119,0.793,0.989,1.048,5.755,4.482,3.595,0.841,0.89,0.492,-0.08,0.69,0.52,0.762,0.85,0.397,-0.40,0.738,0.49,0.175,-0.82,0.317,-0.35,0.595,0.12
@ram_dub,2020,75,6.901,10.479,14.477,0.635,0.697,0.625,664.158,590.803,520.103,1.292,1.341,1.391,7.813,6.299,4.731,0.048,-1.49,0.016,-1.81,0.049,-1.66,0.855,1.21,0.581,0.32,0.268,-0.36,0.635,0.36,0.73,0.54,0.857,1.03,0.365,-0.27,0.778,0.50,0.857,1.07,0.063,-1.22,0.46,0.13,0.881,1.01,-0.378,46,0.286,0.394,17,0.746,1.038,7,0.857,0.908,1.046,1.065,0.774,0.922,0.97,5.194,4.42,3.234,0.635,0.33,0.365,-0.30,0.976,1.31,0.857,1.07,0.746,0.67,0.976,2.02,0.46,-0.04,0.397,-0.19,0.833,0.92
@AneeshNamburi,2020,75,1.322,2.366,5.757,0.442,0.769,0.732,801.392,643.348,578.55,1.39,1.377,1.53,7.776,6.56,6.072,0.823,0.60,0.935,0.83,0.854,0.75,0.613,0.41,0.774,0.80,0.707,0.49,0.143,-1.11,0.222,-0.51,0.476,-0.13,0.111,-1.07,0.587,0.14,0.5,-0.17,0.095,-1.17,0.286,-0.35,0.048,-0.83,-1.116,57,0.111,-0.240,41,0.365,-0.376,24,0.452,1.022,0.964,1.161,0.974,0.945,1.106,5.644,4.381,3.811,0.175,-0.65,0.794,0.59,0.476,-0.09,0.143,-1.23,0.587,0.30,0.262,-0.64,0.254,-0.66,0.46,-0.08,0.357,-0.36
@jaynay1,2020,75,6.933,8.075,12.121,-0.235,0.3,0.49,634.364,589.855,580.46,1.304,1.426,1.634,7.025,6.361,5.383,0.032,-1.51,0.065,-1.03,0.122,-1.01,0,-2.41,0.016,-2.29,0.049,-1.44,0.778,0.68,0.746,0.56,0.452,-0.16,0.317,-0.37,0.317,-0.35,0.143,-1.11,0.444,-0.12,0.413,0.02,0.595,0.12,0.063,31,0.524,0.076,29,0.556,-0.385,25,0.429,1.049,1.059,1.19,0.891,0.921,1.086,4.548,4.451,3.708,0.159,-0.88,0.254,-0.44,0.214,-0.51,0.381,-0.28,0.762,0.68,0.381,-0.25,0.794,0.86,0.365,-0.27,0.571,-0.13
@deanondraft,2020,70,6.073,8.349,12.322,0.705,0.851,0.674,682.945,655.306,620.997,1.301,1.338,1.522,6.159,6.956,5.967,0.065,-1.18,0.048,-1.12,0.073,-1.06,0.952,1.50,0.968,1.34,0.585,0.03,0.587,0.16,0.143,-0.75,0.095,-0.96,0.349,-0.35,0.794,0.53,0.524,-0.10,0.841,1.09,0.159,-1.08,0.214,-0.68,0.300,26,0.603,-0.431,50,0.222,-0.584,31,0.286,1.138,1.06,1.185,1.092,0.913,1.019,4.995,4.766,3.996,0.063,-1.64,0.238,-0.45,0.262,-0.43,0,-2.59,0.825,0.81,0.857,1.06,0.603,0.24,0.159,-1.10,0.119,-0.77
@mikegrib8,2020,70,1.987,4.326,9.559,0.196,0.704,0.671,546.853,560.449,565.5,1.163,1.36,1.569,7.35,6.145,5.454,0.613,0.35,0.516,0.19,0.195,-0.30,0.242,-0.62,0.597,0.37,0.512,0.00,0.937,1.62,0.841,1.15,0.595,0.13,0.762,0.77,0.667,0.31,0.333,-0.52,0.317,-0.58,0.651,0.42,0.571,0.02,0.605,16,0.762,0.628,14,0.794,-0.124,19,0.571,0.974,1.066,1.219,0.756,0.93,1.084,4.81,4.1,3.56,0.317,-0.24,0.222,-0.51,0.119,-0.93,0.889,1.27,0.698,0.54,0.452,-0.21,0.698,0.50,0.746,0.65,0.619,0.20
@codyreeves14,2020,65,1.5,3.487,5.774,0.116,0.593,0.651,593.964,535.201,540.77,1.038,1.114,1.379,5.073,5.214,4.462,0.758,0.53,0.629,0.46,0.829,0.74,0.161,-0.95,0.306,-0.36,0.366,-0.16,0.873,1.11,0.952,1.66,0.643,0.62,1,1.79,0.984,2.80,0.905,1.18,1,2.60,1,2.13,0.929,1.38,1.834,1,1.000,2.197,1,1.000,1.060,6,0.881,0.787,0.816,1.082,0.738,0.797,1.012,4.01,3.74,3.201,0.937,1.37,1,2.20,0.905,1.06,0.952,1.48,1,2.66,0.905,1.20,0.952,1.61,0.952,1.60,0.881,1.00
@marx_posts,2020,64,2.653,4.28,7.427,0.138,0.455,0.588,754.584,640.783,609.727,1.282,1.446,1.66,6.936,6.301,5.91,0.355,0.10,0.532,0.21,0.585,0.29,0.177,-0.86,0.113,-1.27,0.146,-0.66,0.254,-0.61,0.286,-0.46,0.19,-0.74,0.429,-0.19,0.238,-0.56,0.048,-1.34,0.508,0.00,0.444,0.13,0.262,-0.61,-0.266,40,0.381,-0.296,43,0.333,-0.896,40,0.071,0.955,1.082,1.224,0.87,1.052,1.124,5.63,4.188,3.96,0.429,-0.07,0.143,-0.69,0.071,-1.00,0.444,-0.04,0.063,-1.41,0.119,-1.00,0.27,-0.64,0.603,0.42,0.19,-0.69
