Board,Draft Year,Board Size,Consensus Lottery,Consensus Top 30,Consensus Top 60,NBA Draft Lottery,NBA Draft Top 30,NBA Draft Top 60,Redraft Lottery,Redraft Top 30,Redraft Top 60,EPM Lottery,EPM Top 30,EPM Top 60,EW Lottery,EW Top 30,EW Top 60,Consensus-L %ile,Consensus-L z-score,Consensus-T30 %ile,Consensus-T30 z-score,Consensus-T60 %ile,Consensus-T60 z-score,NBA-L %ile,NBA-L z-score,NBA-T30 %ile,NBA-T30 z-score,NBA-T60 %ile,NBA-T60 z-score,R-L %ile,R-L z-score,R-T30 %ile,R-T30 z-score,R-T60 %ile,R-T60 z-score,EPM-L %ile,EPM-L z-score,EPM-T30 %ile,EPM-T30 z-score,EPM-T60 %ile,EPM-T60 z-score,EW-L %ile,EW-L z-score,EW-T30 %ile,EW-T30 z-score,EW-T60 %ile,EW-T60 z-score,avg L z-score,Lottery Rank,Lottery %ile,avg T30 z-score,Top 30 Rank,Top 30 %ile,avg T60 z-score,Top 60 Rank,Top 60 %ile,DARKO Lottery,DARKO Top 30,DARKO Top 60,LEBRON Lottery,LEBRON Top 30,LEBRON Top 60,WAR Lottery,WAR Top 30,WAR Top 60,DARKO-L %ile,DARKO-L z-score,DARKO-T30 %ile,DARKO-T30 z-score,DARKO-T60 %ile,DARKO-T60 z-score,LEBRON-L %ile,LEBRON-L z-score,LEBRON-T30 %ile,LEBRON-T30 z-score,LEBRON-T60 %ile,LEBRON-T60 z-score,WAR-L %ile,WAR-L z-score,WAR-T30 %ile,WAR-T30 z-score,WAR-T60 %ile,WAR-T60 z-score
BarresiFillipo,2020,63,1.147,3.015,5.309,0.231,0.688,0.668,734.299,643.098,611.653,1.181,1.409,1.567,6.829,6.153,6.043,0.935,0.67,0.839,0.62,0.951,0.87,0.29,-0.47,0.548,0.26,0.463,-0.02,0.317,-0.39,0.238,-0.51,0.167,-0.78,0.714,0.63,0.413,-0.18,0.357,-0.51,0.587,0.15,0.603,0.40,0.071,-0.79,0.129,30,0.540,-0.096,36,0.444,-0.691,37,0.143,0.851,0.931,1.154,0.798,0.925,1.077,5.054,4.2,3.781,0.81,0.82,0.905,0.95,0.548,0.02,0.746,0.79,0.73,0.62,0.476,-0.08,0.571,0.16,0.587,0.39,0.452,-0.29
@ballislife_cy,2020,62,4.492,5.724,7.741,0.473,0.801,0.715,718.349,612.699,546.77,1.362,1.438,1.424,6.775,5.848,5.023,0.129,-0.59,0.258,-0.26,0.463,0.20,0.677,0.54,0.839,1.01,0.659,0.35,0.413,-0.22,0.587,0.10,0.619,0.50,0.143,-0.84,0.302,-0.48,0.738,0.78,0.635,0.23,0.905,0.96,0.714,0.61,-0.278,42,0.349,0.197,25,0.619,0.630,13,0.714,0.957,0.98,1.07,0.915,0.976,1.029,4.461,4.023,3.503,0.413,-0.09,0.651,0.42,0.952,1.23,0.27,-0.55,0.444,-0.19,0.786,0.86,0.825,0.98,0.825,0.86,0.667,0.33
GnarleyHeffner,2020,60,1.261,3.152,6.209,0.481,0.681,0.714,747.024,633.267,520.236,1.275,1.387,1.268,7.124,6.477,4.922,0.871,0.62,0.726,0.57,0.732,0.62,0.694,0.57,0.532,0.22,0.634,0.35,0.286,-0.53,0.397,-0.31,0.833,1.03,0.46,-0.14,0.54,0.04,1,2.18,0.413,-0.26,0.333,-0.19,0.833,0.75,-0.308,44,0.317,-0.155,38,0.413,1.318,4,0.929,0.926,1.04,1.083,0.85,1.026,1.049,5.58,4.285,3.137,0.571,0.18,0.413,-0.23,0.881,1.05,0.571,0.19,0.159,-0.99,0.714,0.47,0.317,-0.57,0.524,0.17,0.929,1.14
TKOBoston,2020,60,2.565,5.633,9.032,-0.059,0.471,0.549,632.609,620.505,577.44,1.123,1.458,1.586,5.765,5.984,5.995,0.387,0.13,0.274,-0.24,0.244,-0.16,0.065,-1.68,0.145,-1.17,0.073,-0.97,0.794,0.70,0.524,-0.05,0.5,-0.10,0.841,1.10,0.222,-0.68,0.262,-0.68,0.968,1.64,0.857,0.71,0.167,-0.72,1.144,6,0.921,-0.006,33,0.492,-0.501,29,0.333,0.843,1.042,1.135,0.792,1.007,1.064,4.733,4.162,3.953,0.841,0.89,0.397,-0.25,0.643,0.29,0.778,0.86,0.27,-0.69,0.595,0.18,0.746,0.61,0.651,0.49,0.214,-0.67
Evan Zamir,2020,60,1.879,4.848,9.034,0.807,0.718,0.66,719.415,616.317,607.935,1.336,1.402,1.503,7.699,6.452,5.886,0.645,0.39,0.371,0.02,0.22,-0.16,1,1.93,0.613,0.46,0.39,-0.08,0.397,-0.23,0.571,0.03,0.262,-0.71,0.19,-0.63,0.444,-0.11,0.548,0.07,0.159,-1.06,0.349,-0.15,0.286,-0.57,-0.641,49,0.238,-0.076,35,0.460,-0.404,28,0.357,0.937,1.049,1.155,0.889,1.021,1.066,5.852,4.381,3.9,0.508,0.08,0.333,-0.33,0.524,0.00,0.397,-0.26,0.175,-0.91,0.571,0.14,0.143,-0.95,0.46,-0.08,0.262,-0.56
@HardwoodBlues,2020,60,1.078,4.326,8.128,0.53,0.834,0.791,689.707,630.144,591.81,1.277,1.438,1.563,7.274,6.849,5.578,0.984,0.69,0.516,0.19,0.39,0.09,0.758,0.77,0.919,1.23,0.902,0.96,0.54,0.09,0.429,-0.25,0.405,-0.39,0.444,-0.15,0.302,-0.48,0.381,-0.47,0.349,-0.47,0.175,-0.88,0.476,-0.15,-0.178,38,0.413,-0.534,53,0.175,-0.337,22,0.500,0.938,1.091,1.188,0.851,1.009,1.108,5.521,4.786,3.808,0.492,0.07,0.079,-0.79,0.238,-0.48,0.54,0.18,0.254,-0.72,0.214,-0.68,0.381,-0.49,0.127,-1.15,0.405,-0.35
@British_Buzz,2020,60,3.347,7.509,8.739,0.424,0.784,0.774,552.449,521.581,463.618,1.092,1.1,1.281,5.81,5.7,3.764,0.226,-0.16,0.097,-0.85,0.341,-0.08,0.597,0.33,0.79,0.90,0.829,0.82,0.921,1.56,1,1.93,1,2.15,0.921,1.35,1,2.94,0.976,2.06,0.952,1.57,0.921,1.24,1,2.33,1.494,3,0.968,2.037,2,0.984,2.180,1,1.000,0.77,0.86,1.011,0.727,0.822,0.948,3.823,3.692,2.568,0.984,1.51,0.968,1.72,1,2.09,0.984,1.61,0.984,2.26,1,2.45,0.984,1.87,0.984,1.73,1,2.40
@z_smith33,2020,60,3.31,6.714,8.875,0.512,0.596,0.65,709.9,624.071,531.533,1.235,1.319,1.484,7.654,7.158,5.975,0.242,-0.15,0.129,-0.59,0.317,-0.11,0.726,0.70,0.323,-0.34,0.317,-0.16,0.429,-0.13,0.508,-0.13,0.762,0.80,0.603,0.19,0.873,0.73,0.619,0.24,0.175,-1.00,0.063,-1.45,0.19,-0.70,-0.313,45,0.302,-0.282,42,0.349,0.116,18,0.595,0.941,0.991,1.085,0.909,0.953,1.014,5.651,4.784,3.731,0.476,0.05,0.587,0.30,0.857,1.02,0.302,-0.49,0.54,0.17,0.881,1.16,0.222,-0.67,0.143,-1.14,0.524,-0.18
@EmilianoNaiar8,2020,60,1.286,3.429,7.489,0.042,0.564,0.668,770.376,664.629,609.229,1.23,1.49,1.637,6.424,6.011,5.641,0.839,0.61,0.645,0.48,0.537,0.27,0.113,-1.26,0.258,-0.55,0.463,-0.02,0.206,-0.78,0.111,-0.94,0.214,-0.73,0.619,0.23,0.127,-1.00,0.095,-1.13,0.73,0.72,0.81,0.66,0.429,-0.24,0.056,32,0.508,-0.426,48,0.254,-0.702,38,0.119,0.902,1.036,1.174,0.837,1.026,1.107,5.343,4.376,3.845,0.667,0.38,0.429,-0.19,0.381,-0.27,0.619,0.34,0.159,-0.99,0.238,-0.66,0.413,-0.24,0.476,-0.07,0.333,-0.43
@ModernBasketPod,2020,60,1.829,3.309,5.591,0.138,0.492,0.605,732.795,626.287,575.826,1.249,1.381,1.544,7.158,6.568,5.813,0.677,0.41,0.71,0.52,0.878,0.79,0.177,-0.86,0.161,-1.03,0.22,-0.52,0.333,-0.37,0.492,-0.17,0.548,-0.07,0.54,0.07,0.571,0.10,0.452,-0.30,0.397,-0.31,0.27,-0.36,0.333,-0.47,-0.202,39,0.397,-0.144,37,0.429,-0.282,21,0.524,0.912,0.974,1.161,0.84,0.914,1.074,5.539,4.264,3.709,0.619,0.29,0.683,0.48,0.476,-0.09,0.587,0.31,0.81,0.80,0.5,-0.02,0.365,-0.52,0.54,0.22,0.548,-0.13
@DKPhiSports,2020,60,2.952,5.397,7.462,0.464,0.729,0.673,790.706,648.882,620.932,1.554,1.393,1.553,7.563,6.346,5.922,0.29,-0.01,0.323,-0.16,0.561,0.28,0.661,0.50,0.661,0.53,0.561,0.02,0.175,-1.00,0.175,-0.62,0.119,-0.96,0.016,-2.40,0.492,-0.02,0.429,-0.38,0.222,-0.87,0.429,0.05,0.238,-0.62,-1.422,62,0.032,-0.199,39,0.397,-0.656,35,0.190,1.127,1.047,1.184,1.087,1.031,1.124,5.928,4.716,3.891,0.079,-1.55,0.349,-0.31,0.31,-0.42,0.016,-2.53,0.095,-1.07,0.119,-1.00,0.111,-1.06,0.19,-0.96,0.286,-0.54
@jackfrank_jjf,2020,60,2.185,3.005,5.371,0.064,0.467,0.6,871.809,695.492,636.014,1.29,1.487,1.488,7.446,6.59,6.014,0.516,0.28,0.855,0.62,0.927,0.85,0.129,-1.17,0.129,-1.19,0.171,-0.56,0.032,-1.86,0.063,-1.56,0.048,-1.26,0.381,-0.26,0.143,-0.97,0.571,0.20,0.27,-0.71,0.238,-0.40,0.143,-0.75,-0.944,52,0.190,-0.978,58,0.095,-0.602,32,0.262,0.959,1.007,1.169,0.947,1.016,1.085,6.664,4.88,4.16,0.397,-0.11,0.571,0.13,0.405,-0.20,0.19,-0.92,0.19,-0.83,0.429,-0.23,0.016,-2.08,0.063,-1.39,0.071,-1.13
@tackett_kyle,2020,60,1.152,3.085,7.326,0.657,0.764,0.719,757.998,648.852,598.126,1.289,1.522,1.484,7.221,6.619,5.766,0.919,0.66,0.79,0.59,0.634,0.31,0.903,1.30,0.758,0.77,0.683,0.39,0.222,-0.64,0.19,-0.62,0.333,-0.51,0.397,-0.25,0.032,-1.32,0.619,0.24,0.365,-0.40,0.222,-0.45,0.357,-0.41,-0.430,47,0.270,-0.801,57,0.111,-0.227,20,0.548,0.944,1.072,1.184,0.865,1.029,1.103,5.65,4.513,3.922,0.46,0.02,0.19,-0.58,0.31,-0.42,0.476,0.02,0.111,-1.04,0.286,-0.58,0.238,-0.67,0.302,-0.43,0.238,-0.61
@jamontheboards,2020,60,1.543,2.957,5.799,0.574,0.724,0.662,732.495,604.969,538.842,1.2,1.246,1.395,7.074,6,5.102,0.742,0.52,0.871,0.64,0.805,0.73,0.823,0.96,0.629,0.50,0.439,-0.07,0.349,-0.37,0.651,0.26,0.667,0.66,0.698,0.47,0.952,1.46,0.833,1.04,0.429,-0.19,0.825,0.68,0.69,0.50,-0.030,35,0.460,0.802,10,0.857,0.733,11,0.762,0.925,0.965,1.118,0.897,0.951,1.055,5.358,4.628,3.553,0.587,0.18,0.778,0.58,0.714,0.54,0.365,-0.35,0.556,0.21,0.643,0.36,0.397,-0.26,0.254,-0.73,0.643,0.21
@TrynaNotKMS,2020,60,1.445,3.093,5.967,0.376,0.651,0.682,757.689,627.089,576.154,1.172,1.4,1.574,7.213,6.176,5.76,0.806,0.55,0.758,0.59,0.756,0.69,0.532,0.13,0.452,0.02,0.61,0.09,0.238,-0.64,0.476,-0.19,0.524,-0.08,0.73,0.70,0.46,-0.09,0.31,-0.57,0.381,-0.38,0.587,0.36,0.381,-0.40,-0.109,37,0.429,0.028,32,0.508,-0.349,23,0.476,0.851,0.95,1.137,0.814,0.941,1.046,5.916,4.446,3.872,0.81,0.82,0.841,0.74,0.619,0.26,0.698,0.61,0.603,0.37,0.762,0.53,0.127,-1.04,0.381,-0.25,0.31,-0.49
@HoopIntelllect,2020,60,1.992,4.345,8.262,0.552,0.839,0.834,618.762,552.575,477.409,1.154,1.289,1.388,6.243,6.198,4.423,0.597,0.35,0.468,0.18,0.366,0.05,0.79,0.86,0.952,1.26,0.927,1.30,0.825,0.85,0.905,1.31,0.976,1.87,0.778,0.85,0.905,1.03,0.881,1.10,0.81,0.97,0.571,0.32,0.952,1.43,0.888,11,0.841,0.887,6,0.921,1.468,3,0.952,0.815,0.973,1.103,0.78,0.933,1.053,4.313,4.079,2.803,0.889,1.13,0.698,0.49,0.762,0.76,0.841,1.00,0.651,0.49,0.69,0.39,0.873,1.19,0.762,0.71,0.976,1.88
NBA,2020,60,2.67,6.443,12.197,1,1,1,705.238,605.819,523.02,1.245,1.301,1.427,7.562,7.714,4.839,0.339,0.09,0.194,-0.50,0.098,-1.03,,,,,,,0.46,-0.08,0.635,0.24,0.81,0.97,0.571,0.11,0.889,0.91,0.714,0.75,0.238,-0.87,0.016,-2.47,0.857,0.86,-0.281,43,0.333,-0.440,51,0.206,0.861,9,0.810,0.851,0.911,1.126,0.816,0.862,1.088,5.341,4.873,3.34,0.81,0.82,0.952,1.17,0.667,0.42,0.667,0.58,0.937,1.63,0.357,-0.29,0.429,-0.24,0.079,-1.38,0.714,0.69
@raminoid2,2020,54,3.162,4.343,,0.081,0.534,,778.77,669.568,,1.507,1.498,,7.587,7.457,,0.274,-0.09,0.484,0.18,,,0.145,-1.10,0.21,-0.75,,,0.19,-0.87,0.095,-1.04,,,0.032,-2.02,0.111,-1.08,,,0.19,-0.91,0.032,-2.00,,,-1.264,60,0.063,-1.373,62,0.032,,,,1.183,1.124,,1.022,1.011,,5.56,5.187,,0.016,-2.03,0.048,-1.14,,,0.032,-1.78,0.222,-0.75,,,0.333,-0.55,0.016,-2.20,,
@slaton_caleb,2020,53,1.121,2.209,,0.376,0.81,,632.13,581.082,,1.13,1.417,,6.85,6.248,,0.952,0.68,0.952,0.88,,,0.532,0.13,0.871,1.07,,,0.81,0.70,0.762,0.74,,,0.794,1.04,0.365,-0.26,,,0.571,0.12,0.54,0.23,,,0.622,14,0.794,0.234,21,0.683,,,,0.855,1.011,,0.823,0.97,,5.112,3.996,,0.762,0.78,0.54,0.08,,,0.651,0.50,0.492,-0.10,,,0.508,0.08,0.841,0.93,,
Micarice3,2020,50,1.459,3.032,,0.363,0.636,,687.61,617.425,,1.258,1.363,,6.948,6.275,,0.79,0.55,0.806,0.61,,,0.516,0.08,0.387,-0.08,,,0.556,0.11,0.556,0.01,,,0.492,0.00,0.619,0.28,,,0.476,-0.01,0.492,0.18,,,0.033,33,0.492,0.156,26,0.603,,,,1.004,0.981,,0.899,0.902,,5.138,4.402,,0.206,-0.49,0.635,0.41,,,0.349,-0.37,0.889,0.99,,,0.492,0.04,0.413,-0.14,,
@w_a_morris,2020,50,3.171,5.794,,0.226,0.362,,892.216,724.222,,1.329,1.468,,7.957,6.983,,0.258,-0.09,0.242,-0.29,,,0.258,-0.49,0.048,-1.88,,,0.016,-2.08,0.032,-2.14,,,0.238,-0.57,0.206,-0.78,,,0.048,-1.42,0.143,-1.12,,,-1.360,61,0.048,-1.347,61,0.048,,,,0.982,1.049,,0.973,1.006,,6.801,4.799,,0.27,-0.30,0.333,-0.33,,,0.159,-1.22,0.286,-0.67,,,0,-2.27,0.111,-1.18,,
@wheatonbrando,2020,50,2.004,4.651,,0.323,0.679,,684.534,633.869,,1.21,1.474,,6.059,5.859,,0.581,0.34,0.419,0.08,,,0.468,-0.09,0.516,0.21,,,0.571,0.14,0.381,-0.32,,,0.683,0.39,0.19,-0.84,,,0.857,1.23,0.889,0.94,,,0.587,17,0.746,-0.073,34,0.476,,,,0.886,1.058,,0.83,0.989,,4.809,4.104,,0.714,0.52,0.27,-0.43,,,0.635,0.42,0.397,-0.40,,,0.714,0.50,0.714,0.64,,
Kevin O'Connor (The Ringer),2020,50,2.782,4.68,,0.662,0.81,,692.724,572.234,,1.303,1.342,,6.94,6.027,,0.306,0.05,0.403,0.07,,,0.935,1.32,0.871,1.07,,,0.524,0.06,0.778,0.92,,,0.333,-0.36,0.762,0.49,,,0.492,0.00,0.794,0.63,,,-0.104,36,0.444,0.682,13,0.810,,,,0.969,0.949,,0.883,0.897,,4.9,4.062,,0.365,-0.19,0.857,0.75,,,0.413,-0.19,0.905,1.07,,,0.635,0.37,0.778,0.75,,
Bleacher Report,2020,50,1.224,3.828,,0.635,0.785,,749.741,634.628,,1.257,1.257,,7.759,6.551,,0.887,0.64,0.565,0.35,,,0.855,1.21,0.806,0.90,,,0.27,-0.56,0.365,-0.34,,,0.508,0.01,0.921,1.35,,,0.143,-1.15,0.302,-0.33,,,-0.564,48,0.254,0.229,22,0.667,,,,0.907,0.972,,0.86,0.932,,5.724,4.723,,0.651,0.34,0.714,0.51,,,0.508,0.08,0.683,0.51,,,0.19,-0.77,0.175,-0.98,,
@magicvagberg,2020,49,2.711,4.838,,-0.16,0.42,,658.802,646.189,,1.121,1.503,,6.203,5.983,,0.323,0.08,0.387,0.02,,,0.016,-2.10,0.097,-1.50,,,0.651,0.42,0.206,-0.57,,,0.873,1.11,0.095,-1.13,,,0.825,1.03,0.873,0.72,,,0.852,13,0.810,-0.329,45,0.302,,,,0.901,1.153,,0.804,1.101,,5.045,4.247,,0.683,0.39,0.032,-1.46,,,0.73,0.72,0,-2.19,,,0.587,0.17,0.556,0.27,,
@EZ_Hoops,2020,45,0.881,2.16,,0.226,0.645,,708.791,611.681,,1.214,1.342,,6.754,6.364,,1,0.77,0.968,0.90,,,0.258,-0.49,0.419,-0.02,,,0.444,-0.12,0.603,0.12,,,0.667,0.36,0.762,0.49,,,0.651,0.26,0.397,0.01,,,0.166,28,0.571,0.211,23,0.651,,,,0.92,0.971,,0.839,0.969,,5.11,4.101,,0.603,0.23,0.73,0.52,,,0.603,0.32,0.508,-0.08,,,0.524,0.08,0.73,0.65,,
@willandywalker,2020,45,7.358,7.757,,0.262,0.353,,647.812,554.3,,1.214,1.145,,6.903,5.684,,0.016,-1.66,0.081,-0.93,,,0.355,-0.34,0.032,-1.94,,,0.714,0.54,0.889,1.28,,,0.667,0.36,0.968,2.48,,,0.54,0.05,0.952,1.27,,,0.315,24,0.635,1.676,3,0.968,,,,0.899,0.832,,0.784,0.839,,5.08,3.901,,0.698,0.41,0.984,2.02,,,0.825,0.95,0.968,1.99,,,0.556,0.12,0.905,1.18,,
@tberger_gtg,2020,44,2.181,3.387,,0.332,0.578,,676.708,592.384,,1.06,1.336,,6.396,6.123,,0.532,0.28,0.661,0.50,,,0.484,-0.05,0.274,-0.46,,,0.603,0.23,0.714,0.51,,,0.968,1.61,0.825,0.55,,,0.762,0.76,0.667,0.46,,,0.863,12,0.825,0.508,16,0.762,,,,0.78,0.912,,0.787,0.892,,5.186,4.052,,0.952,1.43,0.937,1.16,,,0.81,0.92,0.921,1.15,,,0.476,-0.02,0.794,0.78,,
@advancedstats23,2020,43,5.345,6.118,,-0.086,0.381,,535.981,548.987,,1.218,1.381,,6.368,6.056,,0.113,-0.91,0.226,-0.39,,,0.048,-1.79,0.081,-1.76,,,0.968,1.74,0.921,1.38,,,0.635,0.33,0.571,0.10,,,0.778,0.80,0.746,0.58,,,0.952,8,0.889,0.688,12,0.825,,,,1.156,1.103,,0.868,0.94,,4.076,3.741,,0.032,-1.79,0.063,-0.92,,,0.46,-0.01,0.619,0.38,,,0.937,1.52,0.937,1.60,,
JoshsPseudonym,2020,40,2.464,5.609,,0.648,0.735,,635.458,545.044,,1.326,1.413,,5.969,5.691,,0.452,0.17,0.29,-0.23,,,0.887,1.26,0.677,0.57,,,0.762,0.67,0.937,1.46,,,0.254,-0.55,0.381,-0.22,,,0.921,1.35,0.937,1.25,,,0.491,19,0.714,0.831,7,0.905,,,,0.974,1.087,,0.899,1.027,,4.538,3.766,,0.317,-0.24,0.111,-0.74,,,0.349,-0.37,0.127,-1.01,,,0.81,0.88,0.921,1.53,,
@coup_pat,2020,39,1.277,3.145,,0.262,0.641,,701.322,637.215,,1.249,1.419,,6.635,6.379,,0.855,0.62,0.742,0.57,,,0.355,-0.34,0.403,-0.05,,,0.476,-0.04,0.317,-0.39,,,0.54,0.07,0.349,-0.28,,,0.667,0.42,0.381,-0.01,,,0.153,29,0.556,-0.229,40,0.381,,,,0.945,1.027,,0.85,1.001,,4.754,4.286,,0.444,0.01,0.476,-0.09,,,0.571,0.19,0.317,-0.59,,,0.73,0.58,0.508,0.17,,
@TheStrickland,2020,30,2.149,2.785,,0.446,0.657,,912.591,690.685,,1.32,1.319,,7.442,6.671,,0.548,0.29,0.887,0.69,,,0.629,0.42,0.468,0.06,,,0,-2.30,0.079,-1.46,,,0.286,-0.50,0.873,0.73,,,0.286,-0.70,0.206,-0.55,,,-1.169,58,0.095,-0.429,49,0.238,,,,0.934,0.94,,0.937,0.948,,6.597,4.837,,0.54,0.11,0.873,0.85,,,0.206,-0.81,0.571,0.25,,,0.032,-1.99,0.095,-1.28,,
@TeddyChassin,2020,30,2.537,7.121,,0.379,0.647,,614.391,629.412,,1.331,1.419,,6.05,6.984,,0.403,0.14,0.113,-0.72,,,0.565,0.14,0.435,-0.01,,,0.841,0.90,0.444,-0.23,,,0.222,-0.59,0.349,-0.28,,,0.873,1.24,0.127,-1.13,,,0.515,18,0.730,-0.548,54,0.159,,,,1.097,1.049,,0.983,0.909,,4.124,4.475,,0.095,-1.29,0.333,-0.33,,,0.079,-1.34,0.841,0.88,,,0.905,1.45,0.333,-0.33,,
Chuquille O'Neal,2020,30,4.348,5.302,,0.486,0.728,,501.592,528.559,,1.063,1.336,,5.997,5.438,,0.145,-0.54,0.339,-0.13,,,0.71,0.59,0.645,0.53,,,0.984,2.10,0.968,1.79,,,0.952,1.58,0.825,0.55,,,0.889,1.31,0.984,1.72,,,1.667,2,0.984,1.356,4,0.952,,,,0.77,0.984,,0.725,0.902,,3.466,3.62,,0.984,1.51,0.619,0.37,,,1,1.63,0.889,0.99,,,1,2.37,1,1.92,,
@iamdamonallred,2020,30,1.969,3.384,,0.336,0.539,,641.648,568.048,,1.282,1.485,,5.929,5.567,,0.629,0.36,0.694,0.50,,,0.5,-0.03,0.226,-0.72,,,0.73,0.60,0.81,1.00,,,0.429,-0.19,0.175,-0.95,,,0.937,1.41,0.968,1.48,,,0.606,15,0.778,0.510,15,0.778,,,,0.927,1.02,,0.905,1.004,,4.699,3.738,,0.556,0.17,0.524,-0.02,,,0.317,-0.44,0.302,-0.64,,,0.762,0.65,0.968,1.61,,
@joncallender,2020,30,1.08,2.374,,0.174,0.745,,657.404,600.802,,1.071,1.404,,6.403,6.15,,0.968,0.69,0.919,0.83,,,0.226,-0.71,0.71,0.64,,,0.667,0.43,0.667,0.34,,,0.937,1.52,0.429,-0.13,,,0.746,0.75,0.619,0.41,,,0.899,9,0.873,0.206,24,0.635,,,,0.813,1.03,,0.745,0.995,,4.98,4.025,,0.905,1.14,0.46,-0.12,,,0.921,1.40,0.365,-0.50,,,0.619,0.26,0.81,0.85,,
@shayshayhoops,2020,30,1.594,2.676,,0.288,0.672,,827.744,639.185,,1.367,1.389,,7.366,6.08,,0.71,0.50,0.903,0.73,,,0.419,-0.23,0.484,0.16,,,0.079,-1.39,0.302,-0.43,,,0.127,-0.88,0.524,0.02,,,0.302,-0.60,0.698,0.54,,,-0.957,53,0.175,0.042,31,0.524,,,,0.97,0.921,,0.91,0.926,,5.809,4.472,,0.349,-0.20,0.921,1.06,,,0.286,-0.50,0.714,0.60,,,0.159,-0.89,0.349,-0.32,,
@DraftDeeper,2020,30,3.702,6.249,,0.297,0.613,,655.361,558.698,,1.27,1.255,,7.773,6.1,,0.161,-0.29,0.21,-0.44,,,0.435,-0.20,0.355,-0.23,,,0.683,0.46,0.857,1.19,,,0.476,-0.10,0.937,1.37,,,0.111,-1.17,0.683,0.50,,,-0.269,41,0.365,1.021,5,0.937,,,,0.976,0.975,,0.863,0.933,,4.856,4.156,,0.286,-0.25,0.667,0.47,,,0.492,0.04,0.651,0.49,,,0.683,0.43,0.667,0.51,,
