Board,Draft Year,Board Size,Consensus Lottery,Consensus Top 30,Consensus Top 60,NBA Draft Lottery,NBA Draft Top 30,NBA Draft Top 60,Redraft Lottery,R-L %ile,Redraft Top 30,R-T30 %ile,Redraft Top 60,R-T60 %ile,EPM Lottery,EPM-L %ile,EPM Top 30,EPM-T30 %ile,EPM Top 60,EPM-T60 %ile,EW Lottery,EW-L %ile,EW Top 30,EW-T30 %ile,EW Top 60,EW-T60 %ile,avg L %ile,Lottery Rank,Lottery %ile,avg T30 %ile,Top 30 Rank,Top 30 %ile,avg T60 %ile,Top 60 Rank,Top 60 %ile,CraftedPM,DARKO
Consensus,2024,178,0,0,0,0.701,0.748,0.921,745.279,0.616,560.896,0.885,454.982,0.948,1.798,0.411,1.644,0.885,1.931,0.914,1.32,0.607,1.469,0.212,1.155,0.483,0.545,49,57.1%,0.661,21,80.8%,0.782,5,93.1%,,
ESPN,2024,100,3.359,5.222,6.918,0.793,0.828,0.897,797.794,0.384,750.072,0.163,585.268,0.207,1.838,0.277,1.704,0.75,1.992,0.741,1.312,0.643,1.507,0.125,1.216,0.293,0.435,69,39.3%,0.346,82,22.1%,0.414,40,32.8%,,
Sam Vecenie (The Athletic),2024,100,2.957,3.456,5.907,0.771,0.809,0.882,874.508,0.009,768.591,0.135,586.514,0.19,1.887,0.205,1.668,0.827,1.868,1,1.544,0.08,1.547,0.029,1.307,0.155,0.098,113,0.0%,0.330,83,21.2%,0.448,35,41.4%,,
@OranjeGuerrero,2024,100,3.188,5.65,7.393,0.736,0.75,0.8,811.481,0.286,784.166,0.096,555.202,0.362,2.06,0.054,1.69,0.779,1.993,0.724,1.525,0.116,1.18,0.952,0.858,0.983,0.152,111,1.8%,0.609,28,74.0%,0.690,12,81.0%,,
@bjpf_,2024,100,4.134,5.543,6.449,0.27,0.573,0.778,669.635,0.821,586.536,0.731,486.353,0.741,1.789,0.455,2.118,0,2.031,0.534,1.431,0.304,1.414,0.394,1.227,0.276,0.527,54,52.7%,0.375,75,28.8%,0.517,29,51.7%,,
@therealStargon,2024,100,1.646,4.869,7.454,0.376,0.549,0.792,609.393,0.973,573.033,0.817,548.026,0.431,1.809,0.366,1.911,0.115,2.304,0.017,1.364,0.491,1.325,0.75,1.372,0.103,0.610,37,67.9%,0.561,36,66.3%,0.184,55,6.9%,,
@CediBetter,2024,100,0.812,2.574,3.968,0.714,0.7,0.9,811.344,0.295,751.282,0.154,573.384,0.241,1.862,0.232,1.736,0.625,2.118,0.241,1.464,0.179,1.55,0.019,1.23,0.224,0.235,100,11.6%,0.266,97,7.7%,0.235,52,12.1%,,
@ZP12Hoops,2024,100,5.065,8.108,10.438,0.191,0.451,0.742,819.585,0.196,695.05,0.269,525.238,0.517,1.74,0.554,1.702,0.76,2.058,0.466,1.235,0.83,1.362,0.663,1.083,0.621,0.527,53,53.6%,0.564,35,67.3%,0.535,28,53.4%,,
@rowankent,2024,100,1.839,2.398,6.009,0.644,0.67,0.833,806.935,0.312,627.118,0.519,587.912,0.172,1.793,0.437,1.715,0.731,2.324,0,1.548,0.071,1.522,0.087,1.388,0.069,0.273,94,17.0%,0.446,63,40.4%,0.080,58,1.7%,,
@OpticalHoops,2024,100,2.395,5.56,6.905,0.499,0.659,0.781,659.125,0.866,566.819,0.856,492.685,0.69,1.899,0.187,1.732,0.644,2.169,0.138,1.507,0.161,1.486,0.154,1.183,0.345,0.405,78,31.3%,0.551,38,64.4%,0.391,43,27.6%,,
@kalidrafts,2024,100,3.317,5.686,7.992,0.376,0.503,0.724,815.592,0.259,847.332,0.019,643.336,0.103,1.966,0.107,1.928,0.096,1.977,0.81,1.444,0.241,1.339,0.702,1.14,0.517,0.202,108,4.5%,0.272,96,8.7%,0.477,32,46.6%,,
@HoopIntellect,2024,100,0.943,1.788,2.908,0.842,0.819,0.937,794.308,0.411,567.691,0.846,423.461,0.983,1.92,0.161,1.66,0.846,1.976,0.828,1.524,0.125,1.468,0.221,1.106,0.534,0.232,102,9.8%,0.638,27,75.0%,0.782,6,91.4%,,
Reverse Enigma,2024,99,1.986,3.463,7.334,0.886,0.73,0.839,864.401,0.027,680.276,0.327,505.872,0.638,1.395,0.982,1.711,0.74,1.878,0.983,1.208,0.893,1.453,0.308,1.032,0.741,0.634,31,73.2%,0.458,59,44.2%,0.787,4,94.8%,,
@JEnnisNBADraft,2024,93,1.757,3.358,6.103,0.666,0.711,0.802,666.234,0.848,554.758,0.894,523.665,0.552,1.528,0.839,1.796,0.481,2.155,0.19,1.44,0.259,1.426,0.365,1.318,0.138,0.649,25,78.6%,0.580,32,70.2%,0.293,49,17.2%,,
@hoopswill,2024,85,2.008,3.42,5.279,0.736,0.863,0.814,802.958,0.339,603.53,0.587,507.256,0.621,1.73,0.571,1.824,0.375,1.986,0.776,1.37,0.473,1.409,0.433,1.056,0.69,0.461,66,42.0%,0.465,57,46.2%,0.696,11,82.8%,,
@fra_sempru,2024,80,4.076,3.558,5.199,0.442,0.698,0.869,798.779,0.357,713.992,0.231,514.929,0.586,2.106,0.036,1.777,0.51,2.087,0.379,1.429,0.312,1.573,0,1.064,0.672,0.235,101,10.7%,0.247,100,4.8%,0.546,27,55.2%,,
@shammdog,2024,80,2.578,3.934,4.526,0.895,0.755,0.894,685.729,0.786,589.24,0.702,457.841,0.914,1.747,0.536,1.767,0.529,2.081,0.414,1.323,0.598,1.475,0.202,1.053,0.707,0.640,30,74.1%,0.478,53,50.0%,0.678,15,75.9%,,
@Will_Rucker3_AD,2024,80,2.613,4.646,5.705,0.341,0.606,0.813,754.619,0.562,639.783,0.452,494.515,0.672,1.843,0.259,1.901,0.125,2.072,0.448,1.572,0.054,1.458,0.269,1.08,0.638,0.292,89,21.4%,0.282,90,14.4%,0.586,24,60.3%,,
@onballcreator,2024,80,3.262,5.512,6.513,0.49,0.551,0.771,773.5,0.509,648.478,0.433,487.989,0.724,1.572,0.786,1.761,0.577,1.999,0.655,1.308,0.67,1.229,0.942,0.888,0.931,0.655,24,79.5%,0.651,25,76.9%,0.770,8,87.9%,,
@Alley_Oop_Coop,2024,76,6.262,8.743,12.644,0.218,0.08,0.455,839.107,0.107,805.556,0.067,747.067,0,1.715,0.58,1.797,0.462,2.263,0.069,1.102,0.991,1.028,1,0.835,1,0.559,43,62.5%,0.510,45,57.7%,0.356,45,24.1%,,
On3,2024,75,2.241,4.116,8.968,0.71,0.793,0.878,797.67,0.402,675.286,0.356,692.299,0.034,1.931,0.143,1.844,0.298,2.298,0.034,1.439,0.277,1.405,0.452,1.413,0.052,0.274,93,17.9%,0.369,76,27.9%,0.040,59,0.0%,,
@GamebreakNow,2024,75,1.164,2.157,3.424,0.864,0.742,0.881,846.675,0.071,707.754,0.24,583.208,0.224,1.539,0.83,1.766,0.538,1.993,0.724,1.367,0.482,1.532,0.067,1.453,0.034,0.461,66,42.0%,0.282,91,13.5%,0.327,46,22.4%,,
@kabengelestan,2024,75,2.564,4.449,5.965,0.64,0.604,0.771,724.108,0.67,589.305,0.692,488.283,0.707,1.481,0.893,1.763,0.567,1.998,0.672,1.375,0.437,1.429,0.356,1.156,0.466,0.667,22,81.3%,0.538,41,61.5%,0.615,20,67.2%,,
@SpencerVonNBA,2024,75,2.883,4.793,5.58,0.516,0.646,0.822,701.281,0.723,634.682,0.462,476.793,0.81,1.819,0.321,1.857,0.269,1.978,0.793,1.459,0.196,1.453,0.308,1.088,0.603,0.413,73,35.7%,0.346,80,24.0%,0.735,9,86.2%,,
@chipwilliamsjr,2024,75,2.689,4.708,5.105,0.292,0.596,0.799,866.332,0.018,734.644,0.202,532.849,0.5,1.791,0.446,1.839,0.317,2.046,0.517,1.283,0.732,1.328,0.74,0.929,0.897,0.399,79,30.4%,0.420,68,35.6%,0.638,18,70.7%,,
@LoganA_NBA,2024,75,4.719,5.935,8.04,0.174,0.545,0.818,813.71,0.277,597.977,0.635,477.554,0.793,2.203,0.009,1.729,0.673,2.157,0.172,1.398,0.357,1.245,0.933,0.883,0.948,0.214,105,7.1%,0.747,15,86.5%,0.638,19,69.0%,,
John Hollinger (The Athletic),2024,75,2.025,4.33,7.044,0.622,0.576,0.77,813.824,0.268,758.797,0.144,558.084,0.328,1.658,0.661,1.747,0.606,2.178,0.121,1.325,0.58,1.477,0.173,1.167,0.431,0.503,58,49.1%,0.308,87,17.3%,0.293,49,17.2%,,
@report_court,2024,73,4.265,8.176,10.113,0.279,0.35,0.635,786.506,0.473,784.484,0.087,625.856,0.138,2.095,0.045,1.892,0.154,2.125,0.207,1.211,0.884,1.109,0.981,0.874,0.966,0.467,63,44.6%,0.407,69,34.6%,0.437,38,36.2%,,
@NBADraftFuture,2024,70,2.515,4.312,5.234,0.815,0.775,0.901,815.874,0.241,774.525,0.115,557.802,0.345,1.886,0.214,1.727,0.692,2.1,0.328,1.373,0.464,1.534,0.058,1.065,0.655,0.306,86,24.1%,0.288,88,16.3%,0.443,37,37.9%,,
